==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605104
Model: qlearning
Skip model recovery: false
Start time: Wed Apr  8 04:54:10 PM AEST 2026
==========================================
[GPU 16:54:10] util=0% mem=0/46068MB temp=42C

============================================================
POSTERIOR PREDICTIVE CHECK: QLEARNING
============================================================
Loading fitted parameters from: output/mle/qlearning_individual_fits.csv
  Found 154 participants
Saved synthetic data to: output/ppc/qlearning/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/qlearning/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/qlearning

Fitting qlearning to synthetic data...
[GPU 16:59:10] util=4% mem=44622/46068MB temp=44C
[GPU 17:04:10] util=100% mem=44632/46068MB temp=54C
[GPU 17:09:10] util=100% mem=44632/46068MB temp=56C
[GPU 17:14:10] util=100% mem=44632/46068MB temp=56C
[GPU 17:19:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:24:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:29:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:34:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:39:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:44:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:49:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:54:11] util=100% mem=44632/46068MB temp=56C
[GPU 17:59:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:04:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:09:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:14:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:19:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:24:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:29:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:34:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:39:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:44:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:49:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:54:11] util=100% mem=44632/46068MB temp=56C
[GPU 18:59:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:04:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:09:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:14:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:19:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:24:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:29:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:34:11] util=100% mem=44632/46068MB temp=56C
[GPU 19:39:11] util=0% mem=44632/46068MB temp=54C

Fitting wmrl to synthetic data...
[GPU 19:44:11] util=100% mem=44642/46068MB temp=59C
[GPU 19:49:11] util=100% mem=44642/46068MB temp=60C
[GPU 19:54:11] util=100% mem=44642/46068MB temp=60C
[GPU 19:59:11] util=100% mem=44642/46068MB temp=61C
[GPU 20:04:11] util=100% mem=44642/46068MB temp=60C
[GPU 20:09:11] util=100% mem=44642/46068MB temp=61C
[GPU 20:14:11] util=100% mem=44642/46068MB temp=61C
[GPU 20:19:11] util=100% mem=44642/46068MB temp=61C
