==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605106
Model: wmrl
Skip model recovery: false
Start time: Thu Apr  9 12:51:24 AM AEST 2026
==========================================
[GPU 00:51:24] util=0% mem=0/46068MB temp=30C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL
============================================================
Loading fitted parameters from: output/mle/wmrl_individual_fits.csv
  Found 154 participants
Saved synthetic data to: output/ppc/wmrl/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl

Fitting qlearning to synthetic data...
[GPU 00:56:24] util=0% mem=44618/46068MB temp=34C
[GPU 01:01:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:06:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:11:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:16:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:21:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:26:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:31:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:36:24] util=100% mem=44632/46068MB temp=41C
[GPU 01:41:24] util=100% mem=44632/46068MB temp=42C
[GPU 01:46:24] util=100% mem=44632/46068MB temp=42C
[GPU 01:51:24] util=100% mem=44632/46068MB temp=42C
[GPU 01:56:24] util=100% mem=44632/46068MB temp=41C
[GPU 02:01:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:06:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:11:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:16:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:21:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:26:24] util=100% mem=44632/46068MB temp=41C
[GPU 02:31:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:36:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:41:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:46:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:51:24] util=100% mem=44632/46068MB temp=42C
[GPU 02:56:24] util=100% mem=44632/46068MB temp=41C
[GPU 03:01:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:06:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:11:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:16:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:21:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:26:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:31:24] util=100% mem=44632/46068MB temp=42C
[GPU 03:36:24] util=100% mem=44632/46068MB temp=42C

Fitting wmrl to synthetic data...
[GPU 03:41:24] util=100% mem=44642/46068MB temp=43C
[GPU 03:46:24] util=100% mem=44642/46068MB temp=44C
[GPU 03:51:24] util=100% mem=44642/46068MB temp=44C
[GPU 03:56:24] util=100% mem=44642/46068MB temp=45C
[GPU 04:01:24] util=100% mem=44642/46068MB temp=45C
[GPU 04:06:24] util=100% mem=44642/46068MB temp=44C
[GPU 04:11:24] util=100% mem=44642/46068MB temp=44C
[GPU 04:16:24] util=100% mem=44642/46068MB temp=44C
