==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605108
Model: wmrl_m3
Skip model recovery: false
Start time: Wed Apr  8 09:03:51 PM AEST 2026
==========================================
[GPU 21:03:51] util=0% mem=0/46068MB temp=24C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M3
============================================================
Loading fitted parameters from: output/mle/wmrl_m3_individual_fits.csv
  Found 154 participants
[GPU 21:08:51] util=4% mem=34405/46068MB temp=35C
Saved synthetic data to: output/ppc/wmrl_m3/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m3/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m3

Fitting qlearning to synthetic data...
[GPU 21:13:51] util=100% mem=45401/46068MB temp=42C
[GPU 21:18:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:23:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:28:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:33:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:38:51] util=100% mem=45401/46068MB temp=43C
[GPU 21:43:51] util=100% mem=45401/46068MB temp=40C
[GPU 21:48:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:53:51] util=100% mem=45401/46068MB temp=39C
[GPU 21:58:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:03:51] util=100% mem=45401/46068MB temp=43C
[GPU 22:08:51] util=100% mem=45401/46068MB temp=42C
[GPU 22:13:51] util=100% mem=45401/46068MB temp=40C
[GPU 22:18:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:23:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:28:51] util=100% mem=45401/46068MB temp=40C
[GPU 22:33:51] util=100% mem=45401/46068MB temp=42C
[GPU 22:38:51] util=100% mem=45401/46068MB temp=40C
[GPU 22:43:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:48:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:53:51] util=100% mem=45401/46068MB temp=39C
[GPU 22:58:51] util=100% mem=45401/46068MB temp=43C
[GPU 23:03:51] util=100% mem=45401/46068MB temp=42C
[GPU 23:08:52] util=100% mem=45401/46068MB temp=40C
[GPU 23:13:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:18:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:23:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:28:52] util=100% mem=45401/46068MB temp=43C
[GPU 23:33:52] util=100% mem=45401/46068MB temp=42C
[GPU 23:38:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:43:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:48:52] util=100% mem=45401/46068MB temp=39C
[GPU 23:53:52] util=100% mem=45401/46068MB temp=40C
[GPU 23:58:52] util=100% mem=45401/46068MB temp=43C
[GPU 00:03:52] util=100% mem=45401/46068MB temp=41C
[GPU 00:08:52] util=100% mem=45401/46068MB temp=40C
[GPU 00:13:52] util=100% mem=45401/46068MB temp=39C
[GPU 00:18:52] util=100% mem=45401/46068MB temp=39C
[GPU 00:23:52] util=100% mem=45401/46068MB temp=39C
[GPU 00:28:52] util=100% mem=45401/46068MB temp=43C

