==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605110
Model: wmrl_m5
Skip model recovery: false
Start time: Thu Apr  9 06:12:41 AM AEST 2026
==========================================
[GPU 06:12:41] util=0% mem=0/46068MB temp=28C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M5
============================================================
Loading fitted parameters from: output/mle/wmrl_m5_individual_fits.csv
  Found 154 participants
[GPU 06:17:41] util=5% mem=34549/46068MB temp=38C
Saved synthetic data to: output/ppc/wmrl_m5/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m5/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m5

Fitting qlearning to synthetic data...
[GPU 06:22:41] util=100% mem=44632/46068MB temp=44C
[GPU 06:27:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:32:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:37:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:42:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:47:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:52:41] util=100% mem=44632/46068MB temp=45C
[GPU 06:57:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:02:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:07:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:12:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:17:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:22:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:27:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:32:41] util=100% mem=44632/46068MB temp=44C
[GPU 07:37:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:42:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:47:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:52:41] util=100% mem=44632/46068MB temp=45C
[GPU 07:57:41] util=100% mem=44632/46068MB temp=44C
[GPU 08:02:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:07:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:12:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:17:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:22:41] util=100% mem=44632/46068MB temp=44C
[GPU 08:27:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:32:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:37:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:42:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:47:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:52:41] util=100% mem=44632/46068MB temp=45C
[GPU 08:57:41] util=100% mem=44632/46068MB temp=45C

Fitting wmrl to synthetic data...
[GPU 09:02:41] util=100% mem=44642/46068MB temp=46C
[GPU 09:07:41] util=100% mem=44642/46068MB temp=47C
[GPU 09:12:41] util=100% mem=44642/46068MB temp=47C
[GPU 09:17:41] util=100% mem=44642/46068MB temp=47C
[GPU 09:22:41] util=100% mem=44642/46068MB temp=47C
[GPU 09:27:41] util=100% mem=44642/46068MB temp=47C
[GPU 09:32:41] util=100% mem=44642/46068MB temp=47C
