==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605114
Model: wmrl_m6b
Skip model recovery: false
Start time: Thu Apr  9 03:09:59 PM AEST 2026
==========================================
[GPU 15:09:59] util=0% mem=0/81920MB temp=37C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M6B
============================================================
Loading fitted parameters from: output/mle/wmrl_m6b_individual_fits.csv
  Found 154 participants
[GPU 15:14:59] util=6% mem=61301/81920MB temp=37C
Saved synthetic data to: output/ppc/wmrl_m6b/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m6b/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m6b

Fitting qlearning to synthetic data...
[GPU 15:19:59] util=100% mem=80843/81920MB temp=42C
[GPU 15:24:59] util=99% mem=80843/81920MB temp=43C
[GPU 15:29:59] util=99% mem=80843/81920MB temp=44C
[GPU 15:34:59] util=99% mem=80843/81920MB temp=44C
[GPU 15:39:59] util=99% mem=80843/81920MB temp=44C
[GPU 15:44:59] util=99% mem=80843/81920MB temp=44C
[GPU 15:49:59] util=99% mem=80843/81920MB temp=44C
[GPU 15:54:59] util=100% mem=80843/81920MB temp=44C
[GPU 15:59:59] util=100% mem=80843/81920MB temp=44C
[GPU 16:04:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:09:59] util=100% mem=80843/81920MB temp=44C
[GPU 16:14:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:19:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:24:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:29:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:34:59] util=99% mem=80843/81920MB temp=44C
[GPU 16:40:00] util=100% mem=80843/81920MB temp=44C
[GPU 16:45:00] util=99% mem=80843/81920MB temp=44C
[GPU 16:50:00] util=99% mem=80843/81920MB temp=44C
[GPU 16:55:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:00:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:05:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:10:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:15:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:20:00] util=100% mem=80843/81920MB temp=44C
[GPU 17:25:00] util=99% mem=80843/81920MB temp=43C
[GPU 17:30:00] util=99% mem=80843/81920MB temp=43C
[GPU 17:35:00] util=100% mem=80843/81920MB temp=44C
[GPU 17:40:00] util=100% mem=80843/81920MB temp=44C
[GPU 17:45:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:50:00] util=99% mem=80843/81920MB temp=44C
[GPU 17:55:00] util=100% mem=80843/81920MB temp=44C
[GPU 18:00:00] util=100% mem=80843/81920MB temp=44C
[GPU 18:05:00] util=99% mem=80843/81920MB temp=44C
[GPU 18:10:00] util=99% mem=80843/81920MB temp=44C
[GPU 18:15:00] util=100% mem=80843/81920MB temp=44C
[GPU 18:20:00] util=100% mem=80843/81920MB temp=44C
[GPU 18:25:00] util=99% mem=80843/81920MB temp=44C
[GPU 18:30:00] util=99% mem=80843/81920MB temp=44C
[GPU 18:35:00] util=99% mem=80843/81920MB temp=44C
