==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605116
Model: wmrl_m4
Skip model recovery: false
Start time: Thu Apr  9 06:14:10 PM AEST 2026
==========================================
[GPU 18:14:10] util=0% mem=0/46068MB temp=36C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M4
============================================================
Loading fitted parameters from: output/mle/wmrl_m4_individual_fits.csv
  Found 154 participants
Saved synthetic data to: output/ppc/wmrl_m4/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m4/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m4

Fitting wmrl_m4 to synthetic data...
Warning: Fitting wmrl_m4 may have issues
  stderr: E0409 18:16:27.238909 3013198 numa_hwloc.cc:121] Call to hwloc_set_cpubind() failed: Invalid argument [22]
E0409 18:16:27.239077 3013199 numa_hwloc.cc:121] Call to hwloc_set_cpubind() failed: Invalid 

Fitting qlearning to synthetic data...
[GPU 18:19:10] util=100% mem=44630/46068MB temp=41C
[GPU 18:24:10] util=100% mem=44630/46068MB temp=44C
[GPU 18:29:10] util=100% mem=44630/46068MB temp=44C
[GPU 18:34:10] util=100% mem=44630/46068MB temp=44C
[GPU 18:39:10] util=100% mem=44630/46068MB temp=45C
[GPU 18:44:10] util=100% mem=44630/46068MB temp=45C
[GPU 18:49:10] util=100% mem=44630/46068MB temp=44C
[GPU 18:54:10] util=100% mem=44630/46068MB temp=45C
[GPU 18:59:10] util=100% mem=44630/46068MB temp=44C
[GPU 19:04:10] util=100% mem=44630/46068MB temp=45C
[GPU 19:09:10] util=100% mem=44630/46068MB temp=44C
[GPU 19:14:10] util=100% mem=44630/46068MB temp=44C
[GPU 19:19:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:24:11] util=100% mem=44630/46068MB temp=46C
[GPU 19:29:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:34:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:39:11] util=100% mem=44630/46068MB temp=44C
[GPU 19:44:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:49:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:54:11] util=100% mem=44630/46068MB temp=45C
[GPU 19:59:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:04:11] util=100% mem=44630/46068MB temp=44C
[GPU 20:09:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:14:11] util=100% mem=44630/46068MB temp=44C
[GPU 20:19:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:24:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:29:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:34:11] util=100% mem=44630/46068MB temp=44C
[GPU 20:39:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:44:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:49:11] util=100% mem=44630/46068MB temp=45C
[GPU 20:54:11] util=100% mem=44630/46068MB temp=44C
[GPU 20:59:11] util=0% mem=34998/46068MB temp=41C

Fitting wmrl to synthetic data...
[GPU 21:04:11] util=100% mem=44640/46068MB temp=46C
[GPU 21:09:11] util=100% mem=44640/46068MB temp=47C
