trial_type,trial_index,time_elapsed,internal_node_id,sona_id,surveys_completed,rt,stimulus,response,section,key_press,age_years,country,primary_language,question_order,gender,education,relationship_status,living_arrangement,screen_time,s1_item01,s1_item02,s1_item03,s1_item04,s1_item05,s1_item06,s1_item07,s1_item08,s1_item09,s1_item10,s1_item11,s1_item12,s1_item13,s1_item14,s1_item15,scored_responses,correct,set,block,trial,set_size,load_condition,phase_type,key_answer,reversal_crit,counter,nrevs
pavlovia,0,7,0.0-0.0,9121,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,1,4629,0.0-1.0,9121,TRUE,4620,"
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.5;"">
      <h2>PARTICIPANT INFORMATION SHEET</h2>
      <p><strong>[ETH23-8006 - G-35-2025] - From Exposure to Impact: Measuring the Cognitive Effects of Trauma in the General Population</strong></p>

      <h3>WHO IS CONDUCTING THIS RESEARCH?</h3>
      <p>My name is Jasmine Burrows and I am a student at UTS. My supervisor is Adam Manoogian and they can be contacted at <a href=""mailto:adam.manoogian@uts.edu.au"">adam.manoogian@uts.edu.au</a>.</p>

      <h3>WHAT IS THE RESEARCH ABOUT?</h3>
      <p>The purpose of this research is to explore how different life experiences, particularly potentially stressful or traumatic events, may relate to how people perform on memory tasks of varying difficulty.</p>
      <p>You will be asked to complete two short questionnaires about your life experiences and current symptoms, followed by a computer-based task that measures your working memory under both easier and more challenging conditions. This study aims to understand whether people with different levels of life experience and symptom impact perform differently on these tasks, and whether the level of task difficulty has a bigger effect on some groups than others. The findings may help guide future research into how life experiences shape thinking and memory in the general population.</p>
      <p>Importantly, the tasks that you will complete are not meant to imply a diagnosis of some disorder or illness, but rather to gather information on certain behaviors and beliefs in the general population. You should not consider your performance on these tasks or how you answered the questions as indicative of any clinical diagnosis.</p>

      <h3>WHY HAVE I BEEN INVITED?</h3>
      <p>You have been invited to participate because this project aims to include a broad range of people from the general population, with different ages, education levels, occupations, and backgrounds. By taking part, you will help ensure that the research reflects the diversity of experiences and thinking styles in the community, allowing for more accurate and meaningful results.</p>

      <h3>WHAT DOES MY PARTICIPATION INVOLVE?</h3>
      <p>If you decide to participate, I will invite you to:</p>
      <ul>
        <li>provide some information about yourself e.g. age, gender, level of education, and primary language spoken, which will take approximately 5 minutes to complete</li>
        <li>complete a series of questionnaires which will take 15 minutes to complete</li>
        <li>complete a behavioural task which will take approximately 15 minutes to complete</li>
      </ul>
      <p>Participation is expected to take 30 - 45 minutes and if you are participating in this study as a result of SONA, you will receive 2 course credits.</p>

      <h3>ARE THERE ANY RISKS/INCONVENIENCE?</h3>
      <p>While this project has been determined to be a Low &amp; Negligible Risk Project, some of the questions ask about difficult or stressful life events you may have experienced, which might cause mild emotional discomfort. You can skip any question you don't want to answer, take a break at any time, or withdraw without penalty. You will not be asked to provide detailed descriptions of events, and your responses will remain anonymous. We've minimised these risks by keeping questions general, and providing clear warnings before any potentially sensitive questions. The study is completed entirely online, so there is no face-to-face disclosure, and you are in control of how and when you respond.</p>
      <p>Please be aware that you have the right to refuse to answer any questions, and you are free to discontinue participation at any point in the research without giving any reason and without any consequences.</p>
      <p>If you experience any feelings of distress or discomfort for any reason, please contact your General Practitioner to seek advice. UTS students also have access to the confidential UTS Counselling service 9514 1177.</p>
      <p><strong>If you are experiencing an emergency or mental health crisis</strong>, the following 24 hour helplines are available for support within Australia:</p>
      <ol>
        <li>Lifeline: 13 11 14</li>
        <li>NSW Mental Health Line: 1800 011 511</li>
        <li>In an emergency call 000</li>
      </ol>
      <p>If you are outside of Australia, you should contact your local mental health crisis service, <a href=""https://www.befrienders.org"" target=""_blank"" rel=""noopener"">www.befrienders.org</a>, or if available, your primary care practitioner.</p>

      <h3>DO I HAVE TO TAKE PART IN THIS RESEARCH PROJECT?</h3>
      <p>Participation in this study is voluntary. It is completely up to you whether or not you decide to take part.</p>
      <p>If you decide not to participate, or to withdraw from the study, it will not affect your relationship with the researchers or the University of Technology Sydney. Participation or non-participation will have no bearing on student course progression or assessment.</p>

      <h3>WHAT IF I WITHDRAW FROM THIS RESEARCH PROJECT?</h3>
      <p>If you wish to withdraw from the study once it has started, you can do so at any time by closing the browser window. If you close the browser before completing the study your data will not be included in the analyses. However, if you still wish to receive SONA credit you will need to email <a href=""mailto:adam.manoogian@uts.edu.au"">adam.manoogian@uts.edu.au</a> to receive this manually. Please note that once you have completed the study it will not be possible to remove any information you have provided because all information is non-identifiable.</p>

      <h3>WHAT WILL HAPPEN TO INFORMATION ABOUT ME?</h3>
      <p>By signing the consent form you consent to the research team collecting and using personal information about you for the research project. All this information will be treated confidentially and stored securely. Researchers at UTS are required to adhere to policies around data management as set out in the UTS records management policy. You can access this policy here: <a href=""https://www.uts.edu.au/about/uts-governance/policies/uts-policy/records-management-policy"" target=""_blank"" rel=""noopener"">UTS Records Management Policy</a>.</p>
      <p>We do not intend to store any identifiable information such as your name, email address or student ID for the purposes of this project, meaning that the information you give us is non-identifiable.</p>
      <p>It is anticipated that the results of this research project will be published and/or presented in a variety of forums. In any publication and/or presentation, aggregated group level information will be provided in such a way that you cannot personally be identified.</p>
      <p>The results of this research may also be shared through open access (public) scientific databases, including internet databases. This will enable other researchers to use the data to investigate other important research questions.</p>

      <h3>WHAT IF I HAVE ANY QUERIES OR CONCERNS?</h3>
      <p>If you have queries or concerns about the research that you think we or our supervisor can help you with, please feel free to contact us through our supervisor at <a href=""mailto:adam.manoogian@uts.edu.au"">adam.manoogian@uts.edu.au</a>.</p>
      <p>You will be given a copy of this form to keep or provided with a link so that you can download it.</p>

      <h3>NOTE</h3>
      <p>This study has been approved by an ethics review panel in line with the University of Technology Sydney Human Research Ethics Committee [UTS HREC] guidelines. If you have any concerns or complaints about any aspect of the conduct of this research that you wish to raise independently of the research team, please contact the Ethics Secretariat on ph.: +61 2 9514 2478 or email: <a href=""mailto:Research.Ethics@uts.edu.au"">Research.Ethics@uts.edu.au</a>, and quote the UTS HREC reference number. Any matter raised will be treated confidentially, investigated and you will be informed of the outcome.</p>

      <hr>
      <p>When you are ready, click the button below to continue to the consent form.</p>
    </div>
  ",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,2,5661,0.0-2.0,9121,TRUE,1028,"
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.5;"">
      <h3>CONSENT FORM [online study]</h3>
      <p><strong>[ETH23-8006 - G-35-2025]</strong> - <em>From Exposure to Impact: Measuring the Cognitive Effects of Trauma in the General Population</em></p>
      <p><strong>Online Consent:</strong> Please review each statement. You will then indicate your consent below.</p>
      <ul style=""list-style: none; padding-left: 0;"">
        <li>☐ I agree to participate in the research project being conducted by Jasmine Burrows (<a href=""mailto:jasmine.e.burrows@student.uts.edu.au"">jasmine.e.burrows@student.uts.edu.au</a>, +61 448 999 255).</li>
        <li>☐ I have read the Participant Information Sheet or someone has read it to me in language that I understand.</li>
        <li>☐ I understand the purposes, procedures and risks of the research as described in the Participant Information Sheet.</li>
        <li>☐ I freely agree to participate in this research project as described and understand that I am free to withdraw at any time without affecting my relationship with the researchers or the University of Technology Sydney.</li>
        <li>☐ I understand that my data will be securely stored in a <em>non-identifiable</em> format.</li>
        <li>☐ I understand that I should download a copy of this information and consent form <span style=""text-decoration: underline;"">[here]</span>.</li>
        <li>☐ I am aware that I can contact the researchers on the contact details provided if I have any concerns about the research.</li>
      </ul>
      <hr>
      <p><strong>Do you consent to participate in this study?</strong></p>
    </div>
  ",0,consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,3,6501,0.0-3.0,9121,TRUE,837,"
    <div class=""center"" style=""max-width:800px; margin:0 auto;"">
      <h3>Demographics</h3>
      <p>Please answer a few background questions. All items are required.</p>
      <p><em>Press SPACE to begin</em></p>
    </div>",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-text,4,42606,0.0-4.0,9121,TRUE,36082,,"{""age_years"":""26x"",""country"":""Ausx"",""primary_language"":""Engx""}",demographics_text,,26x,Ausx,Engx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,5,49017,0.0-5.0,9121,TRUE,6409,,"{""gender"":""Female"",""education"":""Bachelors Degree or similar (TAFE)"",""relationship_status"":""Married or in a domestic partnership"",""living_arrangement"":""Renting"",""screen_time"":""5 or 6""}",demographics_mc,,,,,"0,1,2,3,4",Female,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting,5 or 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,50213,0.0-6.0,9121,TRUE,1194,"
    <div class=""center"" style=""max-width: 800px; margin: 0 auto; text-align: left; line-height: 1.5;"">
      <h3>Survey 1 Instructions</h3>
      <p>Listed below are a number of difficult or stressful things that sometimes happen to people. 
      For each event check one or more of the boxes to the right to indicate that:</p>
      <ul>
        <li>(a) it happened to you personally</li>
        <li>(b) you witnessed it happen to someone else</li>
        <li>(c) you learned about it happening to a close family member or close friend</li>
        <li>(d) you were exposed to it as part of your job (for example, paramedic, police, military, or other first responder)</li>
        <li>(e) you're not sure if it fits</li>
        <li>(f) it doesn't apply to you</li>
      </ul>
      <p><strong>Be sure to consider your entire life</strong> (growing up as well as adulthood) as you go through the list of events.</p>
      <p>Please answer honestly.</p>
      <p style=""text-align:center;""><em>Press SPACE to begin Survey 1</em></p>
    </div>",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-select,7,72868,0.0-7.0,9121,TRUE,22637,,"{""s1_item01"":[""(a) it happened to me personally""],""s1_item02"":[""(a) it happened to me personally""],""s1_item03"":[""(a) it happened to me personally""],""s1_item04"":[""(a) it happened to me personally""],""s1_item05"":[""(a) it happened to me personally""],""s1_item06"":[""(a) it happened to me personally""],""s1_item07"":[""(a) it happened to me personally""],""s1_item08"":[""(a) it happened to me personally""],""s1_item09"":[""(a) it happened to me personally""],""s1_item10"":[""(a) it happened to me personally""],""s1_item11"":[""(a) it happened to me personally""],""s1_item12"":[""(a) it happened to me personally""],""s1_item13"":[""(a) it happened to me personally""],""s1_item14"":[""(a) it happened to me personally""],""s1_item15"":[""(a) it happened to me personally""]}",survey1,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,,,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,(a) it happened to me personally,,,,,,,,,,,,
html-keyboard-response,8,73771,0.0-8.0,9121,TRUE,901,"
    <div class=""center"" style=""max-width: 800px; margin: 0 auto; text-align: left; line-height: 1.5;"">
      <h3>Survey 2 Instructions</h3>
      <p>Below is a list of difficulties people sometimes have after stressful life events.</p>
      <p>Please read each item, and then indicate how distressing each difficulty has been for you 
      <strong>DURING THE PAST SEVEN DAYS</strong> with respect to (the event).</p>
      <p>How much were you distressed or bothered by these difficulties? Please answer honestly.</p>
      <p style=""text-align:center;""><em>Press SPACE to begin Survey 2</em></p>
    </div>",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-likert,9,145303,0.0-9.0,9121,TRUE,71526,,"{""s2_item01"":0,""s2_item02"":0,""s2_item03"":0,""s2_item04"":0,""s2_item05"":0,""s2_item06"":0,""s2_item07"":0,""s2_item08"":0,""s2_item09"":0,""s2_item10"":0,""s2_item11"":0,""s2_item12"":0,""s2_item13"":0,""s2_item14"":0,""s2_item15"":0,""s2_item16"":0,""s2_item17"":0,""s2_item18"":0,""s2_item19"":0,""s2_item20"":0,""s2_item21"":0,""s2_item22"":0}",survey2,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,
