draw_idx,accuracy,below_chance,at_ceiling
0,0.91480446,0,0
1,0.91865355,0,0
2,0.92178774,0,0
3,0.67270195,0,0
4,0.91201115,0,0
5,0.916318,0,0
6,0.8535565,0,0
7,0.92299896,0,0
8,0.9206128,0,0
9,0.8260255,0,0
10,0.91573036,0,0
11,0.9343575,0,0
12,0.85594404,0,0
13,0.9173669,0,0
14,0.88440114,0,0
15,0.9382889,0,0
16,0.9098592,0,0
17,0.93715084,0,0
18,0.93820226,0,0
19,0.9360223,0,0
20,0.8910614,0,0
21,0.8896648,0,0
22,0.6955307,0,0
23,0.87760776,0,0
24,0.9308886,0,0
25,0.8142458,0,0
26,0.92502534,0,0
27,0.92957747,0,0
28,0.9081779,0,0
29,0.902371,0,0
30,0.9317549,0,0
31,0.9190476,0,0
32,0.90832156,0,0
33,0.92897725,0,0
34,0.8533145,0,0
35,0.92436975,0,0
36,0.92447555,0,0
37,0.89693594,0,0
38,0.765035,0,0
39,0.8797737,0,0
40,0.9220056,0,0
41,0.7440559,0,0
42,0.7656566,0,0
43,0.85614526,0,0
44,0.924581,0,0
45,0.92767733,0,0
46,0.9062937,0,0
47,0.9084507,0,0
48,0.93846154,0,0
49,0.8956276,0,0
50,0.9207232,0,0
51,0.9443672,0,0
52,0.78651685,0,0
53,0.7927171,0,0
54,0.82892907,0,0
55,0.93688637,0,0
56,0.797486,0,0
57,0.9317549,0,0
58,0.8962132,0,0
59,0.8830986,0,0
60,0.7148818,0,0
61,0.9411765,0,0
62,0.8232819,0,0
63,0.7265077,0,0
64,0.68105847,0,0
65,0.9134078,0,0
66,0.91352856,0,0
67,0.92027974,0,0
68,0.66713095,0,0
69,0.7888889,0,0
70,0.92156863,0,0
71,0.8788732,0,0
72,0.8702929,0,0
73,0.8910614,0,0
74,0.9300699,0,0
75,0.9340814,0,0
76,0.9093445,0,0
77,0.6952247,0,0
78,0.9388889,0,0
79,0.8970793,0,0
80,0.9353933,0,0
81,0.8577406,0,0
82,0.8924949,0,0
83,0.9199438,0,0
84,0.88095236,0,0
85,0.9308886,0,0
86,0.8022284,0,0
87,0.8345021,0,0
88,0.8884381,0,0
89,0.79574466,0,0
90,0.9275766,0,0
91,0.8435754,0,0
92,0.80167013,0,0
93,0.9255618,0,0
94,0.9332406,0,0
95,0.9317549,0,0
96,0.8973277,0,0
97,0.9034965,0,0
98,0.9275568,0,0
99,0.86230874,0,0
100,0.90833336,0,0
101,0.54381084,0,0
102,0.73221755,0,0
103,0.91515994,0,0
104,0.9322034,0,0
105,0.7158774,0,0
106,0.9165488,0,0
107,0.87621695,0,0
108,0.9008621,0,0
109,0.9248957,0,0
110,0.9290853,0,0
111,0.9235049,0,0
112,0.84291726,0,0
113,0.93502825,0,0
114,0.7194951,0,0
115,0.93846154,0,0
116,0.8679775,0,0
117,0.92906815,0,0
118,0.7328671,0,0
119,0.9246088,0,0
120,0.945758,0,0
121,0.88718665,0,0
122,0.9413408,0,0
123,0.857868,0,0
124,0.91480446,0,0
125,0.91101694,0,0
126,0.80501395,0,0
127,0.93045896,0,0
128,0.88342696,0,0
129,0.6125874,0,0
130,0.8293706,0,0
131,0.8486111,0,0
132,0.5696379,0,0
133,0.7468532,0,0
134,0.9125,0,0
135,0.91497976,0,0
136,0.93227667,0,0
137,0.8270042,0,0
138,0.9262865,0,0
139,0.92134833,0,0
140,0.84299856,0,0
141,0.9343575,0,0
142,0.8753501,0,0
143,0.9275766,0,0
144,0.8818088,0,0
145,0.9270687,0,0
146,0.93417364,0,0
147,0.8002813,0,0
148,0.80898875,0,0
149,0.9396914,0,0
150,0.9004208,0,0
151,0.9256662,0,0
152,0.87150836,0,0
153,0.6990155,0,0
154,0.94289696,0,0
