draw_idx,accuracy,below_chance,at_ceiling
0,0.55013925,0,0
1,0.73435324,0,0
2,0.7514045,0,0
3,0.759887,0,0
4,0.83983284,0,0
5,0.5849582,0,0
6,0.4347826,0,0
7,0.83938545,0,0
8,0.48814505,0,0
9,0.43715084,0,0
10,0.6566092,0,0
11,0.6089386,0,0
12,0.88873434,0,0
13,0.6433637,0,0
14,0.5410292,0,0
15,0.6671348,0,0
16,0.5069638,0,0
17,0.6474719,0,0
18,0.66527194,0,0
19,0.31355932,1,0
20,0.7916084,0,0
21,0.37896255,0,0
22,0.62777776,0,0
23,0.6053371,0,0
24,0.45518208,0,0
25,0.4027972,0,0
26,0.6545454,0,0
27,0.89385474,0,0
28,0.8786611,0,0
29,0.6281337,0,0
30,0.7004219,0,0
31,0.59805286,0,0
32,0.5363129,0,0
33,0.45821726,0,0
34,0.50864553,0,0
35,0.2923077,1,0
36,0.48535565,0,0
37,0.50486785,0,0
38,0.55632824,0,0
39,0.6125874,0,0
40,0.42280945,0,0
41,0.6652661,0,0
42,0.60500693,0,0
43,0.7681564,0,0
44,0.60055864,0,0
45,0.81502086,0,0
46,0.5938804,0,0
47,0.67651194,0,0
48,0.7248603,0,0
49,0.7158774,0,0
50,0.64985996,0,0
51,0.6022567,0,0
52,0.50418997,0,0
53,0.3784916,0,0
54,0.7433752,0,0
55,0.5834502,0,0
56,0.352657,0,0
57,0.87393767,0,0
58,0.5077139,0,0
59,0.5349162,0,0
60,0.41004184,0,0
61,0.9275766,0,0
62,0.47844228,0,0
63,0.5146036,0,0
64,0.66016716,0,0
65,0.62030596,0,0
66,0.3448276,0,0
67,0.55,0,0
68,0.45810056,0,0
69,0.6210375,0,0
70,0.41538462,0,0
71,0.8459384,0,0
72,0.49578652,0,0
73,0.66573817,0,0
74,0.3838665,0,0
75,0.6243017,0,0
76,0.42166665,0,0
77,0.36629528,0,0
78,0.6409736,0,0
79,0.5674548,0,0
80,0.73333335,0,0
81,0.55430186,0,0
82,0.698324,0,0
83,0.4735376,0,0
84,0.5468531,0,0
85,0.5132128,0,0
86,0.4867872,0,0
87,0.7190542,0,0
88,0.5111732,0,0
89,0.5605007,0,0
90,0.53436184,0,0
91,0.7569832,0,0
92,0.7388268,0,0
93,0.5837989,0,0
94,0.63623595,0,0
95,0.67791843,0,0
96,0.44755244,0,0
97,0.61359024,0,0
98,0.8814505,0,0
99,0.66295266,0,0
100,0.49093446,0,0
101,0.38764045,0,0
102,0.6131285,0,0
103,0.3991655,0,0
104,0.52875173,0,0
105,0.54698455,0,0
106,0.8300562,0,0
107,0.46089387,0,0
108,0.43216783,0,0
109,0.70406735,0,0
110,0.5236769,0,0
111,0.5111421,0,0
112,0.45048815,0,0
113,0.5849582,0,0
114,0.40502793,0,0
115,0.5479833,0,0
116,0.55927473,0,0
117,0.5344585,0,0
118,0.88640976,0,0
119,0.6676017,0,0
120,0.5251397,0,0
121,0.6522949,0,0
122,0.5160391,0,0
123,0.52990264,0,0
124,0.8880918,0,0
125,0.6425591,0,0
126,0.34593838,0,0
127,0.76634216,0,0
128,0.87899864,0,0
129,0.4325452,0,0
130,0.40813464,0,0
131,0.65411437,0,0
132,0.6801676,0,0
133,0.5797101,0,0
134,0.46984127,0,0
135,0.570028,0,0
136,0.48956886,0,0
137,0.5730181,0,0
138,0.5961003,0,0
139,0.7404795,0,0
140,0.42777,0,0
141,0.5897079,0,0
142,0.58519554,0,0
143,0.5652798,0,0
144,0.575419,0,0
145,0.48603353,0,0
146,0.82377625,0,0
147,0.438646,0,0
148,0.5104895,0,0
149,0.8164117,0,0
150,0.3436185,0,0
151,0.88951844,0,0
152,0.37068966,0,0
153,0.60584956,0,0
154,0.7151515,0,0
155,0.637883,0,0
156,0.3574409,0,0
157,0.58963585,0,0
158,0.471831,0,0
159,0.4789326,0,0
160,0.586014,0,0
161,0.8244382,0,0
162,0.44986072,0,0
163,0.64841497,0,0
164,0.505571,0,0
165,0.4622905,0,0
166,0.66619915,0,0
167,0.6348315,0,0
168,0.5280112,0,0
169,0.5159944,0,0
170,0.30180806,1,0
171,0.8354254,0,0
172,0.6613833,0,0
173,0.3783032,0,0
174,0.4965035,0,0
175,0.5979827,0,0
176,0.32267037,1,0
177,0.6171108,0,0
178,0.8716502,0,0
179,0.61561865,0,0
180,0.6889819,0,0
181,0.43871868,0,0
182,0.5232068,0,0
183,0.87743735,0,0
184,0.89693594,0,0
185,0.4798331,0,0
186,0.51955307,0,0
187,0.3922114,0,0
188,0.6052999,0,0
189,0.48189417,0,0
190,0.65770864,0,0
191,0.4109397,0,0
192,0.58414465,0,0
193,0.6620306,0,0
194,0.47765362,0,0
195,0.7587169,0,0
196,0.6243017,0,0
197,0.6113475,0,0
198,0.7545582,0,0
199,0.5503546,0,0
200,0.5363129,0,0
201,0.68356997,0,0
202,0.57681566,0,0
203,0.3828892,0,0
204,0.56005585,0,0
205,0.5183333,0,0
206,0.57703084,0,0
207,0.5521558,0,0
208,0.5799722,0,0
209,0.55710304,0,0
210,0.56312054,0,0
211,0.6453901,0,0
212,0.40333796,0,0
213,0.54735374,0,0
214,0.54825175,0,0
215,0.42280945,0,0
216,0.45689654,0,0
217,0.7086835,0,0
218,0.44986072,0,0
219,0.64949495,0,0
220,0.34030685,0,0
221,0.8177905,0,0
222,0.5656425,0,0
223,0.44421905,0,0
224,0.8716876,0,0
225,0.57461643,0,0
226,0.35524476,0,0
227,0.47009736,0,0
228,0.51256984,0,0
229,0.35333332,0,0
230,0.37622377,0,0
231,0.9079498,0,0
232,0.6300417,0,0
233,0.68758714,0,0
234,0.9189944,0,0
235,0.4650838,0,0
236,0.73324025,0,0
237,0.8869476,0,0
238,0.41724616,0,0
239,0.57223004,0,0
240,0.6977716,0,0
241,0.52294856,0,0
242,0.6101523,0,0
243,0.4373259,0,0
244,0.51111114,0,0
245,0.74396133,0,0
246,0.63955116,0,0
247,0.64673156,0,0
248,0.4476327,0,0
249,0.67921895,0,0
250,0.8358832,0,0
251,0.85,0,0
252,0.46443516,0,0
253,0.5797101,0,0
254,0.46958983,0,0
255,0.6019553,0,0
256,0.44490933,0,0
257,0.52340424,0,0
258,0.5938804,0,0
259,0.86052996,0,0
260,0.5069638,0,0
261,0.7949495,0,0
262,0.72461754,0,0
263,0.68296087,0,0
264,0.5354659,0,0
265,0.83613443,0,0
266,0.5146036,0,0
267,0.42937064,0,0
268,0.390625,0,0
269,0.43671766,0,0
270,0.48463687,0,0
271,0.71349096,0,0
272,0.38760808,0,0
273,0.80028737,0,0
274,0.81502086,0,0
275,0.44846797,0,0
276,0.53129345,0,0
277,0.65957445,0,0
278,0.39693594,0,0
279,0.5070994,0,0
280,0.64880115,0,0
281,0.54488516,0,0
282,0.60306406,0,0
283,0.41234222,0,0
284,0.37325907,0,0
285,0.45184135,0,0
286,0.44645342,0,0
287,0.49717513,0,0
288,0.620979,0,0
289,0.5283286,0,0
290,0.5225352,0,0
291,0.54811716,0,0
292,0.6081461,0,0
293,0.7997179,0,0
294,0.61430573,0,0
295,0.71548116,0,0
296,0.5907821,0,0
297,0.48535565,0,0
298,0.7705146,0,0
299,0.674548,0,0
300,0.8087201,0,0
301,0.5760112,0,0
302,0.8587413,0,0
303,0.7394958,0,0
304,0.6426513,0,0
305,0.7681564,0,0
306,0.53954804,0,0
307,0.5952381,0,0
308,0.8044693,0,0
309,0.5159301,0,0
310,0.68567455,0,0
311,0.45874125,0,0
312,0.6997207,0,0
313,0.6239554,0,0
314,0.66481227,0,0
315,0.5771905,0,0
316,0.46769664,0,0
317,0.73955435,0,0
318,0.7550432,0,0
319,0.38181818,0,0
320,0.4275766,0,0
321,0.41853932,0,0
322,0.4187675,0,0
323,0.62849164,0,0
324,0.4140845,0,0
325,0.8523677,0,0
326,0.50209206,0,0
327,0.34139404,0,0
328,0.48055556,0,0
329,0.8634921,0,0
330,0.33751744,0,0
331,0.6077886,0,0
332,0.35893854,0,0
333,0.31223628,1,0
334,0.41340783,0,0
335,0.87711865,0,0
336,0.36161336,0,0
337,0.56179774,0,0
338,0.62674093,0,0
339,0.4237762,0,0
340,0.41922006,0,0
341,0.77468705,0,0
342,0.61376405,0,0
343,0.63699585,0,0
344,0.65433854,0,0
345,0.47042254,0,0
346,0.6344538,0,0
347,0.4937413,0,0
348,0.76890755,0,0
349,0.5139665,0,0
350,0.47416413,0,0
351,0.23876405,1,0
352,0.49301675,0,0
353,0.6873096,0,0
354,0.90403336,0,0
355,0.51877606,0,0
356,0.5411932,0,0
357,0.5646732,0,0
358,0.7067039,0,0
359,0.7454798,0,0
360,0.45391062,0,0
361,0.41759777,0,0
362,0.49511856,0,0
363,0.7126918,0,0
364,0.8412256,0,0
365,0.41717172,0,0
366,0.51882845,0,0
367,0.73324025,0,0
368,0.7022472,0,0
369,0.82047683,0,0
370,0.5104312,0,0
371,0.38912135,0,0
372,0.5829847,0,0
373,0.58519554,0,0
374,0.5557103,0,0
375,0.5558699,0,0
376,0.44707522,0,0
377,0.44421905,0,0
378,0.31556803,1,0
379,0.55090654,0,0
380,0.530303,0,0
381,0.4303621,0,0
382,0.42351276,0,0
383,0.58014184,0,0
384,0.66433567,0,0
385,0.33091787,0,0
386,0.38472223,0,0
387,0.7601116,0,0
388,0.6280057,0,0
389,0.55648535,0,0
390,0.42190668,0,0
391,0.45961002,0,0
392,0.47009736,0,0
393,0.44722223,0,0
394,0.41544884,0,0
395,0.67548746,0,0
396,0.7076923,0,0
397,0.48591548,0,0
398,0.5139665,0,0
399,0.871831,0,0
400,0.76304656,0,0
401,0.5285118,0,0
402,0.47457626,0,0
403,0.4603616,0,0
404,0.574048,0,0
405,0.4909091,0,0
406,0.6564246,0,0
407,0.6073998,0,0
408,0.4665738,0,0
409,0.7759104,0,0
410,0.7075209,0,0
411,0.7043236,0,0
412,0.66993004,0,0
413,0.4471086,0,0
414,0.6973501,0,0
415,0.55788004,0,0
416,0.7150838,0,0
417,0.42313117,0,0
418,0.58716875,0,0
419,0.6979021,0,0
420,0.7799443,0,0
421,0.8057554,0,0
422,0.5112045,0,0
423,0.76077884,0,0
424,0.7538248,0,0
425,0.5572626,0,0
426,0.7173913,0,0
427,0.49581006,0,0
428,0.54508615,0,0
429,0.41432583,0,0
430,0.39499304,0,0
431,0.57062936,0,0
432,0.82984656,0,0
433,0.5606695,0,0
434,0.37955183,0,0
435,0.43539324,0,0
436,0.5546219,0,0
437,0.4148073,0,0
438,0.5618661,0,0
439,0.80055785,0,0
440,0.5293296,0,0
441,0.76978415,0,0
442,0.44522473,0,0
443,0.63465554,0,0
444,0.4159664,0,0
445,0.73876405,0,0
446,0.7294282,0,0
447,0.68487394,0,0
448,0.7740586,0,0
449,0.5690377,0,0
450,0.47175142,0,0
451,0.9009763,0,0
452,0.53268427,0,0
453,0.4937063,0,0
454,0.60917944,0,0
455,0.5308123,0,0
456,0.74189,0,0
457,0.6025281,0,0
458,0.64853555,0,0
459,0.6023055,0,0
460,0.65411437,0,0
461,0.70563674,0,0
462,0.7821229,0,0
463,0.34149855,0,0
464,0.6216968,0,0
465,0.57402235,0,0
466,0.45518208,0,0
467,0.5910987,0,0
468,0.4696756,0,0
469,0.6150628,0,0
470,0.71669006,0,0
471,0.42280945,0,0
472,0.60113156,0,0
473,0.66201115,0,0
474,0.56666666,0,0
475,0.53760445,0,0
476,0.7617021,0,0
477,0.81337047,0,0
478,0.67321175,0,0
479,0.5864979,0,0
480,0.739615,0,0
481,0.7358757,0,0
482,0.6643454,0,0
483,0.7579972,0,0
484,0.4650838,0,0
485,0.5243394,0,0
486,0.34788734,0,0
487,0.47949082,0,0
488,0.47009736,0,0
489,0.39944133,0,0
490,0.34909597,0,0
491,0.5006993,0,0
492,0.4148073,0,0
493,0.7858136,0,0
494,0.43120566,0,0
495,0.4859944,0,0
496,0.8008415,0,0
497,0.69269776,0,0
498,0.75977653,0,0
499,0.6204482,0,0
