draw_idx,accuracy,below_chance,at_ceiling
0,0.7994429,0,0
1,0.89290684,0,0
2,0.875,0,0
3,0.8220339,0,0
4,0.8690808,0,0
5,0.74094707,0,0
6,0.63113606,0,0
7,0.8589386,0,0
8,0.66527194,0,0
9,0.4385475,0,0
10,0.79741377,0,0
11,0.8687151,0,0
12,0.90264255,0,0
13,0.78014183,0,0
14,0.76077884,0,0
15,0.7485955,0,0
16,0.6448468,0,0
17,0.8328652,0,0
18,0.8396095,0,0
19,0.3559322,0,0
20,0.8181818,0,0
21,0.3314121,0,0
22,0.63611114,0,0
23,0.7148876,0,0
24,0.66106445,0,0
25,0.4111888,0,0
26,0.84615386,0,0
27,0.9175978,0,0
28,0.8856346,0,0
29,0.67827296,0,0
30,0.84669477,0,0
31,0.7858136,0,0
32,0.7863129,0,0
33,0.6476323,0,0
34,0.6340058,0,0
35,0.24895105,1,0
36,0.6582985,0,0
37,0.65090406,0,0
38,0.6022253,0,0
39,0.6433566,0,0
40,0.43810847,0,0
41,0.7254902,0,0
42,0.6689847,0,0
43,0.8296089,0,0
44,0.76536316,0,0
45,0.837274,0,0
46,0.72461754,0,0
47,0.71026725,0,0
48,0.88547486,0,0
49,0.7270195,0,0
50,0.81512606,0,0
51,0.8448519,0,0
52,0.6103352,0,0
53,0.56284916,0,0
54,0.8535565,0,0
55,0.74474055,0,0
56,0.42512077,0,0
57,0.90509915,0,0
58,0.6802244,0,0
59,0.6634078,0,0
60,0.45467225,0,0
61,0.9289694,0,0
62,0.674548,0,0
63,0.6036161,0,0
64,0.7214485,0,0
65,0.8233658,0,0
66,0.31237322,1,0
67,0.55694443,0,0
68,0.48603353,0,0
69,0.7002882,0,0
70,0.45874125,0,0
71,0.85294116,0,0
72,0.6011236,0,0
73,0.79805017,0,0
74,0.3504868,0,0
75,0.78351957,0,0
76,0.435,0,0
77,0.4373259,0,0
78,0.8356998,0,0
79,0.7218359,0,0
80,0.80694443,0,0
81,0.65726376,0,0
82,0.79888266,0,0
83,0.3955432,0,0
84,0.7510489,0,0
85,0.5771905,0,0
86,0.5771905,0,0
87,0.7538248,0,0
88,0.68994415,0,0
89,0.72879,0,0
90,0.65217394,0,0
91,0.89385474,0,0
92,0.8449721,0,0
93,0.7388268,0,0
94,0.8258427,0,0
95,0.88045007,0,0
96,0.62657344,0,0
97,0.8174442,0,0
98,0.9121339,0,0
99,0.7715877,0,0
100,0.69456065,0,0
101,0.48876405,0,0
102,0.7416201,0,0
103,0.38108483,0,0
104,0.7741935,0,0
105,0.6633941,0,0
106,0.8848315,0,0
107,0.55586594,0,0
108,0.5202797,0,0
109,0.713885,0,0
110,0.5724234,0,0
111,0.5682451,0,0
112,0.6596932,0,0
113,0.81197774,0,0
114,0.35893854,0,0
115,0.75243396,0,0
116,0.7057183,0,0
117,0.5949367,0,0
118,0.9107505,0,0
119,0.772791,0,0
120,0.62150836,0,0
121,0.84144646,0,0
122,0.67642957,0,0
123,0.6272601,0,0
124,0.9124821,0,0
125,0.6787205,0,0
126,0.36834735,0,0
127,0.8164117,0,0
128,0.891516,0,0
129,0.4659249,0,0
130,0.45582047,0,0
131,0.70153415,0,0
132,0.72625697,0,0
133,0.6400966,0,0
134,0.6269841,0,0
135,0.6862745,0,0
136,0.58553547,0,0
137,0.63143253,0,0
138,0.7827298,0,0
139,0.7898449,0,0
140,0.48948106,0,0
141,0.74965227,0,0
142,0.622905,0,0
143,0.7259684,0,0
144,0.72625697,0,0
145,0.40921786,0,0
146,0.85034966,0,0
147,0.50916785,0,0
148,0.7258741,0,0
149,0.8734353,0,0
150,0.41374475,0,0
151,0.9249292,0,0
152,0.3448276,0,0
153,0.7966574,0,0
154,0.889899,0,0
155,0.7910864,0,0
156,0.42837274,0,0
157,0.7745098,0,0
158,0.5140845,0,0
159,0.5477528,0,0
160,0.75384617,0,0
161,0.8272472,0,0
162,0.5696379,0,0
163,0.7997118,0,0
164,0.5835655,0,0
165,0.63547486,0,0
166,0.7363254,0,0
167,0.7991573,0,0
168,0.55042017,0,0
169,0.71349096,0,0
170,0.22670375,1,0
171,0.8995816,0,0
172,0.7982709,0,0
173,0.36717662,0,0
174,0.5006993,0,0
175,0.8501441,0,0
176,0.4993046,0,0
177,0.80224407,0,0
178,0.9040903,0,0
179,0.85496956,0,0
180,0.8730823,0,0
181,0.44846797,0,0
182,0.54289734,0,0
183,0.88857937,0,0
184,0.9387187,0,0
185,0.5688456,0,0
186,0.6089386,0,0
187,0.38108483,0,0
188,0.82147837,0,0
189,0.62256265,0,0
190,0.74964637,0,0
191,0.457223,0,0
192,0.73991656,0,0
193,0.8331015,0,0
194,0.49720672,0,0
195,0.9191074,0,0
196,0.6564246,0,0
197,0.7843972,0,0
198,0.89060307,0,0
199,0.7248227,0,0
200,0.6117318,0,0
201,0.76572007,0,0
202,0.6689944,0,0
203,0.5077139,0,0
204,0.70810056,0,0
205,0.65166664,0,0
206,0.5994398,0,0
207,0.74965227,0,0
208,0.62308764,0,0
209,0.7089136,0,0
210,0.69787234,0,0
211,0.75886524,0,0
212,0.5410292,0,0
213,0.75766015,0,0
214,0.68251747,0,0
215,0.4798331,0,0
216,0.61925286,0,0
217,0.8053221,0,0
218,0.41643453,0,0
219,0.6939394,0,0
220,0.40725243,0,0
221,0.88378763,0,0
222,0.59217876,0,0
223,0.4969574,0,0
224,0.9372385,0,0
225,0.71548116,0,0
226,0.36923078,0,0
227,0.64673156,0,0
228,0.6592179,0,0
229,0.45166665,0,0
230,0.46573427,0,0
231,0.9260809,0,0
232,0.63143253,0,0
233,0.7601116,0,0
234,0.9357542,0,0
235,0.54469275,0,0
236,0.7932961,0,0
237,0.9003083,0,0
238,0.5632823,0,0
239,0.69845724,0,0
240,0.82590526,0,0
241,0.54381084,0,0
242,0.7167513,0,0
243,0.51810586,0,0
244,0.57916665,0,0
245,0.87198067,0,0
246,0.68443197,0,0
247,0.8734353,0,0
248,0.4261119,0,0
249,0.85216177,0,0
250,0.9123783,0,0
251,0.89305556,0,0
252,0.44909343,0,0
253,0.62077296,0,0
254,0.74115986,0,0
255,0.7472067,0,0
256,0.59553695,0,0
257,0.7531915,0,0
258,0.759388,0,0
259,0.8912134,0,0
260,0.6281337,0,0
261,0.8080808,0,0
262,0.837274,0,0
263,0.6843575,0,0
264,0.6439499,0,0
265,0.872549,0,0
266,0.5730181,0,0
267,0.5286713,0,0
268,0.390625,0,0
269,0.5006954,0,0
270,0.58938545,0,0
271,0.7927677,0,0
272,0.45821327,0,0
273,0.8045977,0,0
274,0.9207232,0,0
275,0.5988858,0,0
276,0.6008345,0,0
277,0.86950356,0,0
278,0.42200556,0,0
279,0.64908725,0,0
280,0.7404795,0,0
281,0.6179541,0,0
282,0.61142063,0,0
283,0.45582047,0,0
284,0.39972144,0,0
285,0.55382437,0,0
286,0.4589708,0,0
287,0.5621469,0,0
288,0.77202797,0,0
289,0.5524079,0,0
290,0.6802817,0,0
291,0.68479776,0,0
292,0.83146065,0,0
293,0.8561354,0,0
294,0.79102385,0,0
295,0.818689,0,0
296,0.6368715,0,0
297,0.54393303,0,0
298,0.8859527,0,0
299,0.6787205,0,0
300,0.90295357,0,0
301,0.6136681,0,0
302,0.8951049,0,0
303,0.86834735,0,0
304,0.8040346,0,0
305,0.8337989,0,0
306,0.6497175,0,0
307,0.6246499,0,0
308,0.8868715,0,0
309,0.6454265,0,0
310,0.7552156,0,0
311,0.4993007,0,0
312,0.72625697,0,0
313,0.856546,0,0
314,0.6884562,0,0
315,0.6828929,0,0
316,0.47050563,0,0
317,0.913649,0,0
318,0.84149855,0,0
319,0.5373737,0,0
320,0.35654595,0,0
321,0.4508427,0,0
322,0.45238096,0,0
323,0.8617318,0,0
324,0.45352113,0,0
325,0.89554316,0,0
326,0.55090654,0,0
327,0.3499289,0,0
328,0.5777778,0,0
329,0.9079365,0,0
330,0.37935844,0,0
331,0.6926286,0,0
332,0.42318437,0,0
333,0.39381152,0,0
334,0.4385475,0,0
335,0.920904,0,0
336,0.3908206,0,0
337,0.79353935,0,0
338,0.83286905,0,0
339,0.48811188,0,0
340,0.51810586,0,0
341,0.87899864,0,0
342,0.7205056,0,0
343,0.8331015,0,0
344,0.7951636,0,0
345,0.56197184,0,0
346,0.74229693,0,0
347,0.52294856,0,0
348,0.81092435,0,0
349,0.76675975,0,0
350,0.57649446,0,0
351,0.25702247,1,0
352,0.55307263,0,0
353,0.88324875,0,0
354,0.9401947,0,0
355,0.6912378,0,0
356,0.7144886,0,0
357,0.6815021,0,0
358,0.83519554,0,0
359,0.8052851,0,0
360,0.627095,0,0
361,0.46927375,0,0
362,0.60251045,0,0
363,0.7364017,0,0
364,0.867688,0,0
365,0.5131313,0,0
366,0.6290098,0,0
367,0.8701117,0,0
368,0.7991573,0,0
369,0.90462834,0,0
370,0.49791378,0,0
371,0.41422594,0,0
372,0.66248256,0,0
373,0.7276536,0,0
374,0.7075209,0,0
