draw_idx,accuracy,below_chance,at_ceiling
0,0.5724234,0,0
1,0.8692629,0,0
2,0.78370786,0,0
3,0.769774,0,0
4,0.87047356,0,0
5,0.61977714,0,0
6,0.5441795,0,0
7,0.84217876,0,0
8,0.64853555,0,0
9,0.37988827,0,0
10,0.69109195,0,0
11,0.7178771,0,0
12,0.8984701,0,0
13,0.77304965,0,0
14,0.674548,0,0
15,0.6896067,0,0
16,0.55431753,0,0
17,0.6474719,0,0
18,0.7294282,0,0
19,0.3361582,0,0
20,0.8097902,0,0
21,0.35302594,0,0
22,0.6333333,0,0
23,0.7050562,0,0
24,0.6722689,0,0
25,0.4111888,0,0
26,0.6951049,0,0
27,0.90782124,0,0
28,0.8800558,0,0
29,0.643454,0,0
30,0.745429,0,0
31,0.5910987,0,0
32,0.64944136,0,0
33,0.505571,0,0
34,0.5446686,0,0
35,0.26573426,1,0
36,0.56345886,0,0
37,0.55632824,0,0
38,0.5632823,0,0
39,0.613986,0,0
40,0.4255911,0,0
41,0.71428573,0,0
42,0.6147427,0,0
43,0.8044693,0,0
44,0.6885475,0,0
45,0.8358832,0,0
46,0.61891514,0,0
47,0.7116737,0,0
48,0.73743016,0,0
49,0.7200557,0,0
50,0.79971987,0,0
51,0.62200284,0,0
52,0.5293296,0,0
53,0.424581,0,0
54,0.7977685,0,0
55,0.6044881,0,0
56,0.3115942,1,0
57,0.87818694,0,0
58,0.59186536,0,0
59,0.5502793,0,0
60,0.50209206,0,0
61,0.9289694,0,0
62,0.59666204,0,0
63,0.49791378,0,0
64,0.68802226,0,0
65,0.6536857,0,0
66,0.32352942,1,0
67,0.5277778,0,0
68,0.4594972,0,0
69,0.66426516,0,0
70,0.43496504,0,0
71,0.8473389,0,0
72,0.58848315,0,0
73,0.69916433,0,0
74,0.31571627,1,0
75,0.6522346,0,0
76,0.42166665,0,0
77,0.41364902,0,0
78,0.72920895,0,0
79,0.6564673,0,0
80,0.73194444,0,0
81,0.6248237,0,0
82,0.7360335,0,0
83,0.3816156,0,0
84,0.5678322,0,0
85,0.4742698,0,0
86,0.4937413,0,0
87,0.7315716,0,0
88,0.50558656,0,0
89,0.58414465,0,0
90,0.5189341,0,0
91,0.8072626,0,0
92,0.8226257,0,0
93,0.6927374,0,0
94,0.8103933,0,0
95,0.67932487,0,0
96,0.4993007,0,0
97,0.6896552,0,0
98,0.9037657,0,0
99,0.68384403,0,0
100,0.53556484,0,0
101,0.46629214,0,0
102,0.71089387,0,0
103,0.44506258,0,0
104,0.542777,0,0
105,0.6030856,0,0
106,0.88342696,0,0
107,0.48603353,0,0
108,0.43776223,0,0
109,0.71248245,0,0
110,0.5,0,0
111,0.545961,0,0
112,0.57461643,0,0
113,0.60724235,0,0
114,0.3840782,0,0
115,0.52990264,0,0
116,0.59693164,0,0
117,0.53727144,0,0
118,0.9046653,0,0
119,0.68443197,0,0
120,0.5083799,0,0
121,0.77468705,0,0
122,0.59693164,0,0
123,0.54242,0,0
124,0.88952655,0,0
125,0.6550765,0,0
126,0.3739496,0,0
127,0.7705146,0,0
128,0.89012516,0,0
129,0.38803893,0,0
130,0.44460028,0,0
131,0.6596932,0,0
132,0.69413406,0,0
133,0.59178746,0,0
134,0.50476193,0,0
135,0.6120448,0,0
136,0.5646732,0,0
137,0.6022253,0,0
138,0.61142063,0,0
139,0.7574048,0,0
140,0.40813464,0,0
141,0.6411683,0,0
142,0.59217876,0,0
143,0.64705884,0,0
144,0.6675978,0,0
145,0.4441341,0,0
146,0.8405594,0,0
147,0.50211567,0,0
148,0.53286713,0,0
149,0.8692629,0,0
150,0.37587658,0,0
151,0.898017,0,0
152,0.3908046,0,0
153,0.6615599,0,0
154,0.8515152,0,0
155,0.68105847,0,0
156,0.3727399,0,0
157,0.7226891,0,0
158,0.5140845,0,0
159,0.46629214,0,0
160,0.71888113,0,0
161,0.8272472,0,0
162,0.4958217,0,0
163,0.7478386,0,0
164,0.5696379,0,0
165,0.61452514,0,0
166,0.69845724,0,0
167,0.72893256,0,0
168,0.52100843,0,0
169,0.66481227,0,0
170,0.34075105,0,0
171,0.8814505,0,0
172,0.7276657,0,0
173,0.379694,0,0
174,0.44895104,0,0
175,0.63544667,0,0
176,0.34075105,0,0
177,0.6830295,0,0
178,0.877292,0,0
179,0.61764705,0,0
180,0.70990235,0,0
181,0.46518105,0,0
182,0.51758087,0,0
183,0.88857937,0,0
184,0.9233983,0,0
185,0.50347704,0,0
186,0.5293296,0,0
187,0.3504868,0,0
188,0.7642957,0,0
189,0.55431753,0,0
190,0.72843,0,0
191,0.4235624,0,0
192,0.72044504,0,0
193,0.6954103,0,0
194,0.49720672,0,0
195,0.9121339,0,0
196,0.62849164,0,0
197,0.69361705,0,0
198,0.8681627,0,0
199,0.7078014,0,0
200,0.575419,0,0
201,0.6825558,0,0
202,0.57681566,0,0
203,0.39270687,0,0
204,0.5824022,0,0
205,0.54333335,0,0
206,0.5980392,0,0
207,0.63143253,0,0
208,0.6216968,0,0
209,0.6350975,0,0
210,0.6042553,0,0
211,0.67173254,0,0
212,0.45757997,0,0
213,0.7228412,0,0
214,0.53706294,0,0
215,0.44923505,0,0
216,0.545977,0,0
217,0.7535014,0,0
218,0.34679666,0,0
219,0.65858585,0,0
220,0.34170154,0,0
221,0.8522238,0,0
222,0.5949721,0,0
223,0.489858,0,0
224,0.9079498,0,0
225,0.70013946,0,0
226,0.38041958,0,0
227,0.61057025,0,0
228,0.54888266,0,0
229,0.35666665,0,0
230,0.33986014,0,0
231,0.9177127,0,0
232,0.6300417,0,0
233,0.748954,0,0
234,0.9315643,0,0
