group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8398232460021973,0.35318905115127563,0.9287195205688477,True
all,5,0.687382297551789,0.7324604392051697,0.38073843717575073,0.9157755970954895,True
all,6,0.7303884234577304,0.764426589012146,0.33952927589416504,0.8932287693023682,True
all,7,0.7257683215130024,0.7919572591781616,0.3237723410129547,0.9379026293754578,True
all,8,0.7955752212389381,0.7914198637008667,0.4829205274581909,0.9058893918991089,True
all,9,0.7336485421591804,0.7699798345565796,0.37157976627349854,0.8931737542152405,True
all,10,0.8018731988472623,0.7575852274894714,0.40337133407592773,0.8897526264190674,True
all,11,0.7380281690140845,0.7903414964675903,0.36551135778427124,0.9127675890922546,True
all,13,0.8122710622710623,0.7812471389770508,0.5282546281814575,0.8794111609458923,True
all,14,0.7456395348837209,0.7537814974784851,0.38298696279525757,0.894990861415863,True
all,15,0.7722165474974464,0.7162879705429077,0.4077516794204712,0.897391676902771,True
all,16,0.7607142857142857,0.8084331750869751,0.48881301283836365,0.8884037137031555,True
all,17,0.7714285714285715,0.8295859694480896,0.5593911409378052,0.8765212893486023,True
all,19,0.8895348837209303,0.8338516354560852,0.7067610025405884,0.9012462496757507,True
all,20,0.7945859872611465,0.7767734527587891,0.47900235652923584,0.883428156375885,True
all,22,0.8534704370179949,0.779229462146759,0.7257828116416931,0.8679864406585693,True
all,23,0.7195402298850575,0.8071290254592896,0.40082722902297974,0.8799701929092407,True
