participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,763.23126,763.23126,763.23126,1085.3666,793.5017,763.23126,763.23126,763.23126,793.5017,816.98755,1084.4237,793.6486,819.85004,763.2312,793.5017,793.5017,793.5017,763.23126,763.23126,763.23126,816.98755,763.23126,1084.4241,817.0605,816.98755,819.85016,819.92804,793.5017,1084.4244,763.23126,763.23126,763.23126,763.23126,763.2312,819.85004,817.0605,816.98755,819.92804,816.98755,819.85004,816.98755,793.5017,816.98755,763.23126,793.5017,763.23126,819.92804,1084.4244,793.5017,817.0605
9187,824.5631,824.56305,824.56305,1087.5719,824.5631,824.5631,824.5631,888.53534,850.7209,824.5631,1086.73,850.7209,888.53534,824.56305,850.7209,850.7209,850.7209,824.5631,824.5631,824.5631,824.5631,824.56305,824.5631,824.5631,850.7209,888.53534,850.7209,888.7153,1086.7542,850.7209,824.5631,824.5631,824.56305,824.5631,888.53534,824.5631,824.5631,888.7153,1086.7542,1086.7542,824.5631,850.7209,824.5631,1086.73,824.5631,824.5631,888.7153,1086.7542,824.5631,1086.73
10002,478.10944,478.10944,478.10944,478.10944,480.0511,480.05103,478.10944,480.0511,480.05103,478.10944,478.10944,500.919,500.919,478.10944,778.8644,786.98694,480.0511,478.10944,480.0511,539.84094,478.10944,542.8716,945.5862,478.10944,480.0511,500.919,480.0511,500.919,500.919,480.0511,478.10944,478.10944,480.05103,478.10944,480.05103,478.10944,478.10944,500.919,478.10944,500.919,539.84094,480.0511,480.0511,478.10944,478.10944,478.10944,500.919,500.919,945.5862,539.84094
10003,719.38153,670.17633,670.17633,1068.8796,719.38153,706.1683,670.17633,719.38153,719.38153,706.1683,670.17633,719.38153,719.38153,670.17633,706.1683,706.1685,706.1686,706.1683,719.38214,670.17633,670.17633,670.17633,706.1683,670.17633,670.1763,719.38214,706.1683,719.38153,719.38153,706.1683,670.17633,670.17633,719.38153,670.17633,719.38153,670.17633,670.17633,719.38153,706.1683,719.38153,719.38153,706.1683,670.17633,670.17633,706.1683,670.17633,719.38153,719.38153,670.17633,670.1763
10004,407.0066,406.94873,406.94873,406.94873,644.18036,688.54517,473.06595,473.06598,622.5509,406.94873,406.94873,622.5509,622.5509,406.94873,622.5509,644.18036,407.0066,412.06927,412.06927,473.06595,473.06598,473.06604,473.0661,412.06927,407.0066,414.21204,473.0661,412.06927,414.21204,407.0066,406.94873,406.94873,407.0066,412.06927,407.0066,473.0661,412.06927,414.21204,412.06927,414.21204,473.06604,407.0066,407.0066,406.94873,406.94873,473.06607,414.21204,414.21204,412.06927,473.06607
10005,465.70923,453.70142,466.1515,447.56915,466.1515,466.1515,447.56915,466.4302,848.8241,466.82385,453.7015,453.70142,466.4302,447.56915,725.975,727.22766,453.70142,465.70923,447.56915,465.70923,465.70923,493.107,493.107,465.70923,465.70923,466.4302,493.107,466.82385,466.82385,453.70142,453.7015,447.56915,465.70923,465.70923,466.4302,465.70923,465.70923,466.82385,453.70142,466.82385,493.107,453.70142,465.70923,453.7014,465.70923,453.70148,466.82385,466.82385,465.70923,493.10706
10006,398.33438,398.33438,403.5201,389.73218,458.2057,675.19415,449.14517,605.62964,675.19415,395.45908,398.33438,605.62964,605.62964,389.73218,568.48016,570.25977,395.45908,398.33438,568.48016,605.62964,605.62964,449.14517,605.62964,398.33438,398.33438,398.33438,605.62964,403.5201,398.33438,395.45908,398.33438,389.73218,398.33438,389.73218,398.33438,389.73218,398.33438,398.33438,398.33438,398.33438,605.62964,397.3287,398.33438,395.45908,398.33438,568.48016,403.5201,395.45908,398.33438,605.62964
10007,1083.7057,962.20135,907.67523,1084.2936,907.67523,962.2014,907.6751,979.78735,962.20135,907.67523,1083.6908,962.20135,979.78735,1083.6908,962.20135,962.20135,1083.6908,1083.6908,907.675,907.67523,907.6754,907.6753,2666.8152,907.6751,907.67523,979.7875,962.20135,1083.7057,1083.7057,907.67523,907.6754,907.675,962.20135,907.67523,979.78735,907.67523,1084.2916,1083.7057,1083.6968,1083.7057,962.20135,1083.6908,1083.6968,1083.6908,962.20135,907.67523,980.2018,1083.7057,907.6753,1083.6908
10016,444.25006,444.25006,444.25,453.25375,730.69403,495.51498,453.25375,444.3305,730.69403,453.25375,444.25006,444.3305,496.737,450.4057,730.69403,495.51498,447.46954,444.25006,444.25,495.51498,450.4057,495.51498,495.51498,444.25006,444.25006,451.64206,495.51498,444.25,451.64206,447.46954,444.25006,444.25006,444.25006,444.25006,444.33047,444.25,444.25006,451.64206,444.25006,451.64206,495.51498,447.46954,444.25006,447.46954,444.25006,447.46948,451.64206,451.64206,444.25,495.51498
10017,411.64374,427.79803,411.64374,427.79803,666.37683,693.283,427.79807,666.37683,693.283,411.6437,411.6437,693.283,666.37683,411.64374,699.97986,693.283,427.79807,411.64374,411.64374,666.37683,411.6437,522.4708,666.37683,411.6437,411.6437,411.6437,666.37683,411.6437,411.6437,427.79803,411.6437,427.79807,411.6437,411.6437,411.6437,666.37683,411.6437,411.6437,411.64374,411.6437,666.37683,427.79807,411.6437,427.79807,411.6437,699.97986,411.64374,411.64374,411.64374,666.37683
