participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,706.754,708.26404,700.0215,724.7683,1084.4066,706.754,699.9638,708.7462,699.96375,716.10736,708.7461,788.19946,699.9638,700.0215,699.9638,724.83997,1084.4066,755.8951,785.79675,724.84,708.7461,1084.4244,708.7461,785.6922,708.74615,708.7461,708.74615,708.26404,708.74603,708.7462,708.7462,750.6667,722.481,716.1073,718.66833,812.99084,785.7969,716.1073,708.74603,708.7461,728.90283,716.1073,706.7541,757.92755,708.7462,750.4776,716.5653,716.5653,722.481,724.83997
9187,845.6163,832.5381,822.08496,809.3887,1086.7389,809.3887,809.3887,846.5202,809.6031,814.66284,814.66284,844.88586,1086.7195,846.1992,846.6202,819.10925,1086.7438,846.18805,827.25726,813.54456,,1086.7542,814.6629,822.08496,814.6626,1087.5923,,815.49164,828.50867,822.937,813.5416,809.3887,819.1092,809.6032,809.3886,885.2084,848.5031,1086.7438,810.634,846.5025,815.354,822.085,810.6339,1086.7195,814.6628,814.6627,846.14526,885.2084,827.25726,815.3541
10002,945.5747,449.49136,457.0342,449.56253,449.1909,449.19086,,460.59476,449.1909,449.1908,,452.6835,461.3331,455.3507,450.588,1083.0648,449.19086,473.23987,460.59476,460.59476,457.0342,460.58945,457.0342,460.59476,450.58804,,452.30276,454.99915,449.19073,449.1909,449.19092,460.59476,452.30276,449.19083,1081.746,485.39145,450.5237,461.72647,449.1909,449.1908,460.58945,449.19095,457.0342,454.58765,449.1908,449.19083,473.05676,485.39145,449.19083,449.19095
10003,596.0027,596.0026,602.7076,719.367,1067.8091,,604.37134,705.84283,596.0026,1067.8103,645.3526,598.30206,651.8707,646.14075,703.72565,599.7747,719.38153,646.58484,703.7327,705.8428,606.97473,596.0026,,625.9804,649.45123,596.0026,596.0025,643.7632,646.14056,600.24133,598.30206,607.683,599.7747,1068.7426,662.23694,719.367,596.0026,643.76306,596.1083,596.0026,596.0049,596.0027,1069.2103,596.00494,596.0026,596.0026,596.0026,717.58264,643.7632,607.53094
10004,369.3506,369.6288,,384.37735,369.5383,,373.56628,373.56635,370.55545,369.62878,372.27536,369.25616,370.54376,390.66284,384.37735,390.67383,384.37735,369.53827,398.3147,384.37744,1086.0808,370.55542,415.34137,373.56628,372.27536,370.94165,373.56628,369.6288,392.4161,369.53824,373.5664,369.5382,371.72076,369.5383,382.08658,372.24268,369.5382,369.6288,410.26016,369.5383,370.78555,369.25616,398.31467,373.56628,384.37668,371.9387,392.41617,369.6288,369.5382,370.54376
10005,417.1866,,421.4536,432.86536,393.13446,393.13007,412.73917,393.1301,393.1301,407.8731,441.72614,1080.6283,458.7651,398.02502,441.82562,402.8724,407.8731,413.70023,393.13452,407.8731,,393.1345,407.87305,393.78445,444.1751,407.87308,407.87314,407.87314,393.1345,407.87308,399.01233,421.4536,,393.13452,393.1345,461.18814,442.35,431.69315,393.13013,409.2739,424.19415,420.0346,407.87305,407.87305,443.18976,393.13004,399.07898,409.2495,409.27396,420.03333
10006,361.66214,350.96048,,341.25385,388.38742,336.81696,346.63104,392.44916,336.81696,,346.43863,336.81696,346.43863,346.43863,372.65753,350.9605,394.21664,388.3104,346.63107,346.63098,377.0889,388.3104,346.43863,392.25507,377.77332,346.43866,392.29657,360.96344,384.08786,350.96048,373.7842,564.72845,350.9605,350.6888,373.0113,350.9605,370.2151,388.3104,346.43863,350.96057,371.11127,388.3104,362.06732,388.54984,377.29837,336.817,343.36386,388.31042,350.9606,388.38742
10007,799.7638,837.95416,,1083.7057,1083.6865,837.95404,798.2065,799.76373,798.2064,809.54987,1083.619,862.9507,1083.6357,,1083.6367,880.06714,1083.6864,,809.5358,799.76373,799.7638,1083.6646,959.18384,812.5171,798.2064,1083.7559,809.5358,837.954,798.2064,1083.619,837.9541,812.89996,856.94684,802.9958,875.28973,975.6797,1083.6395,1083.6865,799.7638,944.63824,1083.6864,890.57404,809.54987,1083.6356,807.996,,975.6797,1083.7046,809.5358,
10016,724.7561,414.0699,430.18582,405.08655,432.43307,388.28326,392.80682,388.28333,388.2833,388.28333,391.28128,388.28333,432.43347,,434.35788,392.80676,440.0502,432.43298,430.79523,392.80682,428.4245,432.46976,389.35773,,432.43298,439.0991,429.28415,410.261,402.21576,389.35776,389.3577,428.4245,388.2833,432.4326,432.43298,440.0502,432.4698,388.28333,389.78223,432.4331,432.43344,432.43307,388.2833,432.43298,442.91318,388.28333,429.28418,388.28333,390.71155,432.4326
10017,385.71262,385.71252,385.71262,384.3063,384.30652,384.30658,384.3063,384.39386,385.01627,384.30652,384.39386,384.30658,385.01627,442.0054,397.92804,410.18567,384.30652,410.62433,,443.6475,385.7126,384.3063,384.3063,384.30658,399.5854,405.61493,384.30658,428.6316,382.82614,384.3063,428.6316,428.6316,385.01627,384.3067,405.61493,384.3063,384.30658,384.30658,382.82614,384.30652,384.3067,384.3067,385.71265,384.30768,385.71164,411.29654,405.615,384.30658,384.3063,384.39386
