parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.06440594223449411,0.20551789020421307,0.042853442454177715,-0.024466657938200034,0.15327854240718825,23
alpha_neg,0.04439130500363915,0.2080973878925633,0.043391304903225646,-0.0455967536163724,0.13437936362365072,23
phi,0.2582612130740333,0.24209106836853503,0.050479477269316314,0.1535731846833248,0.36294924146474183,23
rho,0.3647610974376616,0.23530687540558856,0.0490648752487974,0.2630067740791099,0.46651542079621333,23
capacity,2.81318824187569,1.4066602663425278,0.2933089412137809,2.2049027281169846,3.4214737556343953,23
kappa_total,0.7470092721607374,0.328422776692659,0.06848088284506731,0.6049886135620616,0.8890299307594133,23
kappa_share,0.4598211989454634,0.3655169561032085,0.07621555392978605,0.30175981429509335,0.6178825835958335,23
epsilon,0.05126146756051837,0.043593569572709566,0.009089887616109859,0.03241019444319381,0.07011274067784293,23
nll,425.8142832880435,154.1734908623959,32.147395110306256,,,23
aic,867.628566576087,308.3469817247918,64.29479022061251,,,23
bic,905.0785225624252,308.73580510113436,64.37586549910228,,,23
