model,parameter,group1,group2,n1,n2,U,p_uncorrected,p_bonferroni,significant,r_rank_biserial,mean1,mean2,std1,std2
Q-Learning,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,255.0,0.8631584741182466,1.0,False,-0.03238866396761142,0.1960911146866587,0.13549171839105453,0.31768945624345507,0.24450926719077623
Q-Learning,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,242.0,0.9106144564169371,1.0,False,0.020242914979757054,0.062267227322221334,0.08873469793041673,0.18099454162163864,0.23753432975748004
Q-Learning,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,206.0,0.35201593060812486,1.0,False,0.1659919028340081,0.14888582092065075,0.16866460520970192,0.06244548360232749,0.06877800464592355
WM-RL,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,251.0,0.935895531524325,1.0,False,-0.0161943319838056,0.017940967254197325,0.018658775419584966,0.01458555211778789,0.022222627489089267
WM-RL,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,244.0,0.927437907708029,1.0,False,0.012145748987854255,0.0015545060786489769,0.004179380350059926,0.0019439799893850983,0.01237238452420716
WM-RL,phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,185.0,0.157578064954759,0.9454683897285541,False,0.2510121457489879,0.224316531057971,0.28341198150117536,0.12800722415357618,0.2161720528473021
WM-RL,rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,270.0,0.6047060001121426,1.0,False,-0.09311740890688269,0.804586730324305,0.8063006024611624,0.22590081541228332,0.19594756508688368
WM-RL,capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,206.5,0.35783456403980485,1.0,False,0.16396761133603244,3.020320089963766,3.460323823125739,1.0887299068291678,1.2616201256606374
WM-RL,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,257.0,0.8232479999354121,1.0,False,-0.04048582995951411,0.04555158874987119,0.037906993088606504,0.053327881980928526,0.044193778603327044
WM-RL+K,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,263.0,0.7216993807127172,1.0,False,-0.06477732793522262,0.01864130300684612,0.018405204099651965,0.014291965829398175,0.019890709578528464
