model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
Q-Learning,alpha_pos,intercept,0.14639630686027116,0.044193263616203335,0.05907460169172431,0.23371801202881803,3.312638508249827,0.0011583019627084245,0.03604107609073348,0.016761897612548093,154,
Q-Learning,alpha_pos,ies_intrusion,0.01370491266457319,0.0060499800787497445,0.0017507247752119402,0.025659100553934437,2.2652822796410548,0.024927185454620485,0.03604107609073348,0.016761897612548093,154,
Q-Learning,alpha_pos,ies_avoidance,-0.004803350884425175,0.0045454277105478925,-0.013784685728857856,0.0041779839600075055,-1.0567434332480437,0.2923276420858969,0.03604107609073348,0.016761897612548093,154,
Q-Learning,alpha_pos,ies_hyperarousal,-0.009240140570050575,0.006132301803504274,-0.021356988394202105,0.0028767072541009547,-1.5067980778066634,0.13396552756125713,0.03604107609073348,0.016761897612548093,154,
Q-Learning,alpha_neg,intercept,0.12528326419962577,0.03800604786199357,0.05018691162316949,0.20037961677608204,3.296403368604666,0.001222508067246719,0.01854257282298455,-0.0010865757205558157,154,
Q-Learning,alpha_neg,ies_intrusion,0.004693606007666326,0.005202961121720938,-0.005586952609139432,0.014974164624472083,0.9021028406443028,0.368448502031298,0.01854257282298455,-0.0010865757205558157,154,
Q-Learning,alpha_neg,ies_avoidance,-0.005943434075398258,0.0039090514930192975,-0.013667349759166537,0.0017804816083700206,-1.5204286988830713,0.13050839688118646,0.01854257282298455,-0.0010865757205558157,154,
Q-Learning,alpha_neg,ies_hyperarousal,-0.00041353009930107263,0.005273757509113231,-0.010833975675362798,0.010006915476760652,-0.07841280123071238,0.9376041957612467,0.01854257282298455,-0.0010865757205558157,154,
Q-Learning,epsilon,intercept,0.1547189668871535,0.019556015257735357,0.11607813208848838,0.19335980168581862,7.911579370749091,5.161088497148894e-13,0.03631688085452356,0.017043218471614052,154,
Q-Learning,epsilon,ies_intrusion,0.0013612870682604443,0.0026771841011000975,-0.003928575268868928,0.006651149405389817,0.5084771972540364,0.6118657483172872,0.03631688085452356,0.017043218471614052,154,
Q-Learning,epsilon,ies_avoidance,-0.0008012435652131563,0.0020114027882705693,-0.004775585057117776,0.0031730979266914633,-0.39835062866850063,0.6909381758241038,0.03631688085452356,0.017043218471614052,154,
Q-Learning,epsilon,ies_hyperarousal,0.002884580641422272,0.0027136123884364594,-0.002477260542850099,0.008246421825694643,1.0630039329545962,0.2894885102701102,0.03631688085452356,0.017043218471614052,154,
Q-Learning,alpha_pos,intercept,0.16705142927367517,0.0663275956105286,0.03600840137996955,0.2980944571673808,2.518581108451307,0.01281751010540113,0.0002885304748240225,-0.006288518666788923,154,LESS
Q-Learning,alpha_pos,lec_total,-0.0013223571852038754,0.00631347518075212,-0.013795851763170903,0.011151137392763154,-0.2094499696831538,0.8343774438060042,0.0002885304748240225,-0.006288518666788923,154,LESS
Q-Learning,alpha_pos,intercept,0.16307923510691477,0.042029924889118705,0.08004096771733284,0.24611750249649672,3.8800743883588287,0.00015516435138996577,0.0004307560570611102,-0.006145357389931938,154,IES-R
Q-Learning,alpha_pos,ies_total,-0.0002883471296287088,0.0011266384906372486,-0.002514239954413448,0.0019375456951560305,-0.25593580551789424,0.7983464416684809,0.0004307560570611102,-0.006145357389931938,154,IES-R
Q-Learning,alpha_pos,intercept,0.17360778474996838,0.07230976370213082,0.030738231446447717,0.31647733805348904,2.400889947104785,0.01757193686195955,0.0006433507725659426,-0.012593161137731235,154,LESS + IES-R
Q-Learning,alpha_pos,lec_total,-0.0011434989863412456,0.006380156489267539,-0.013749405311566189,0.011462407338883696,-0.17922741993316257,0.8579994004937022,0.0006433507725659426,-0.012593161137731235,154,LESS + IES-R
Q-Learning,alpha_pos,ies_total,-0.00026363968336766354,0.0011386187545468186,-0.0025133213932294995,0.0019860420264941722,-0.23154342251511106,0.8172061267419927,0.0006433507725659426,-0.012593161137731235,154,LESS + IES-R
Q-Learning,alpha_neg,intercept,0.1028728191032983,0.05653583259230713,-0.008824682052789981,0.2145703202593866,1.8196038580547285,0.07078702532365927,0.00010725731286320705,-0.006470984415341663,154,LESS
Q-Learning,alpha_neg,lec_total,-0.0006871579217655618,0.005381433965895619,-0.011319224331075501,0.009944908487544377,-0.1276904866101427,0.898562696424381,0.00010725731286320705,-0.006470984415341663,154,LESS
