model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
Q-Learning,alpha_pos,lec_total,154,-0.09511124385276179,0.24065740609513944,1.0,False
Q-Learning,alpha_pos,lec_personal,154,-0.09311969053385151,0.2506930018670094,1.0,False
Q-Learning,alpha_pos,ies_intrusion,154,-0.05919755200119151,0.4658322630059343,1.0,False
Q-Learning,alpha_pos,ies_avoidance,154,-0.12211720267828499,0.13136514434841992,1.0,False
Q-Learning,alpha_pos,ies_hyperarousal,154,-0.11498126428762646,0.15561680233885614,1.0,False
Q-Learning,alpha_neg,lec_total,154,-0.1012756942290141,0.21138184188456488,1.0,False
Q-Learning,alpha_neg,lec_personal,154,-0.08215485242290604,0.31109742178754296,1.0,False
Q-Learning,alpha_neg,ies_intrusion,154,-0.016079180647634448,0.8431041543519437,1.0,False
Q-Learning,alpha_neg,ies_avoidance,154,-0.09599719997613106,0.23628428497042717,1.0,False
Q-Learning,alpha_neg,ies_hyperarousal,154,-0.04753338930784861,0.5582794745350831,1.0,False
Q-Learning,epsilon,lec_total,154,-0.14092645409264212,0.08127880650623642,1.0,False
Q-Learning,epsilon,lec_personal,154,-0.203202649768758,0.011485789759149684,0.17228684638724526,False
Q-Learning,epsilon,ies_intrusion,154,0.11577341213997892,0.15276941654186552,1.0,False
Q-Learning,epsilon,ies_avoidance,154,0.1090151829651004,0.17835559471894605,1.0,False
Q-Learning,epsilon,ies_hyperarousal,154,0.1565146414682144,0.05257018924550078,0.7885528386825117,False
WM-RL,alpha_pos,lec_total,154,-0.12463595244466048,0.12353557782835647,1.0,False
WM-RL,alpha_pos,lec_personal,154,-0.028129850659481082,0.7291122217877855,1.0,False
WM-RL,alpha_pos,ies_intrusion,154,-0.09970739323846894,0.21857595784622905,1.0,False
WM-RL,alpha_pos,ies_avoidance,154,-0.04833125966087071,0.5516853365808239,1.0,False
WM-RL,alpha_pos,ies_hyperarousal,154,-0.12100489276963036,0.13494170212405432,1.0,False
