participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,787.51825,774.176,800.2987,774.1761,787.51825,1082.3201,774.1761,774.1761,774.176,774.1761,774.17596,787.51825,759.39355,800.62494,797.55225,774.1761,1085.4255,787.51825,800.6249,824.15063,787.51825,757.8214,757.8214,800.2987,787.51825,787.51825,800.6249,774.176,800.62494,774.176,787.51825,774.17596,774.17596,,772.69104,806.78876,774.1761,801.03314,774.176,757.8214,774.1761,774.17596,774.1761,1084.4609,790.7375,772.7057,800.2987,774.1761,774.176,757.82153
9187,897.666,868.17334,919.7466,866.5929,896.7099,1086.8252,866.5928,921.15247,866.71576,1087.0706,929.3123,893.2126,869.60706,919.9579,866.71576,929.3123,1086.8481,866.7158,893.2129,922.094,868.2072,1084.8862,866.8162,919.7467,893.21295,893.21246,922.0941,866.24023,921.369,866.06555,897.6635,866.71576,866.7159,868.21124,897.666,921.369,866.46893,921.3707,866.71576,868.3583,865.8911,866.46893,868.31696,1087.6237,866.59283,868.35474,921.3123,921.2146,868.17334,865.6524
10002,556.79736,556.45135,573.5362,559.35767,560.521,,559.33997,559.35767,582.73846,582.73865,574.9205,556.79736,559.4892,573.53625,560.15173,582.7387,582.7387,559.4892,560.521,585.21826,559.35767,560.2041,582.73865,556.5264,556.79736,556.79736,598.9789,556.79736,599.02496,549.3555,559.35767,549.3555,559.35767,559.3402,579.0999,598.9789,549.3555,574.2707,549.6948,559.4892,1081.8921,549.3556,549.6949,549.3556,559.3402,549.3555,603.6505,556.4514,559.34,549.3555
10003,8473.766,647.63165,678.4936,,670.08655,674.3351,647.63165,670.08655,628.2999,674.3351,678.4935,670.08655,722.52405,678.4936,682.9413,714.75586,1067.8209,670.08655,706.17377,1068.9458,670.08655,628.3,691.4762,682.9413,670.08655,670.08655,682.9412,628.2999,682.9412,647.6317,674.3351,670.08655,717.7764,674.3351,647.6317,678.4935,647.63165,678.4935,674.3351,674.3351,670.08655,647.6317,678.4936,628.2999,647.6317,630.3649,735.1287,670.08655,647.6316,729.78516
10004,415.082,426.5435,434.02313,421.93817,413.8119,426.99637,423.67874,431.98132,426.96832,9560.586,434.00702,572.00714,431.9637,754.6039,420.80072,431.96405,425.7261,455.26904,431.98135,431.96405,9560.586,426.98465,426.98627,434.02313,480.38696,427.44473,429.04932,419.4485,427.64203,423.0475,431.9818,424.38547,423.6578,413.81195,425.7261,434.02313,431.9637,422.39047,410.9295,426.98627,427.45456,421.2248,434.0074,410.92947,421.17432,467.00076,434.00748,424.38547,486.98315,413.81195
10005,1080.7609,540.798,540.5757,525.6852,529.71436,537.98193,535.03876,541.38043,536.7896,543.8315,544.0184,532.9426,542.1943,543.1274,543.83154,531.83734,544.81384,551.68146,529.71844,606.15265,870.9865,531.83746,503.52097,545.14325,529.7184,529.7184,544.7301,501.5639,544.7301,501.82413,537.7829,581.1588,,503.0605,501.56387,546.3529,501.82413,537.5608,503.69617,,543.64606,504.1881,537.5608,529.71423,523.6144,534.04663,551.64575,529.7143,501.56387,501.56384
10006,462.6258,688.04785,514.3954,514.3689,486.1872,10113.206,490.49844,490.4984,466.4682,493.46738,493.46738,486.29007,514.14246,459.36484,493.3599,493.3598,486.18713,556.1614,486.29007,553.01587,493.35983,492.54553,452.35352,492.6007,462.6258,486.29007,10113.206,466.26276,493.46732,514.4566,492.6005,462.6258,490.54575,486.09616,462.62582,513.6485,449.74716,486.2901,457.84357,530.34644,449.7471,452.35352,477.14804,449.74716,490.49847,470.4565,,529.7737,449.74716,449.74716
10007,821.613,822.9537,847.8114,849.04535,845.5361,821.61194,821.61194,849.04535,821.613,969.3532,849.04535,848.0874,847.77075,848.08734,926.56506,1083.7291,1083.6799,821.61194,821.613,988.05597,821.613,821.613,851.21814,849.0453,821.613,845.5361,975.0682,824.5641,975.0682,821.613,845.53595,821.613,824.57275,824.57837,823.8196,857.4839,824.57275,847.7708,988.0556,824.57275,926.4913,821.613,847.7707,823.8196,822.9537,824.5709,849.04535,847.77075,824.5432,824.57837
10016,513.6076,515.82574,519.93994,515.82574,515.8258,541.69495,530.0609,513.6076,525.92224,528.1188,519.93994,727.8346,540.2432,,546.8258,528.11884,525.92224,528.1188,519.89514,508.2681,519.93994,515.8258,540.23364,540.09515,515.8258,515.82574,532.68024,535.9579,525.92224,510.50082,540.09503,515.8258,528.8931,515.82574,9910.579,546.8258,515.82574,519.93994,527.6314,525.6044,528.1188,527.63135,540.2422,513.6076,510.50076,528.7183,546.9374,519.93994,515.82574,515.8258
10017,476.66333,1083.2275,488.36862,488.31702,480.57938,9450.063,479.48114,482.1958,496.32895,482.1351,488.31705,480.46988,481.1028,476.73532,486.58063,486.58066,486.58063,511.29697,480.46988,488.33325,480.46988,501.6996,488.33325,488.36862,496.32895,482.1341,486.58066,482.19717,486.58057,476.34335,488.36862,482.1351,496.32892,9450.063,486.58057,488.3686,488.31635,480.46988,481.93387,488.36862,488.31702,471.7674,476.66336,481.56073,479.9402,481.1028,487.75696,681.2343,496.32895,477.46985
