parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.1553021880487601,0.2575572027902798,0.03839436090225094,0.07792343804487213,0.23268093805264806,45
alpha_neg,0.018857715478063457,0.052493995816640174,0.0078253428704398,0.003086773198074398,0.03462865775805252,45
phi,0.28038597928049663,0.2854055036124901,0.042545740482005975,0.19464067348236241,0.36613128507863085,45
rho,0.5702571752895084,0.3401808301241141,0.05071116405332182,0.46805553959414536,0.6724588109848714,45
capacity,2.9508770147959393,1.6443875211088013,0.24513081857011,2.4568483115528825,3.444905718038996,45
kappa,0.039742902480065824,0.07492573734723049,0.011169269464846808,0.01723271897038872,0.062253085989742926,45
phi_rl,0.07552528480171329,0.047668772031771195,0.007106040977798743,0.06120400023238905,0.08984656937103754,45
epsilon,0.038226711173127925,0.03374900640115653,0.005031004832404103,0.028087387167030818,0.04836603517922503,45
nll,421.0590959337023,146.9146166390178,21.900737979544363,,,45
aic,858.1181918674046,293.8292332780356,43.80147595908873,,,45
bic,895.2151255460103,294.3930102065783,43.88551886151323,,,45
