participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,773.6476,765.7733,774.7233,765.7733,773.6476,748.4443,748.44434,774.7234,774.176,1084.4586,774.7232,773.6476,772.0852,776.4558,843.9388,1084.4586,1084.4674,773.6475,773.6476,787.51825,765.7733,748.44434,1006.8459,774.7232,773.6476,773.6476,800.6249,765.7733,800.62494,765.7733,773.6476,773.6476,748.44434,772.0852,748.44434,800.625,748.4442,772.0852,774.1761,765.7732,757.8214,765.77325,774.72327,748.44434,765.7733,748.44434,774.72327,776.4558,765.7733,748.44434
9187,882.48584,859.7878,891.3947,860.7428,883.6931,921.52893,859.7877,892.578,866.7159,1086.8251,891.3948,879.7853,892.513,892.86084,860.7428,1086.8481,1086.8481,879.7853,882.60376,921.369,859.7878,859.37103,868.3463,868.35486,879.78534,879.78534,922.094,1086.8252,919.9579,858.7589,879.78534,859.7878,861.41644,883.99115,1086.8296,921.369,7510.068,892.51306,866.71576,921.3091,868.32764,1086.8263,1085.4402,1087.6237,859.7877,859.3709,921.37317,892.86084,859.7877,859.371
10002,580.04504,581.78613,585.2198,1081.8937,582.97876,580.04504,578.36597,578.36597,575.5767,578.366,,582.97876,585.2545,585.2839,582.1103,581.78613,578.36597,582.97876,582.97876,588.08606,578.36597,581.78613,580.04504,585.21985,580.04504,582.97876,585.2198,574.16907,599.02496,575.5331,578.36597,582.97876,,574.4494,575.5331,585.2198,581.78613,585.2838,583.60785,575.5331,582.7387,,575.5331,575.5331,581.78613,,585.2198,582.13293,578.36597,575.5331
10003,657.01306,656.9168,656.9169,657.01306,657.01306,656.9169,620.9941,656.9169,5281.1655,656.9168,656.9169,657.01306,656.9169,657.013,640.9629,656.9168,1065.2887,656.9169,657.01306,650.1074,656.9168,656.9169,650.10736,656.9169,657.013,657.01306,682.9413,656.9169,682.9412,656.9169,,656.9169,705.8041,656.9169,656.9169,657.01306,656.9169,656.91675,650.1075,640.9629,650.1074,656.91675,656.91675,656.9168,656.9168,620.99414,657.01306,656.9169,690.32806,656.9169
10004,416.8805,421.9954,421.4823,426.19788,416.8805,417.08807,425.5609,421.9954,414.97443,416.8805,427.3872,431.99228,416.8805,421.48233,427.2963,,423.17636,420.32425,416.8805,467.00076,414.97446,420.32425,425.72604,421.59836,425.57144,426.19788,427.64203,414.97443,427.64203,,421.9954,420.32425,425.56094,420.32425,420.32425,423.17636,422.62573,421.48233,415.082,414.97443,431.96405,415.082,416.8805,414.97446,419.88055,414.9744,429.03336,420.32416,419.88055,414.9745
10005,487.093,514.3065,514.3066,514.4533,486.91327,512.1995,520.778,514.4532,488.60962,514.3066,514.45325,515.9256,507.92578,516.8894,514.3066,514.30664,516.88934,488.18878,514.3066,488.18875,514.4533,514.3066,488.18878,544.3115,487.093,515.8324,544.7302,515.92566,544.74335,487.093,515.83246,514.3066,514.3066,488.18878,486.91327,515.8324,486.91327,488.18875,503.69623,514.3066,488.18878,488.18878,514.3066,515.92566,514.3066,488.60965,514.3065,514.3065,486.91327,487.093
10006,444.6875,463.78018,463.74762,463.78018,463.78018,444.7377,463.7801,459.71408,444.7377,463.74762,463.74756,463.78018,457.4495,463.78018,463.74756,463.74756,463.78018,463.78018,457.44952,482.7042,467.58005,463.78018,444.6875,459.71408,463.7801,463.78018,463.78018,463.78018,463.78018,460.0814,463.78018,463.78018,480.84952,444.7377,457.4496,463.74762,463.74756,444.6875,,463.7801,452.35352,463.78018,463.74756,463.78018,459.71408,480.1159,459.71408,463.78018,444.68164,457.44952
10007,896.2999,895.9185,907.91156,896.805,896.9953,897.3835,894.97156,896.805,923.04834,1083.7203,896.80505,896.2999,896.80505,895.6741,897.3835,1083.7292,1083.7292,876.6292,894.9716,922.0175,894.9716,894.97156,926.5408,988.05597,896.30005,896.3,975.0682,926.53827,975.0681,894.9717,896.3,894.97156,897.3835,907.90765,1083.7181,908.6538,894.97156,895.67413,926.5409,877.74884,923.04846,1083.7202,1084.3264,1084.3284,877.74884,877.2453,976.4311,895.6742,876.6293,883.34283
10016,519.12463,518.875,520.4951,520.4952,518.87494,568.14526,518.87494,520.48096,520.9834,518.875,520.4952,518.875,520.4951,520.4951,519.12463,518.8751,518.875,519.12463,520.4785,535.9579,518.875,518.875,500.14566,520.4951,518.875,518.87494,520.4951,519.12463,520.47906,519.12463,528.1188,518.87494,518.875,518.87494,520.48096,520.4952,517.3776,520.4952,500.24182,518.875,528.1188,519.12463,520.4952,521.7059,519.12463,518.8751,520.4952,520.4951,519.1246,518.87494
10017,482.77692,483.8831,483.88306,485.50598,483.9611,487.332,482.77692,483.8831,481.93387,485.5051,488.31702,484.5182,485.25818,483.88306,483.9566,483.88306,485.505,483.8831,483.88312,488.31702,485.49597,483.88306,473.48038,487.332,484.51373,483.88306,488.36862,484.51843,486.58066,473.4806,487.75696,483.8831,484.51843,484.5182,485.50558,483.88306,488.33325,483.88306,483.95526,483.9566,486.58066,,483.88306,483.8831,483.96136,484.51373,483.8831,484.51843,501.2854,482.77692
10018,640.3683,659.4061,677.4576,659.40607,659.40607,640.3682,666.55304,659.40607,644.69183,640.36835,677.4574,640.36816,650.51105,677.461,665.7377,659.40607,1082.0559,640.36816,640.3682,714.0029,659.40607,659.40607,644.6918,677.4575,659.40607,659.40607,677.4611,640.3682,692.58875,659.40607,640.3682,640.36816,671.01245,640.3682,640.3683,677.4611,642.76575,677.0198,644.9412,659.40607,644.69183,640.36816,677.4575,640.99225,659.40607,646.4621,677.45746,677.4611,659.40607,659.40607
10024,391.15384,388.0809,389.14218,389.14215,391.15384,365.9739,365.9739,389.14218,374.0869,385.44656,389.14215,391.15384,388.2872,392.0141,391.7116,388.0809,391.15384,388.0809,391.15384,476.92148,401.0102,388.08087,365.9739,414.04358,391.15384,391.15384,415.60446,388.0809,415.60452,388.0809,391.15384,391.15387,400.94855,369.25894,365.9739,392.01407,365.97388,388.28717,365.97388,388.0809,394.1364,388.0809,389.14218,388.0809,388.08087,365.97388,389.14218,389.14215,391.7116,368.58243
10025,1834.8895,248.12857,253.23676,254.14796,243.8756,243.8756,243.87558,254.148,254.21478,253.23676,254.148,250.95158,256.24066,253.23676,244.55598,243.8756,246.04587,258.17685,244.35757,304.30402,253.23671,243.8756,243.87561,254.14801,243.87563,255.33066,255.33067,243.8756,255.3307,244.34615,245.1454,244.34618,250.95396,257.56296,244.34619,259.18427,245.62813,253.23677,254.21475,243.87561,254.21475,243.87561,253.23677,244.34618,248.1286,245.62813,259.17047,246.22952,243.87556,244.34619
