participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,748.44434,800.6249,774.7234,765.7733,748.44434,773.6476,774.176,759.39355,748.44434,748.44434,773.64764,748.44434,824.3452,787.5182,757.8214,765.7733,774.7233,748.44434,787.51825,774.1761,773.6475,824.4639,774.0952,748.5963,757.8214,765.7732,797.55225,800.2987,748.44434,787.51825,,774.176,,757.8214,765.7733,800.6249,1084.4674,774.72345,774.176,751.1194,774.1761,748.5962,787.51825,765.7733,773.6476,748.44434,748.5963,772.0852,776.4558,772.0852
9187,857.5896,919.9578,892.85803,892.86084,860.7428,892.86084,,865.8909,857.5897,892.86084,859.7878,857.5898,1086.8256,893.21295,896.7099,859.78455,892.86084,871.64435,883.9821,857.6344,879.9276,1087.6237,879.92755,885.1207,983.2567,860.7427,882.60376,919.7467,887.40186,896.07837,,859.371,879.78534,859.12695,879.7853,921.3739,897.658,892.51306,859.78455,859.7878,868.336,857.63464,893.2129,859.78467,879.7853,857.5897,,892.513,892.86084,868.336
10002,554.6632,,561.2899,561.29,557.24133,554.6632,546.80524,557.3538,546.8052,554.6632,554.6629,,554.6632,583.5554,557.24133,557.2414,561.29,546.8052,582.73895,578.36597,557.24133,549.6949,554.6632,557.2414,546.8052,546.80524,546.80524,561.2899,,583.79565,558.0349,557.24133,561.2899,546.80524,558.035,561.9654,555.1193,561.29,582.7387,546.80524,554.7198,554.7198,559.3402,557.2558,557.24133,546.80524,554.6632,561.2899,561.2899,558.035
10003,655.25726,655.2573,655.25745,655.3205,674.3351,655.2573,650.10754,656.9169,619.9953,655.2574,655.2573,646.48694,655.3205,655.25745,680.3293,655.2574,655.2573,655.2573,656.38104,674.3351,655.3205,1068.94,656.38104,655.2573,623.1883,655.2574,655.32056,655.2573,639.5658,655.32043,655.2574,655.2574,693.3505,655.2574,655.2574,655.32043,655.3205,655.2573,619.9953,655.2574,1068.9458,631.6326,674.3351,655.2574,655.32043,619.99524,655.2574,655.32056,655.3205,655.2573
10004,410.92953,433.69672,417.5067,413.55768,431.98666,416.254,415.082,428.38843,410.81403,413.55768,417.53043,410.81403,413.55762,425.72614,426.5636,422.85056,417.5067,416.26947,422.3154,431.9818,414.34586,413.55765,561.39453,422.40845,410.92947,410.81403,421.81396,417.5067,426.98462,431.96368,426.9436,426.98462,416.25406,410.81403,413.5392,417.50674,417.5067,413.55765,426.97922,416.254,417.08807,422.3154,426.99637,422.81912,422.3154,410.81396,422.81912,417.5067,417.5067,419.4485
10005,485.31644,516.2037,,514.1695,513.76294,512.51196,531.8375,545.14325,485.31647,513.76294,513.7629,486.6048,513.2559,531.8375,513.25586,514.5023,512.51196,485.55362,521.46,516.2037,514.1695,485.31647,498.30917,544.8138,485.5536,486.60464,503.5209,512.51196,543.7607,531.83746,506.11356,514.45325,514.1695,485.55362,512.51196,514.1695,513.2558,548.2942,531.8375,485.55362,531.83746,485.55362,485.31647,513.76294,485.55362,485.31644,486.51282,506.11362,514.1695,485.31647
10006,443.14145,493.47726,459.89938,459.93872,477.7146,459.93872,466.46814,467.74072,443.27243,443.14145,459.93872,443.2724,463.76764,443.27243,452.35352,477.4677,459.93866,453.24854,479.34796,,459.93872,459.93866,455.02808,472.8869,443.2725,459.5067,514.4573,459.93866,492.02625,459.93872,488.49957,477.4677,459.9387,459.93872,459.896,459.93863,459.9387,443.27243,493.2314,459.93866,444.7377,443.27243,482.00775,631.6041,479.53125,443.2725,493.42996,453.24854,459.93866,
10007,810.46344,975.0682,825.6647,827.12756,813.50214,827.12665,926.5409,813.4871,811.7891,810.4635,810.4635,813.4871,926.5358,810.4635,1083.7295,810.4635,827.17084,862.1217,826.73224,810.4635,826.7321,969.3569,827.17084,810.4635,862.1331,810.4635,812.68256,825.66455,810.46356,833.779,826.22296,813.51404,827.12744,812.68256,811.7891,827.12744,827.12744,825.66455,810.4635,812.68256,974.8684,820.7471,826.73206,813.4929,826.7321,810.4635,813.4742,825.66455,827.12744,825.66455
10016,492.53387,524.78,510.35983,510.3725,541.9134,510.37247,518.87494,541.82367,492.80377,508.7495,508.44373,520.8457,1082.9211,525.92224,508.44373,520.89496,524.02686,508.74948,530.10376,520.8949,508.44373,508.44373,695.20087,525.92224,507.34683,520.7129,541.7749,510.387,541.695,528.11884,510.387,520.8759,510.387,508.40234,510.36368,533.2928,510.3724,497.28217,508.44373,508.74948,531.35876,511.3572,520.90643,520.8761,524.013,508.44373,510.37247,500.35028,510.387,511.3572
10017,468.8676,478.9251,478.39972,487.332,488.34973,478.39972,486.67084,488.36862,482.19714,477.35938,478.39972,468.9678,478.39972,486.67078,482.1972,488.36862,479.4751,478.3997,501.69962,488.31702,476.60358,487.1309,476.60355,488.317,,478.48984,488.3497,478.39972,501.6996,486.65057,478.4898,488.36862,478.39972,478.4945,478.48987,478.48987,468.97906,478.48993,487.332,478.9251,487.75696,478.9235,482.19574,479.93268,496.05435,476.66333,,478.48987,478.39972,478.9251
10018,633.66437,692.5887,665.5437,670.1451,674.26,,640.3682,633.66437,644.6918,644.6917,670.1621,640.6718,633.66437,633.66437,669.2011,633.66437,670.14514,633.66437,635.16235,,635.16235,1083.0187,633.66437,,640.6718,635.1623,,670.1452,644.6918,714.31256,665.5437,635.1623,670.1451,633.66437,670.1452,692.5982,692.59827,673.3127,644.6918,653.78705,692.49146,633.66437,653.787,633.66437,635.16235,633.6644,643.9541,670.2251,670.22504,643.95404
10024,349.22852,415.60452,366.55536,369.62994,381.2631,365.51117,788.36945,,348.84695,349.2285,365.51117,355.58365,369.6252,369.6252,369.6252,365.51114,366.55536,348.84695,408.55847,365.51117,368.49973,348.84695,395.70743,379.44098,357.74026,348.8469,385.2265,366.55536,348.8469,386.96344,366.5554,365.51117,369.32806,365.5112,369.60776,369.62994,368.4997,366.55536,392.37448,348.84692,415.7883,348.84692,408.55844,365.51114,368.4997,348.84692,348.847,365.72525,369.32803,369.62866
10025,242.95586,252.4494,257.3328,254.85655,244.96872,291.6743,242.95581,242.95583,242.98729,245.13025,242.95584,242.95601,242.95583,252.33823,242.98732,242.95581,252.44945,252.33823,255.12473,242.95583,244.68828,242.95584,244.68845,283.51694,243.73505,242.95583,242.95583,252.4494,3435.0347,258.81735,257.33282,252.44942,257.33282,242.9873,252.44945,254.85657,245.14545,255.45091,242.95583,242.9558,290.00067,242.98734,245.24196,242.95583,242.95595,243.73503,254.70929,255.45091,,244.68832
10027,313.35782,329.8966,329.8966,331.68835,340.3554,331.68845,313.6241,319.86316,313.35782,329.89655,314.46628,313.58975,313.35785,354.7978,315.35052,340.31305,329.8966,329.89658,329.65454,367.37494,326.18353,315.35052,447.42825,340.31302,313.58975,314.54446,329.19156,329.8966,315.45828,326.18353,329.8966,340.4128,331.68842,313.35782,313.35782,331.7843,331.6884,329.89658,319.8632,329.8966,315.63126,327.5767,313.58975,313.6241,326.18353,313.58975,340.31305,329.89658,331.6884,329.8966
10028,685.61584,710.26935,704.6004,767.62897,715.6543,710.26935,691.5767,688.6445,767.6296,767.90875,767.9269,701.8944,705.0037,706.8651,706.0603,686.58264,750.0695,685.61584,706.8651,701.84906,698.4015,691.57654,698.4388,767.62897,767.62897,686.503,688.3543,709.715,687.5186,721.2029,704.5307,767.62897,703.54205,767.629,749.8752,767.629,767.9278,767.9284,688.64453,702.2323,767.6289,767.62897,701.84906,767.6297,,685.61584,688.64453,704.60046,710.26935,709.715
10029,317.02557,344.01376,327.71027,326.54443,323.70978,323.57614,319.4084,325.89816,317.02557,325.89816,319.40842,317.0256,326.54443,318.5018,326.24683,323.7065,329.37833,318.1396,337.7491,348.24765,322.1517,317.02557,431.06326,320.04248,318.90295,318.22906,317.0256,329.37836,320.532,329.16595,329.37836,319.4084,329.88055,317.02557,323.5761,329.8805,330.45245,328.01834,319.4084,317.0256,319.40842,323.7065,338.80664,323.5762,322.16888,320.78262,325.52167,327.71024,329.88055,327.71033
10030,276.9764,315.61414,289.5145,294.53275,286.9228,277.19913,286.4171,315.61414,276.97644,282.61295,289.02216,276.9764,284.5633,284.56332,303.51962,286.9228,289.5145,276.97644,465.8183,286.92282,293.9798,289.0222,350.3676,297.93683,277.01352,279.26877,7234.0884,289.51443,297.93686,301.83624,277.19913,288.04724,294.5327,277.01352,277.69482,293.04535,291.10345,290.08664,284.56332,277.19913,,276.97647,303.97632,287.98004,293.88596,276.97644,279.21866,289.5145,294.64133,284.28006
10031,418.02817,450.94135,430.4531,430.45306,430.50763,430.4531,435.70386,432.64142,418.02814,428.43594,435.96982,423.20676,428.4359,435.96985,435.85175,443.6887,430.45312,428.5749,436.7167,428.4359,428.57483,419.81116,428.43588,445.4076,424.19888,418.0282,430.6028,430.4531,438.70654,432.09476,430.45312,430.4531,430.4531,428.5749,430.4531,445.3902,433.0111,450.9414,430.80206,418.02808,418.02817,418.02814,788.98755,428.57565,428.5749,418.0281,430.4531,430.4531,430.45312,418.3376
10035,362.58096,395.2955,387.30157,390.29416,390.29416,392.2951,389.4941,362.58096,362.58093,362.58096,395.29553,364.24768,398.53094,387.30145,362.58096,390.29413,390.29416,362.58096,401.35797,392.06747,395.29553,362.58096,398.5315,418.11478,362.58096,390.29416,388.76245,390.2942,373.52414,398.5257,387.30154,399.93155,398.35202,398.5257,390.29413,395.29553,419.56665,387.30154,419.25656,390.2942,417.2966,369.9441,401.35797,390.29416,398.35202,362.58096,390.29416,387.30157,398.352,387.30148
10036,512.3081,558.3846,532.55566,527.8404,518.15753,518.15753,525.35504,525.355,512.30817,512.3081,527.84033,512.3082,782.61694,541.17194,525.35504,512.30817,532.65857,518.15753,541.17194,518.15753,527.84033,783.29767,527.9748,518.4395,551.6688,518.15753,518.15753,532.55566,525.35504,541.17194,518.15753,518.15753,532.6586,518.15753,518.15753,532.65857,541.17194,532.55566,518.15753,513.009,525.355,514.2726,541.17194,518.15753,527.84033,518.15753,512.3081,532.6586,532.65857,512.3081
10039,417.56024,458.3607,443.9632,445.0408,469.3139,444.9321,424.7944,457.93,417.56027,443.94138,445.04083,421.6168,425.7052,443.96323,465.59372,443.9632,443.96326,443.96326,453.95474,445.17197,444.8577,443.96326,444.3106,425.7052,424.79407,454.7768,468.8807,443.9632,451.883,458.3507,444.931,454.33643,444.93207,421.61682,443.96317,458.59467,451.88297,443.9632,445.6056,453.30237,468.29047,444.0,425.7052,443.9632,444.932,417.56024,443.96558,443.9632,444.932,443.94138
10041,639.3972,683.64307,653.23456,764.46765,641.84094,641.8408,659.5442,659.5441,671.0971,639.3972,639.3973,650.51105,650.4802,676.1671,659.5441,639.3973,654.0234,641.84094,673.17456,673.17456,649.81067,764.2459,649.81067,686.6746,639.3972,639.3973,659.54407,683.47565,659.54407,673.17456,653.23456,639.3973,654.0234,648.8642,671.0874,764.2492,764.62213,653.2345,659.54407,648.8642,673.17456,639.3973,673.17456,639.3973,649.81067,639.3973,639.3972,653.23456,654.0234,653.23456
10043,514.6022,541.70087,520.1841,521.7889,520.1841,520.1841,529.0209,785.84656,514.59894,520.18414,521.78894,515.1065,785.84656,516.92035,534.5148,520.1841,520.1841,520.18414,552.0376,521.77905,521.78894,786.5928,521.80676,531.5223,529.0209,514.9266,531.5222,520.184,531.5222,3221.251,520.1841,522.93567,521.78894,520.5066,520.1841,521.7889,521.8068,520.1841,517.0179,520.1841,531.5222,514.9265,534.51483,520.18414,521.78894,517.0179,520.1841,520.1841,521.78894,520.1841
10047,455.17264,506.935,478.15106,479.847,455.17267,477.57843,464.39005,504.49673,464.39005,458.41785,478.67474,455.1727,478.6657,477.57843,496.60913,477.57837,478.15103,477.57843,478.15103,,478.66574,496.60913,478.6747,8099.86,455.69125,479.84705,469.4963,478.15103,464.39005,540.09937,478.15103,477.57843,480.34216,455.17264,477.57834,506.9351,505.61743,478.15103,460.61023,478.15106,479.84692,455.17264,496.60913,478.66574,478.66574,455.17264,477.57843,478.15106,480.34216,477.57843
10048,370.85513,389.12646,388.2303,389.12646,370.85522,370.85513,388.23022,388.23022,378.62646,388.23022,373.71725,374.56097,385.96423,370.85522,385.9641,388.23022,389.12646,370.85522,370.85522,370.85522,385.96637,370.85522,370.8552,370.85513,370.85522,370.85522,388.23016,388.23022,370.85507,370.85516,389.12646,388.23026,389.12643,370.85522,388.23026,385.96417,405.71982,388.23016,370.8551,374.66003,388.23026,370.8552,385.96637,370.85522,370.85522,370.85507,388.2303,388.23026,389.12637,388.23026
10050,462.29785,497.18246,467.47986,462.3065,463.04022,463.3378,438.36664,454.09958,462.94595,447.07626,462.30658,452.32568,464.37076,462.29785,478.08292,462.30655,467.4798,462.2979,464.40356,482.28793,462.30658,786.8478,464.29294,478.18414,462.90393,462.30652,456.02255,467.4798,,476.8179,462.2978,462.30655,462.30652,462.30658,462.3065,477.9946,476.81793,467.4799,446.7481,462.30673,493.9118,462.90396,490.4248,462.3066,462.30646,438.36658,462.90393,467.47983,468.21036,438.3666
10051,363.56952,390.5657,376.05267,376.68912,376.68912,376.0527,387.78583,387.78592,364.31708,390.3009,388.12958,365.19223,378.45416,369.5559,380.54865,369.55582,376.0527,363.56958,377.41327,376.2418,375.80862,375.80862,391.3276,373.14923,365.1923,369.55582,363.84738,376.0527,392.48627,375.80862,376.05273,367.95157,377.04803,369.55585,363.56952,377.41327,388.72525,367.48624,368.24982,369.5559,392.27844,378.86414,376.6891,369.5559,375.80862,363.84738,376.0527,376.0527,377.048,377.12268
10052,516.0344,558.5521,524.1301,525.01416,524.8194,524.63403,520.652,535.3633,520.46545,558.5521,524.6341,516.3889,778.1672,559.2387,536.6828,524.6341,524.6341,524.1301,527.68994,522.29315,526.84515,534.78455,522.2932,558.82654,535.1743,526.40326,558.5521,524.634,,558.55206,524.63403,524.6341,525.0142,524.1301,524.63403,525.01416,591.2881,524.63403,516.3889,524.634,534.7843,520.65204,539.54974,524.63403,522.2932,520.54095,524.13007,524.13007,525.8281,524.1302
10055,402.2935,420.1869,408.3547,408.2744,410.00854,406.75186,409.80222,420.9075,408.5825,408.1822,408.2744,406.22055,405.37704,408.6377,408.58246,409.995,410.63678,408.1822,408.5939,410.00415,408.5939,408.34473,402.2935,458.91916,402.2935,410.00446,413.47888,408.3547,415.42914,420.87646,408.35468,408.27444,408.35468,405.37717,408.3547,408.35468,402.29352,408.38583,411.8872,408.2744,419.5881,408.3448,411.8872,408.27444,405.3772,402.2935,410.64114,408.35468,408.3547,408.18222
10057,513.62305,552.1209,531.92444,531.9296,513.6229,531.9296,552.03467,518.07367,513.6232,531.87897,531.92017,529.2132,781.50934,531.9202,546.80597,515.35803,531.9296,531.92444,552.706,552.11945,,531.87897,531.8924,513.62305,513.6229,531.9201,531.9296,531.92444,513.6229,531.9201,531.9243,552.03467,531.9296,513.6229,531.9296,518.07367,552.03467,531.92444,531.8789,531.9296,518.07367,520.82886,546.806,531.9296,531.90765,513.623,531.92444,531.9296,531.9296,518.07367
10058,516.19995,544.7952,524.44226,516.19995,519.7376,513.5578,516.0189,519.7376,502.04315,516.0189,513.5578,641.4789,572.67804,519.7376,525.68634,513.5578,524.4493,516.19995,516.19995,513.5578,516.19995,525.6864,516.19995,544.7952,,513.5578,529.44824,,514.6167,519.7376,516.1999,513.5578,524.44934,513.5578,513.5578,544.79517,516.19995,524.44226,514.61664,502.16785,516.1999,502.07782,519.7376,513.5578,516.19995,,516.19995,524.4493,524.44934,516.19995
10059,347.77457,386.9099,425.6985,363.54407,394.07825,347.77454,350.78433,394.1098,347.7745,350.93127,363.54404,347.77454,363.47623,370.39822,360.89023,394.35406,363.544,350.7843,399.582,377.38742,360.89026,347.77457,378.43417,394.07864,347.77454,347.7745,,363.5208,372.64966,402.69327,363.5208,363.47623,363.54407,363.47623,363.52078,363.54404,363.54407,363.52078,347.77454,362.21216,347.77457,350.7843,399.58206,363.47623,374.69144,347.7746,396.46973,362.21274,363.54407,357.50702
