parameter,mean,sd,se,ci_lower,ci_upper,n
alpha,0.2872985973954201,0.0858522769430088,0.060706727206707,-0.4840535073717316,1.0586507021625717,2
phi,0.7581557929515839,0.27882133835890965,0.19715645909309384,-1.7469545413952656,3.2632661272984334,2
rho,0.5605648681521416,0.591771435011016,0.4184455946087837,-4.75629052800513,5.877420264309413,2
capacity,2.926838755607605,0.4011970310869586,0.28368914127349854,-0.6777735549160759,6.531451066131286,2
kappa_total,0.6593398004770279,0.34857936704598785,0.24648283421993256,-2.472521555137486,3.791201156091542,2
kappa_share,0.39983621425926685,0.5309785968137697,0.37545856647193426,-4.370817201380429,5.170489629898963,2
epsilon,0.24404694885015488,0.006596413797152153,0.00466436892747879,0.18478052229135716,0.3033133754089526,2
nll,918.0659790039062,73.53176832001216,51.99481201171874,,,2
aic,1850.1319580078125,147.06353664002432,103.98962402343749,,,2
bic,1884.4088147508803,147.07354624397803,103.99670188227014,,,2
