participant_id,alpha,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.00554832024499774,0.3257994055747986,0.36166468262672424,2.3146820068359375,0.8486090898513794,6.389455553849372e-29,0.10714419931173325,709.7127075195312,1433.4254150390625,1467.6951939232977,1433.5397007533481,0.34614539876536754,9.54436109168455e-06,988,True,48,21,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
9187,0.010277524590492249,0.37492212653160095,0.17142295837402344,3.0,0.9999823570251465,2.9748756372383793e-15,0.256714403629303,828.5855712890625,1671.171142578125,1705.4550771800255,1671.2851955312817,0.23817061656130056,0.14104768633842468,990,False,47,23,"['alpha', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10002,0.028439586982131004,0.2546202540397644,0.33192178606987,2.0,1.0,0.590158998966217,0.09892375022172928,457.4757995605469,928.9515991210938,963.2071936033122,929.0661185484967,0.5776750324619815,6.854602816019906e-06,986,True,50,31,"['capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10003,0.0030649066902697086,0.16373229026794434,0.18831035494804382,2.208893299102783,0.786239743232727,0.2820912301540375,0.007722180802375078,605.5768432617188,1225.1536865234375,1259.3163750987396,1225.2697486996033,0.43348427803322875,4.431459728948539e-06,973,True,48,28,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10004,0.016772115603089333,0.0688411071896553,0.3958807587623596,2.3971242904663086,1.0,1.0,0.09224886447191238,369.7063293457031,753.4126586914062,787.6965932933067,753.5267116445631,0.6600795926235559,7.057554739731131e-06,990,True,50,23,"['kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10005,0.005091238301247358,0.12180815637111664,0.2718546390533447,2.0890557765960693,1.0,0.04869934171438217,0.025102807208895683,395.9132080078125,805.826416015625,840.0749075038296,805.941052658409,0.6341363124178869,7.66615539760096e-06,985,True,49,29,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10006,0.00560992443934083,0.09825076907873154,0.3999572694301605,2.0,1.0,0.2711925208568573,0.033391740173101425,338.86065673828125,691.7213134765625,725.9840037525969,691.8357159280436,0.6874931488108253,8.590366633143276e-06,987,True,48,12,"['alpha', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10016,0.005557224154472351,0.0993066057562828,0.16081669926643372,4.999999523162842,1.0,0.6005076766014099,0.04362979531288147,394.4297790527344,802.8595581054688,837.1222483815031,802.9739605569498,0.6362457375445236,0.008429823443293571,987,False,47,11,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10017,0.0010000000474974513,0.018270650878548622,0.5369417071342468,2.0,1.0,1.0,0.10728220641613007,381.4546813964844,776.9093627929688,811.1649572751872,777.0238822203717,0.6478549551850683,6.949470389372436e-06,986,True,50,3,"['alpha', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10018,0.008817428722977638,0.20166248083114624,0.20388832688331604,2.0,0.7742022275924683,0.36149683594703674,0.040532615035772324,567.6824340820312,1149.3648681640625,1183.6204626462809,1149.4793875914654,0.4759362882672732,7.886334969953168e-06,986,True,50,37,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10024,0.009185295552015305,0.11392734199762344,0.1706550270318985,3.230787754058838,1.0,0.8570302724838257,0.0010000000474974513,261.50042724609375,537.0008544921875,569.036141475525,537.1586009710608,0.6684847539567244,6.689105248369742e-06,718,True,50,41,"['alpha', 'kappa_total', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10025,0.0010000000474974513,0.0010000000474974513,0.0789860188961029,2.0,1.0,0.2691972255706787,0.01752506010234356,246.136474609375,506.27294921875,534.4540110355272,506.5488112877155,0.4588331538814162,4.862845798925264e-06,414,True,49,6,"['alpha', 'phi', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10027,0.012987994588911533,0.11847511678934097,0.21039937436580658,2.0,1.0,0.26504018902778625,0.030999867245554924,286.7039489746094,587.4078979492188,619.4431849325563,587.565644428092,0.6365331743934419,5.32896228833124e-06,718,True,50,31,"['capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10028,0.0014529809122905135,0.4876510500907898,0.1397341936826706,5.105884075164795,0.35476231575012207,0.14372320473194122,0.0010000001639127731,698.462646484375,1410.92529296875,1442.7728481643867,1411.0873769050743,0.09046051621792339,2.655900243553333e-05,699,True,49,13,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10029,0.0204774197191,0.24953053891658783,0.32378897070884705,4.143609046936035,0.7298825979232788,1.6094911954703187e-22,0.048801690340042114,276.5080261230469,567.0160522460938,599.0708107301645,567.1733556168803,0.6504327057578395,9.670082363300025e-06,720,True,50,21,['kappa_share'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10030,0.010921814478933811,0.0010000000474974513,0.18488416075706482,2.0,1.0,1.0,0.031276822090148926,226.7686309814453,467.5372619628906,499.55302313161513,467.6954540532861,0.7117127049053388,4.34557523476542e-06,716,True,47,14,"['alpha', 'phi', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
