participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1230.826,1231.515,1231.224,1204.786,1047.8484,1036.7698,1036.7698,1036.7697,1036.7698,1036.7698,1231.515,1036.7698,1036.7698,1230.8342,1036.7698,1036.7698,1231.2241,1230.8342,1036.7698,1036.7698,1231.2241,1036.7698,1036.7697,1231.2241,1231.203,1231.273,1036.7698,1231.1941,1231.2732,1036.7698,1231.515,1036.8206,1231.2238,1036.8207,1231.2236,1036.7698,1231.2241,1230.826,1231.2241,1231.607,1047.8484,1231.515,1231.2241,1231.515,1231.2241,1036.7698,1231.273,1231.2732,1036.7698,1036.7698
9187,1333.0448,1333.6866,1333.4275,1159.8718,1159.8718,1159.5048,1159.5048,1333.3938,1159.8718,1159.5048,1333.6866,1159.5046,1159.5046,1333.0448,1159.5046,1159.5048,1333.4276,1333.6865,1333.4277,1159.8718,1333.4277,1159.5048,1159.5048,1333.4277,1333.3938,1333.7161,1159.5048,1333.4763,1333.4763,1159.5048,1333.6866,1159.5049,1333.4277,1333.0448,1333.4259,1159.5046,1333.4277,1333.0438,1333.4277,1333.7163,1159.5046,1333.6866,1333.4277,1333.6865,1333.4277,1159.5048,1333.476,1333.4763,1159.5046,1159.5046
10002,1482.8148,798.64484,798.64484,935.3656,798.64484,798.64484,798.64484,798.64484,1068.8438,798.64484,1482.8148,916.6298,798.6449,798.64484,798.64484,798.64484,798.64484,1482.8148,866.9382,1482.7196,1482.8148,798.64484,798.64484,798.64484,1482.8148,1483.5214,798.64484,1482.8148,1483.5214,798.64484,798.64484,798.64484,1482.8148,935.3656,798.64484,798.64484,1482.8148,1482.432,1482.8148,1483.5214,798.64484,798.64484,1482.8148,798.64484,1482.8148,798.64484,798.64484,1483.5214,798.64484,798.64484
10003,1469.4335,1122.0144,1121.5039,1121.5039,1469.4304,1121.5039,1122.0146,1121.5039,1121.5039,1424.7623,1469.8937,1121.504,1121.504,1121.5039,1121.5039,1469.4304,1468.9088,1469.8838,1121.5039,1121.504,1424.7623,1121.5039,1121.5039,1469.4304,1469.4304,1469.5162,1121.5039,1469.5162,1469.5165,1121.5039,1469.8937,1121.5039,1469.4304,1121.504,1121.5039,1121.5039,1469.4304,1468.9088,1469.4304,1469.9926,1121.504,1469.8937,1469.4304,1469.8729,1469.4304,1121.5039,1469.5165,1469.5165,1121.5039,1469.4304
10004,707.4337,576.0852,576.0852,740.2693,576.0852,1055.5089,576.0852,688.5445,576.08527,576.0852,576.0852,707.4337,1075.2046,576.0852,576.08527,1096.1382,576.08527,576.0852,1142.2006,688.5445,576.08527,1142.2006,1092.6172,576.08527,1325.7218,1326.1968,682.7117,688.5445,1326.196,576.0852,576.0852,576.0852,576.08527,576.0852,688.5445,576.08527,1325.7218,576.0852,1325.7218,1326.1968,576.0852,576.0852,1325.7218,576.08527,1325.7218,576.08527,576.0852,1326.1968,576.0852,736.29047
10005,1115.9529,867.78796,867.78796,1133.6426,867.78796,867.78796,867.78796,867.78796,867.78796,867.78796,1461.0859,962.28577,867.78796,867.7881,867.78796,962.2858,867.78796,1459.5974,867.7881,867.78796,867.78796,867.78796,867.78796,867.78796,867.78796,1460.3656,867.78796,867.78796,1460.285,867.78796,867.78796,867.7881,867.78796,867.78796,867.7881,867.78796,1460.2235,867.78796,1460.2235,1460.4065,867.78796,867.78796,1460.2235,867.78796,1460.2235,962.2858,867.7881,1460.4065,867.78796,867.78796
10006,1486.2538,754.9292,731.042,963.1228,754.92926,1238.1154,731.042,1486.2538,731.042,1485.6886,1486.2413,731.042,731.042,754.92926,820.31995,820.3199,754.92926,1486.2538,731.04193,1486.2538,1486.2538,754.92926,820.31995,731.042,1486.2538,1486.9067,820.3199,1486.3013,1486.9067,731.042,731.042,754.92926,1486.2538,754.9292,1486.2538,754.92926,1486.2538,1485.6886,1486.2538,1486.9067,754.92926,731.042,1486.2538,754.92926,1486.2538,820.3199,1485.6886,1486.9067,963.1228,820.3199
10007,1312.8928,1312.4406,1312.4404,1300.3092,1312.4401,1239.5154,1239.5154,1312.6868,1304.9358,1305.0034,1312.4404,1312.6871,1300.8716,1312.8274,1239.5154,1239.5155,1312.6925,1312.4404,1312.6453,1239.5155,1312.6914,1239.5154,1239.5155,1312.6925,1312.6868,1312.8783,1239.5155,1312.6956,1312.6956,1312.8274,1312.825,1312.4404,1312.6453,1312.6893,1312.6946,1312.4401,1312.6925,1312.6945,1312.6868,1312.8928,1239.5153,1312.4404,1312.6925,1312.82,1312.6925,1239.5154,1312.6956,1312.6956,1312.6814,1239.5155
10016,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,1067.9052,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,1067.905,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671,785.1671
10017,918.7839,1138.2397,948.0823,1199.3899,918.9196,1052.5475,918.9196,948.0823,918.7839,918.7839,1380.5596,918.7839,918.9196,918.7839,1138.2397,1139.2974,1138.2397,948.0823,948.0823,1288.5461,918.7839,918.7839,918.7839,918.7839,948.08234,948.0823,918.91974,918.7839,918.7839,1139.2974,948.08234,918.7839,918.9196,918.7839,918.7839,918.7839,918.7839,918.7839,918.7839,918.9196,948.0823,1138.2397,918.7839,1379.8094,918.7839,1052.5475,918.7839,1379.8088,948.0823,918.7839
