participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1062.5575,1062.5575,1039.8923,1203.9451,1038.9574,1038.9574,1114.3451,1064.133,1038.9574,1038.9574,1231.409,1038.9574,1038.9574,1231.409,1105.4128,1102.0707,1231.2546,1230.7875,1062.5575,1039.8923,1038.9574,1039.8923,1038.9574,1038.9574,1039.8923,1062.5575,1038.9574,1230.7875,1230.7875,1105.4128,1062.5575,1039.8923,1039.8923,1062.5575,1062.5575,1038.9574,1230.8151,1038.9574,1230.7875,1230.7875,1062.5575,1231.2546,1230.7875,1231.254,1039.8923,1038.9574,1038.9574,1230.7875,1039.8923,1039.8923
9187,1333.6211,1237.9995,1170.6794,1302.148,1244.9886,1244.9885,1170.6796,1244.9885,1244.9885,1170.6796,1333.6807,1244.9885,1258.3607,1333.6807,1170.6794,1245.8253,1333.3955,1333.6807,1244.9885,1229.4678,1237.9995,1170.6794,1170.6796,1244.9885,1333.1993,1333.6224,1245.8253,1333.2573,1333.2573,1229.4678,1333.6807,1170.6796,1333.3955,1170.6796,1258.3607,1237.9995,1333.3955,1333.0736,1333.3955,1333.6224,1258.3607,1333.0835,1333.3955,1333.3955,1333.3955,1170.6794,1333.2568,1333.2573,1237.9996,1237.9995
10002,1132.4401,1132.4403,1141.2223,1419.2913,1132.4401,1193.8508,1193.8508,1133.9902,1132.4403,1132.4407,1483.9935,1132.4403,1132.4398,1132.4404,1248.2195,1132.4403,1483.7012,1132.4403,1132.4402,1132.4404,1141.2224,1132.4403,1132.4403,1193.8508,1132.44,1141.2223,1132.4404,1132.4403,1132.4403,1248.2195,1132.44,1133.9902,1132.4403,1212.8483,1132.4402,1193.8508,1132.4403,1132.4404,1483.1428,1132.4403,1141.2225,1248.2195,1132.4403,1483.1428,1212.8483,1248.2195,1132.4401,1483.1428,1212.8483,1193.8508
10003,1197.5774,1197.5773,1197.5774,1374.3987,1197.577,1243.5476,1203.8468,1197.5775,1197.5774,1197.5776,1468.9933,1197.5774,1197.5773,1243.5476,1197.5776,1243.5476,1469.5524,1468.9938,1203.8468,1197.5773,1203.8468,1197.5774,1197.5768,1243.5476,1232.3369,1232.3369,1243.5476,1203.8468,1469.701,1243.5476,1203.847,1197.5773,1232.3369,1197.5773,1197.5774,1243.5476,1197.5771,1203.8468,1468.9926,1232.3369,1197.5768,1468.9928,1197.5773,1468.9939,1197.5773,1197.5774,1197.577,1468.9939,1243.5476,1197.5776
10004,934.13824,1070.8969,934.1384,1223.8557,934.1384,934.1385,934.1385,934.1385,934.1385,934.1382,1326.9061,934.13837,934.1386,934.1385,1072.7726,1070.8969,1072.7726,934.1385,934.13837,934.1381,934.13855,937.3177,934.1381,934.5208,934.13855,934.13824,1017.5407,934.1384,934.1385,934.1384,934.1385,934.1384,934.1384,934.1384,934.1384,934.138,934.13824,934.1384,934.13806,934.13824,934.13837,1072.7726,934.1384,1326.0513,934.1384,1072.7726,934.5208,1326.0312,934.13806,934.1382
10005,1043.0969,1043.0969,1073.1125,1288.9421,1043.0969,1140.6501,1072.5979,1073.1124,1043.0969,1073.1125,1460.8668,1043.0969,1072.5979,1073.1124,1069.6102,1073.1124,1142.8707,1069.61,1069.61,1073.1124,1043.0969,1073.1125,1072.5979,1043.0969,1072.5979,1073.1125,1140.7246,1057.3556,1043.0969,1043.0969,1073.1124,1069.6101,1073.1124,1073.1125,1069.61,1073.1124,1073.1124,1043.0969,1073.1124,1073.1125,1043.3674,1073.1125,1073.1124,1460.0099,1073.1124,1140.6501,1043.0969,1460.0134,1073.1125,1057.3556
10006,1096.5404,1096.5404,1096.5404,1410.1145,1096.5404,1178.0042,1097.6854,1096.5404,1096.5404,1168.9418,1487.3505,1096.5404,1097.6854,1096.5404,1229.5515,1222.5325,1178.0042,1178.0042,1096.5404,1096.5404,1105.9968,1096.5404,1096.5404,1096.5404,1097.6854,1168.9418,1178.0045,1096.5404,1096.5404,1229.5513,1097.6854,1096.5404,1105.9968,1105.9968,1096.5404,1096.5404,1168.9418,1096.5404,1487.3505,1105.9968,1096.5404,1229.5513,1096.5404,1486.393,1178.0042,1229.5513,1096.5404,1486.384,1096.5404,1178.0042
10007,1312.8429,1312.816,1312.826,1299.2847,1292.4252,1290.3983,1250.0148,1312.4559,1268.4852,1268.4852,1312.8265,1312.6052,1296.2272,1312.8187,1268.4852,1290.3983,1312.6646,1312.8265,1312.5886,1268.4852,1312.6638,1268.4852,1250.0149,1312.6646,1312.4559,1312.8431,1290.3983,1312.6168,1312.6168,1312.4559,1312.8264,1312.4559,1312.5885,1312.456,1312.6146,1312.4559,1312.6559,1312.6157,1312.6614,1312.8429,1292.4252,1312.4559,1312.6646,1312.8239,1312.6646,1268.4852,1312.6168,1312.6168,1312.4559,1250.0149
10016,1083.7777,1057.7666,1083.7777,,1057.7666,1057.7666,1101.77,1101.77,1497.3318,1058.386,1498.1743,,1083.7777,1083.7777,1248.6346,1245.9545,1498.0454,1058.386,1083.7777,1113.7432,1057.7666,1113.7432,1083.7777,1083.7777,1497.3318,1113.7432,1057.7666,1083.7777,1083.7777,1248.6346,1083.7777,1083.7777,1083.7777,1057.7666,1058.3857,1057.7666,1113.743,1083.7777,1113.7432,1083.7777,1101.77,1248.6346,1083.7777,1497.3318,1113.743,1057.7666,1058.386,1497.3318,1083.7777,1083.7777
10017,930.52106,931.4187,930.52124,1214.8934,930.52124,931.4187,931.4186,930.52124,930.52106,930.52106,1380.5841,930.52124,930.52124,930.52124,1155.0826,1154.638,1379.8262,930.5211,930.52106,979.0475,930.5211,930.52124,930.52124,930.52106,930.52124,930.52106,930.52106,930.52124,930.52106,931.4187,930.52124,979.04724,930.52106,930.5211,930.5211,931.4187,979.0475,930.52124,979.04736,930.5211,979.04736,1155.0826,930.52106,1379.8185,931.4186,931.4187,930.5211,1379.8185,930.52124,930.52124
