participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,966.47406,966.4742,922.1039,966.4741,965.3214,922.104,967.8044,966.4741,922.1039,965.3214,914.51385,1231.5403,965.3214,1230.6254,922.104,967.8044,966.47406,922.1039,966.4741,922.104,966.4742,922.104,965.3214,966.4742,1231.5405,966.4742,922.1038,922.104,922.10394,914.5139,966.4741,922.104,922.104,965.3214,965.3215,922.10406,922.104,966.4742,965.3214,922.104,922.1039,966.47406,965.3214,965.3214,966.474,966.474,966.4742,966.4742,922.104,965.3214
9187,1333.2584,1142.4291,1333.0349,1333.0345,1142.4291,1142.4291,1333.7125,1146.2842,1333.3271,1333.713,1142.4291,1333.713,1333.0345,1333.2496,1145.8792,1333.713,1146.2288,1333.25,1142.4291,1142.4291,1142.4291,1146.284,1142.4291,1150.3169,1333.7135,1333.2496,1142.4291,1142.4291,1333.7136,1142.429,1142.429,1150.3745,1333.0343,1333.7136,1333.0122,1333.0122,1146.2289,1142.429,1142.4291,1333.7125,1142.4429,1333.0117,1143.1145,1146.2842,1145.159,1150.3983,1142.4291,1142.429,1142.429,1142.429
10002,1126.8423,1151.2538,1169.3318,1139.0615,1126.8423,1153.591,1163.2701,1135.4414,1135.4414,1167.3246,1153.591,1484.2206,1167.3246,1483.1127,1141.6206,1164.2943,1133.3474,1120.445,1132.4781,1167.3246,1135.4414,1126.8422,1128.005,1135.4414,1126.8423,1126.8423,1160.5902,1160.1533,1167.8617,1160.1516,1126.8423,1138.5905,1160.1516,1135.4414,1126.8423,1126.8423,1152.1705,1135.4414,1160.5902,1126.8422,1141.6206,1155.0664,1155.0662,1120.445,1152.1705,1132.4781,1151.2537,1151.2537,1133.3475,1151.2537
10003,1044.4559,1068.8842,1068.8842,1116.3495,1116.3494,1044.2845,1107.5834,1108.4113,1044.2845,1068.8842,1044.2844,1469.938,1044.2845,1468.784,1044.4559,1111.0359,1117.8285,1098.0049,1068.8842,1044.2844,1116.3494,1044.2844,1116.3494,1117.1705,1469.9387,1116.3494,1044.2844,1068.8842,1044.2844,1096.6962,1117.1705,1116.3494,1068.8842,1044.2844,1054.879,1117.8285,1068.8842,1117.9921,1044.2844,1044.2845,1044.2844,1107.5834,1054.879,1044.2844,1107.5834,1044.4559,1068.8842,1068.884,1068.8842,1044.2844
10004,793.8447,779.8551,779.8552,791.2186,791.2186,728.0422,742.50507,791.2186,728.6684,728.0422,728.0421,742.5052,728.6685,742.50507,765.93207,742.50507,779.8551,728.6685,791.2186,728.0422,791.2186,806.3264,728.6685,807.5821,791.2186,791.2187,793.89307,779.8552,791.2186,742.50507,791.2187,791.2186,808.0502,728.6685,742.50507,805.5516,728.0421,805.5517,742.50507,728.0422,742.50507,765.93195,728.0421,868.93396,805.55164,791.2186,742.50507,779.8552,805.5516,728.0422
10005,891.9179,894.4865,906.01965,892.4967,841.4639,822.86926,879.47076,892.381,891.9179,822.07336,822.86926,822.86926,822.0735,886.6692,822.86926,880.206,903.8451,892.381,892.4967,822.07336,863.7018,891.963,886.6691,886.6691,892.4967,822.86926,822.0735,894.4865,892.4967,906.01965,890.95074,892.4967,822.07336,886.66925,822.07336,901.2061,822.07336,885.9704,863.7018,901.2061,863.7018,863.7018,822.86926,822.86945,822.0736,891.0116,866.9052,894.4865,897.30725,822.07336
10006,920.5291,890.93256,890.93256,849.83777,852.9833,839.4823,839.4823,839.48236,851.2306,839.4823,839.4823,850.15326,849.83777,850.2177,839.48236,839.4823,890.93256,850.1533,850.18604,839.4823,839.4823,849.83777,1086.7413,850.2177,919.05347,839.48236,849.83777,890.93256,841.4116,849.83777,841.4116,839.4823,890.93256,839.48236,849.83777,903.6279,849.83777,892.1614,849.83777,899.5855,849.83777,841.41156,839.4823,972.95447,849.83777,920.5291,972.95447,903.62787,903.62787,849.83777
10007,1312.574,1215.9513,1312.2632,1312.6023,1210.7482,1215.9512,1312.8401,1216.2836,1312.5742,1312.8401,1215.9512,1312.8401,1312.2632,1312.5786,1218.1196,1312.8401,1290.0276,1312.2632,1218.117,1218.0984,1312.574,1215.9513,1312.574,1216.2836,1312.8407,1312.8403,1207.675,1207.6752,1312.8401,1215.9512,1216.2836,1312.257,1312.7451,1312.8406,1312.2576,1312.8402,1312.8401,1312.8403,1216.2836,1312.84,1312.84,1312.529,1216.2836,1207.7303,1218.1195,1312.257,1312.2627,1312.5292,1312.6097,1215.9513
10016,840.92194,839.77625,835.2626,837.6606,1498.5006,825.7604,827.35004,1065.3634,840.92194,823.169,825.76025,827.744,834.74524,840.9618,838.33765,827.35,839.77625,834.493,834.74524,1428.3578,825.7604,839.209,838.85596,827.35,839.86487,840.6519,1087.8073,836.98914,839.8649,827.35,827.3499,839.865,827.744,827.35,825.7604,839.77625,839.86487,839.77625,827.744,840.9618,827.35,827.35,834.74524,1496.8278,835.2564,839.209,838.33765,836.98914,836.98914,834.74524
10017,728.30084,728.93256,728.90607,728.8486,728.30084,725.0533,721.4489,953.3475,728.906,728.90607,725.0533,728.90186,728.3875,728.8483,723.4779,728.9326,728.8486,728.8486,725.0533,720.851,725.0533,728.92523,725.0533,728.38745,721.3154,728.90186,723.4779,727.7418,728.90607,728.8485,728.92523,728.90607,728.8485,725.0533,728.38745,728.8486,725.0533,728.30084,723.4779,725.0533,723.47797,728.90186,849.04517,728.38763,720.851,728.8486,,728.8486,728.30084,728.3875
