participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1021.11304,1048.0614,1020.992,1231.5133,1020.992,,1020.992,1020.992,1020.992,1021.11304,1230.7534,1020.992,1021.11304,1231.4553,1020.99243,1048.0614,1231.2051,1230.7344,1020.992,1020.992,1020.992,1020.992,1020.992,1048.0614,1021.11304,1020.992,1020.992,1021.11304,1230.7534,1082.9802,1048.0614,1021.11304,1020.992,1021.1131,1020.992,1020.992,1230.7542,1020.992,1230.754,1230.7542,1021.11304,1231.2064,1230.754,1230.7542,1231.2064,1020.992,1020.992,1230.754,1020.992,1020.992
9187,1333.2301,1238.4744,1230.4679,1194.7062,1240.7196,1230.4679,1191.1903,1255.4238,1255.4238,1271.4485,1333.1014,1240.7195,1255.4238,1333.6824,1230.4679,1230.4679,1333.3656,1333.3654,1230.4679,1230.4679,1238.4744,1191.1901,1238.4745,1240.7195,1333.1475,1333.2283,1238.0564,1333.2301,1333.2301,1230.4679,1333.3641,1191.1903,1333.3638,1230.468,1255.4238,1191.1903,1333.3656,1333.2244,1333.3656,1333.7043,1255.4238,1333.3656,1333.3656,1333.3656,1333.3656,1230.4679,1333.2301,1333.2301,1230.4679,1238.4745
10002,1175.8557,1157.6625,1218.3401,1436.658,1157.6625,1218.3401,1157.6628,1157.6625,1157.6625,1157.6621,1484.0333,1157.6625,1157.6625,1235.9811,1272.7382,1218.3401,1483.7196,1157.6625,1175.8555,1157.6627,1235.959,1235.9812,1235.959,1218.3401,1157.6625,1243.7301,1218.3401,1157.6631,1484.0327,1157.6624,1158.0079,1175.8547,1175.8545,1157.6622,1157.6625,1218.3401,1218.3401,1157.6624,1483.1754,1157.6626,1175.8552,1272.738,1235.959,1483.1754,1157.6625,1272.738,1157.6626,1483.1754,1218.3401,1157.6626
10003,1212.2268,1212.8798,1212.2268,1439.9945,1212.2268,1258.3315,1213.1765,1222.7441,1212.227,1222.744,1468.995,1212.2268,1212.2269,1212.2269,1289.337,1258.3317,1469.5505,1469.0546,1212.2269,1222.7441,1212.2269,1212.2269,1212.2268,1258.3317,1212.2268,1222.744,1212.2268,1212.5317,1469.8,1289.337,1258.3319,1212.2268,1212.2269,1212.2273,1212.2269,1258.3314,1469.0055,1212.2273,1469.0056,1469.0048,1212.2266,1469.0056,1212.2273,1469.0056,1258.3317,1289.337,1212.2268,1469.0056,1212.2268,1212.2274
10004,942.5809,938.8314,942.58093,1227.1367,938.8314,938.8314,940.2119,938.8319,1326.896,942.58105,1326.896,942.58136,940.2119,938.8319,1071.9259,1072.5394,1071.9258,938.8319,938.8314,940.2119,942.58105,938.8314,938.8314,940.2119,938.8314,942.58057,938.8314,938.8314,942.58105,1071.9258,942.581,942.58093,942.58105,942.58105,942.5808,938.8314,942.581,938.8319,942.581,942.5806,942.5806,1071.9259,938.8319,1326.0675,938.8319,1071.9259,940.2119,1326.0618,938.8314,942.58105
10005,1007.2391,1007.17706,1007.2391,1390.7576,,1007.1771,1041.9822,,1007.1773,1007.2391,1460.8956,1007.1771,1041.9824,1041.9827,1199.9545,1007.1771,1200.2949,1007.239,1007.239,1007.1771,1007.17706,1007.239,1007.1773,1007.1771,1007.239,1007.239,1007.17694,1007.1771,1007.17694,1200.2949,1007.1772,1007.17725,1007.17737,1041.9827,1007.239,1007.239,1007.239,1007.1771,1007.2391,1007.1771,1007.1772,1007.1774,1007.2391,1459.9529,1007.1773,1007.17737,1007.239,1459.9529,1041.9823,1007.2391
10006,1045.007,,1045.0077,1425.1042,1045.0077,1170.1152,1045.007,1486.333,1045.0072,,1487.3212,,1045.0077,1045.0076,1045.0077,1045.0072,1487.0969,,1486.333,1045.0071,1045.0073,1045.0077,1045.0077,1045.0077,,1045.0077,1170.1152,,1045.0072,,1045.0071,1045.0073,1045.0077,1045.0073,1045.0077,1486.333,1045.007,1045.0077,1486.3293,1487.1006,1045.007,1170.1152,1486.333,1486.333,1045.007,1045.0076,1045.007,1487.3198,1045.0076,1486.333
10007,1312.7028,1312.3854,1312.5791,1246.7415,1312.3843,1251.5944,1246.7413,1312.6953,1246.7413,1251.5942,1312.579,1312.3843,1312.6788,1312.5791,1251.5942,1251.5941,1312.5791,1312.5791,1312.5784,1312.5791,1312.559,1251.5941,1251.5944,1312.5791,1312.7026,1312.6891,1251.5942,1312.7028,1312.7028,1312.5737,1312.5791,1312.5791,1312.559,1312.579,1312.5671,1312.5791,1312.5791,1312.7012,1312.5791,1312.9884,1251.5942,1312.8307,1312.5791,1312.579,1312.5791,1251.5941,1312.7028,1312.7028,1312.5791,1251.5941
10016,1069.8058,1069.8375,1069.8375,1069.8058,1069.8058,1176.489,1069.8058,1083.8434,1069.8058,1069.8058,1498.2294,1069.8058,1069.8058,1069.8058,1240.738,1235.761,1240.738,1083.8439,1069.8058,1083.8434,1069.8058,1069.8058,1083.8433,1083.8436,1069.8058,1069.8058,1069.8058,1069.8375,1083.8435,1069.8058,1083.8434,1084.0636,1069.8058,1083.8438,1083.8436,1069.8058,1083.8434,1083.8438,1497.3147,1083.8436,1083.8434,1176.489,1069.8375,1497.3147,1069.8058,1069.8058,1069.8058,1497.3147,1069.8058,1083.843
10017,936.2478,936.20856,984.7358,1222.7506,936.20856,936.20856,984.7358,986.28534,936.20856,936.2478,1380.615,936.20856,984.7358,936.2478,936.20856,936.20856,1379.7979,984.7358,936.20856,986.2853,984.7358,984.7358,986.2853,936.20856,986.2853,984.7358,936.20856,936.20856,936.20856,936.20856,936.2478,986.2853,936.2478,936.20856,936.2478,936.20856,984.7358,936.20856,984.7358,936.2478,936.2478,936.2478,984.7358,1379.8097,936.2478,936.20856,936.2478,1379.8097,936.2478,986.2853
