parameter,behavior,beta_std,SE,t,p,R²,CI_95,N,q_FDR,significant_FDR
epsilon,accuracy_overall,-0.8895998196351509,0.06808689887115778,-13.06565336921217,6.404186538367457e-17,0.7913878390948931,"[-1.027, -0.752]",47,1.344879173057166e-15,True
epsilon,set_size_effect_accuracy,0.5892677690618187,0.12044025686759088,4.892614682063037,1.3141850133222506e-05,0.34723650365509295,"[0.347, 0.832]",47,0.00013798942639883633,True
epsilon,feedback_sensitivity,-0.5199297763860743,0.12733796044185614,-4.083069766328476,0.00017995714508176836,0.27032697237287273,"[-0.776, -0.263]",47,0.0012597000155723786,True
epsilon,set_size_effect_rt,-0.4067564063528462,0.13618200451282658,-2.9868587102089177,0.004549617433299207,0.1654507741090816,"[-0.681, -0.132]",47,0.023182771857116785,True
epsilon,perseveration_index,0.40705017836501844,0.13929307836799615,2.92225703627311,0.005519707585027805,0.16568984770699335,"[0.126, 0.688]",45,0.023182771857116785,True
alpha_pos,accuracy_overall,0.27406638503852615,0.14336337798226922,1.91169034167444,0.06229636993552432,0.07511238340808579,"[-0.015, 0.563]",47,0.21803729477433514,False
alpha_pos,learning_slope,0.2645143891578916,0.1453860173600884,1.8193935975476174,0.07565994156700732,0.06996786207157246,"[-0.028, 0.558]",46,0.226979824701022,False
alpha_pos,set_size_effect_accuracy,-0.2352423772430914,0.14488777449759901,-1.6236178522225124,0.11144281858575288,0.05533897605098104,"[-0.527, 0.057]",47,0.2925373987876013,False
alpha_neg,accuracy_overall,-0.21505590146614093,0.14558319189037858,-1.4772028190457178,0.14658616813975114,0.04624904075541447,"[-0.508, 0.078]",47,0.342034392326086,False
alpha_pos,feedback_sensitivity,0.17926828171931639,0.14665627866010789,1.2223703162057618,0.22793165418520966,0.032137116830595724,"[-0.116, 0.475]",47,0.47865647378894033,False
alpha_pos,set_size_effect_rt,-0.1611315093809918,0.1471232768564893,-1.0952142504150908,0.2792501087820212,0.025963363315396504,"[-0.457, 0.135]",47,0.5047521504957898,False
alpha_neg,set_size_effect_rt,-0.15812745637115952,0.1471956904216354,-1.0742668886447053,0.28842980028330845,0.025004292458412847,"[-0.455, 0.138]",47,0.5047521504957898,False
alpha_neg,learning_slope,0.14124939501386152,0.14924420259855226,0.9464313692224565,0.349097494223951,0.019951391591782053,"[-0.160, 0.442]",46,0.56392672143869,False
alpha_neg,perseveration_index,0.0773951533297901,0.1520411503539579,0.5090408297333392,0.6133259025500694,0.005990009758941817,"[-0.229, 0.384]",45,0.860731298400521,False
epsilon,mean_rt_overall,-0.0753264319899935,0.148647676563197,-0.5067447654183062,0.6148080702860864,0.005674071356342791,"[-0.375, 0.224]",47,0.860731298400521,False
alpha_pos,perseveration_index,-0.05682764362052961,0.15225213321303416,-0.3732469451906809,0.7107984594939465,0.0032293810794621347,"[-0.364, 0.250]",45,0.9329229780858048,False
alpha_pos,mean_rt_overall,0.038467147434895335,0.1489608657458001,0.2582365995411107,0.7974017557941798,0.0014797214317777696,"[-0.262, 0.338]",47,0.9463537227232146,False
alpha_neg,feedback_sensitivity,-0.031888817228055845,0.14899538421901948,-0.21402553773867306,0.8314939870020268,0.0010168966642040145,"[-0.332, 0.268]",47,0.9463537227232146,False
alpha_neg,mean_rt_overall,-0.027154441958722,0.1490162285183068,-0.18222472967356068,0.8562247967495751,0.0007373637180894121,"[-0.327, 0.273]",47,0.9463537227232146,False
alpha_neg,set_size_effect_accuracy,-0.008217360520257844,0.14906616539764259,-0.05512559136634099,0.9562824334807418,6.752501391993349e-05,"[-0.308, 0.292]",47,0.9805580807614194,False
epsilon,learning_slope,-0.0036947206113572897,0.15075464330551425,-0.02450817122673757,0.9805580807614194,1.3650960395961143e-05,"[-0.308, 0.300]",46,0.9805580807614194,False
