parameter,behavior,beta_std,SE,t,p,R²,CI_95,N,q_FDR,significant_FDR
epsilon,accuracy_overall,-0.7971146436692491,0.09001336256949688,-8.855514569337618,2.0292709596489118e-11,0.6353917551519537,"[-0.978, -0.616]",47,8.52293803052543e-10,True
epsilon,feedback_sensitivity,-0.5303441831308116,0.1263799428020578,-4.196426833025724,0.00012590304958874743,0.2812649525806872,"[-0.785, -0.276]",47,0.0025673880329773286,True
epsilon,set_size_effect_rt,-0.519370165310312,0.1273886992533342,-4.077050541802421,0.0001833848594983806,0.26974536861446063,"[-0.776, -0.263]",47,0.0025673880329773286,True
epsilon,set_size_effect_accuracy,0.46749533213846595,0.1317782745902075,3.5475903261917936,0.000922389861767577,0.2185518855712545,"[0.202, 0.733]",47,0.00968509354855956,True
phi,accuracy_overall,-0.4404573399847097,0.1338321777993779,-3.2911168840499667,0.001945696575145487,0.19400266834640623,"[-0.710, -0.171]",47,0.016343851231222093,True
epsilon,perseveration_index,0.3851800354955355,0.1407320016379192,2.7369754640919677,0.008979687945541284,0.14836365974434218,"[0.101, 0.669]",45,0.06285781561878899,False
phi,set_size_effect_accuracy,0.3365586886051458,0.14037475628746104,2.3975727367671227,0.020715340029189813,0.1132717508756157,"[0.054, 0.619]",47,0.12429204017513888,False
capacity,accuracy_overall,-0.2650195064106323,0.14374086724394505,-1.8437310939613523,0.07181313212976201,0.07023533877813515,"[-0.555, 0.024]",47,0.30061079912426086,False
epsilon,mean_rt_overall,-0.25302277770684006,0.14422046964911553,-1.7544165424120277,0.08616688442652812,0.06402052603848452,"[-0.543, 0.037]",47,0.30061079912426086,False
rho,feedback_sensitivity,-0.25113059892012785,0.1442939455329539,-1.7404098140955924,0.08862212035015558,0.06306657771398172,"[-0.542, 0.039]",47,0.30061079912426086,False
alpha_neg,set_size_effect_accuracy,-0.25088103575885945,0.1443035924629091,-1.738564033486168,0.08894997132260278,0.0629412941034383,"[-0.542, 0.040]",47,0.30061079912426086,False
capacity,set_size_effect_accuracy,0.24981799987520578,0.144344569765725,1.7307059093436417,0.09035706763293692,0.062409033061648356,"[-0.041, 0.541]",47,0.30061079912426086,False
rho,accuracy_overall,-0.24782168556621906,0.14442102125868875,-1.7159668544533953,0.09304619972893789,0.061415587836881835,"[-0.539, 0.043]",47,0.30061079912426086,False
rho,perseveration_index,0.2205101239056586,0.14874477010584197,1.4824731232483046,0.14550681192962797,0.04862471474488894,"[-0.079, 0.520]",45,0.43652043578888394,False
rho,set_size_effect_accuracy,0.19638194966909353,0.14616840590711078,1.343532129603255,0.18583583741945806,0.03856587015583446,"[-0.098, 0.491]",47,0.5203403447744825,False
alpha_neg,learning_slope,-0.1912875521225007,0.14797182413024246,-1.292729566908173,0.20285187883287972,0.03659092759701832,"[-0.490, 0.107]",46,0.5318370662776504,False
alpha_neg,mean_rt_overall,-0.18304829991859148,0.14655247978469182,-1.24902901805222,0.21811292182072609,0.03350668010308644,"[-0.478, 0.112]",47,0.5318370662776504,False
phi,feedback_sensitivity,-0.17926884404568652,0.14665626338517054,-1.222374277836767,0.22793017126185014,0.03213731844547629,"[-0.475, 0.116]",47,0.5318370662776504,False
phi,learning_slope,-0.176375109032464,0.1483922796412654,-1.1885733507083145,0.24098323795671173,0.031108179086213883,"[-0.475, 0.123]",46,0.5326997891674681,False
alpha_pos,perseveration_index,-0.1475962531436861,0.15082835971517694,-0.978570962532548,0.3332657270012025,0.02178465394205531,"[-0.452, 0.157]",45,0.6835139549612206,False
capacity,mean_rt_overall,0.14178950822507203,0.14756510693831926,0.9608606747687217,0.3417569774806103,0.020104264642707426,"[-0.155, 0.439]",47,0.6835139549612206,False
rho,learning_slope,-0.13183877808040284,0.14943975196731132,-0.8822202683342345,0.3824521304907914,0.017381463405733655,"[-0.433, 0.169]",46,0.7099316198005036,False
rho,set_size_effect_rt,-0.1264856774415794,0.14787392328167367,-0.8553616123422015,0.3968824459373823,0.015998626597855226,"[-0.424, 0.171]",47,0.7099316198005036,False
alpha_pos,learning_slope,-0.12197403324332581,0.14963002366552133,-0.8151708477703851,0.41936523486476973,0.014877664785644118,"[-0.424, 0.180]",46,0.7099316198005036,False
alpha_pos,mean_rt_overall,-0.11978069064041555,0.14799794188882084,-0.8093402456258298,0.42257834511934733,0.01434741385029481,"[-0.418, 0.178]",47,0.7099316198005036,False
phi,mean_rt_overall,0.1062449972073261,0.1482274528905129,0.7167700391222614,0.4772198775683447,0.011287999431584539,"[-0.192, 0.405]",47,0.7708936483796337,False
phi,set_size_effect_rt,-0.09075210422476579,0.14845605826332559,-0.6113061688852955,0.544072843468357,0.008235944421222552,"[-0.390, 0.208]",47,0.8463355342841109,False
rho,mean_rt_overall,-0.08101541319281325,0.14858117892064537,-0.5452602663496308,0.5882671054151309,0.00656349717480198,"[-0.380, 0.218]",47,0.8786594858806736,False
alpha_pos,set_size_effect_rt,-0.07705424527328604,0.14862799521589798,-0.5184369550390325,0.6066934545366556,0.005937356714635578,"[-0.376, 0.222]",47,0.8786594858806736,False
alpha_neg,feedback_sensitivity,-0.07163688856959792,0.1486882014445043,-0.4817926901640232,0.6322881770073149,0.005131843803932501,"[-0.371, 0.228]",47,0.884954097618301,False
capacity,set_size_effect_rt,-0.061266593293103314,0.14879115897766515,-0.41176232320564127,0.6824684152884125,0.003753595453742209,"[-0.361, 0.238]",47,0.884954097618301,False
capacity,learning_slope,0.058675340411844946,0.15049593806263847,0.38987989421630415,0.698506306180037,0.003442795572445978,"[-0.245, 0.362]",46,0.884954097618301,False
epsilon,learning_slope,0.05177798997390396,0.15055345167945128,0.343917654469632,0.7325463857522494,0.002680960245737829,"[-0.252, 0.355]",46,0.884954097618301,False
alpha_neg,perseveration_index,0.05078328234701076,0.15230180092035303,0.3334384888433993,0.7404238399767766,0.0025789417659363156,"[-0.256, 0.358]",45,0.884954097618301,False
capacity,feedback_sensitivity,0.04762880108812291,0.14890201829144098,0.31986672601643745,0.7505497846629139,0.002268502693091534,"[-0.252, 0.348]",47,0.884954097618301,False
alpha_pos,accuracy_overall,-0.04605660459928812,0.14891300884690928,-0.30928529989369047,0.7585320836728294,0.0021212108272151697,"[-0.346, 0.254]",47,0.884954097618301,False
capacity,perseveration_index,-0.039712183225331064,0.152378273378311,-0.26061578429056775,0.7956328651557938,0.0015770574965222606,"[-0.347, 0.268]",45,0.9031508199065768,False
alpha_neg,accuracy_overall,0.02357590040360074,0.14902976413530877,0.15819591838174987,0.8750102046641575,0.0005558230798403674,"[-0.277, 0.324]",47,0.9165955810639735,False
phi,perseveration_index,0.02205067531428969,0.15246149096084644,0.14463111422642794,0.8856779064870046,0.00048623228181654543,"[-0.285, 0.330]",45,0.9165955810639735,False
alpha_pos,set_size_effect_accuracy,0.020004415467893222,0.1490413681097961,0.13422055716206474,0.893826682600877,0.00040017663821223515,"[-0.280, 0.320]",47,0.9165955810639735,False
alpha_neg,set_size_effect_rt,0.01982531726884651,0.1490418999099984,0.1330184148270948,0.8947718767529266,0.00039304320481026167,"[-0.280, 0.320]",47,0.9165955810639735,False
alpha_pos,feedback_sensitivity,0.010692578570490857,0.14906267650917215,0.07173209834208846,0.9431329794442522,0.00011433123648585397,"[-0.290, 0.311]",47,0.9431329794442522,False
