parameter,predictor,model_type,beta_std,SE,t,p,R²,N,q_FDR,significant_FDR
capacity,IES-R Avoidance,univariate,0.2691074539695867,0.14357198567795615,1.874373003193095,0.06737948645882509,0.0724188217819931,47,0.9705619027342387,False
capacity,LESS Total,bivariate,-0.2355253077525512,0.1431005380212722,-1.645872971613425,0.1069156657962936,0.1004301873651271,47,,
capacity,LESS Total,univariate,-0.22662617351708508,0.14519263659604506,-1.5608654738298087,0.12556148030382483,0.051359422522995746,47,0.9705619027342387,False
capacity,IES-R Total,bivariate,0.22169790128071157,0.1431005380212722,1.54924575648874,0.12848619692980556,0.1004301873651271,47,,
capacity,IES-R Intrusion,univariate,0.21627892262168025,0.14554292437701483,1.4860146829359473,0.14424818053702643,0.046776572370394565,47,0.9705619027342387,False
capacity,IES-R Total,univariate,0.21224372369296118,0.1456748740443706,1.456968643942775,0.15206811188993208,0.04504739824705395,47,0.9705619027342387,False
rho,LESS Total,univariate,0.1734251103077849,0.1468123315373695,1.1812707317684783,0.24370073464422085,0.030076268885267265,47,0.9705619027342387,False
rho,LESS Total,bivariate,0.17418426191851372,0.1485636843136455,1.1724551846114588,0.2473233000197745,0.030433364360527237,47,,
phi,LESS Total,bivariate,0.1387238241271172,0.14916245008225096,0.9300184064462759,0.3574361784289245,0.022602201381394682,47,,
phi,LESS Total,univariate,0.13616352928745148,0.14768280523488211,0.921999883946477,0.36144567595782306,0.018540506708014548,47,0.9705619027342387,False
alpha_pos,IES-R Hyperarousal,univariate,0.13291959113755805,0.14774846359733776,0.8996343373140369,0.3731040175827174,0.017667617708175598,47,0.9705619027342387,False
alpha_neg,LESS Total,bivariate,-0.12467489231776432,0.14903612713609052,-0.8365414125658202,0.4073708058344666,0.024256980960682073,47,,
alpha_neg,LESS Total,univariate,-0.12072170937318075,0.147980949891533,-0.8157922317816401,0.4189162895530838,0.014573731113982746,47,0.9705619027342387,False
phi,IES-R Hyperarousal,univariate,-0.11160909355144524,0.14813982960827723,-0.7534036851977663,0.45513128975288875,0.01245658976337527,47,0.9705619027342387,False
alpha_neg,IES-R Intrusion,univariate,0.10106478780849407,0.14830793105826393,0.6814523477425491,0.49907750900448045,0.010214091334776021,47,0.9705619027342387,False
alpha_neg,IES-R Total,bivariate,0.09848287923336053,0.14903612713609052,0.6607987011325925,0.5121865748061409,0.024256980960682073,47,,
alpha_neg,IES-R Avoidance,univariate,0.09744951312423727,0.14836168960362067,0.6568374449266119,0.5146307758284585,0.009496407608150959,47,0.9705619027342387,False
alpha_neg,IES-R Total,univariate,0.0934783275613841,0.14841846263381467,0.6298295097694041,0.5319912528122684,0.008738197723673458,47,0.9705619027342387,False
epsilon,IES-R Hyperarousal,univariate,0.08770774761017008,0.14849671534034006,0.5906376272980344,0.5577181479900337,0.007692648990849094,47,0.9705619027342387,False
alpha_pos,IES-R Total,bivariate,0.07255043182685555,0.1503514891994206,0.4825388309298844,0.6318152794088681,0.006957563276650425,47,,
alpha_pos,IES-R Total,univariate,0.07077727785137083,0.14869734937037937,0.47598210829620696,0.6363899369428347,0.005009423060050144,47,0.9705619027342387,False
phi,IES-R Total,bivariate,-0.06378283298071694,0.14916245008225096,-0.4276064984555154,0.6710232157297538,0.022602201381394682,47,,
phi,IES-R Total,univariate,-0.058214345749070806,0.1488183896901789,-0.39117709760376873,0.6975124208455845,0.0033889100509922887,47,0.9705619027342387,False
epsilon,IES-R Intrusion,univariate,-0.05782177141886363,0.14882179072449073,-0.3885302759587628,0.6994558656067333,0.003343357250015,47,0.9705619027342387,False
capacity,IES-R Hyperarousal,univariate,0.05612369967330614,0.1488362359056258,0.3770835733100177,0.7078839831795679,0.0031498696650192892,47,0.9705619027342387,False
alpha_neg,IES-R Hyperarousal,univariate,0.04642252811461879,0.14891048383982214,0.3117478831413502,0.7566719742362031,0.0021550511165524533,47,0.9705619027342387,False
phi,IES-R Avoidance,univariate,-0.04607511560563404,0.14891288159501753,-0.3094098718131022,0.7584379536127456,0.002122916278072595,47,0.9705619027342387,False
rho,IES-R Hyperarousal,univariate,-0.045757415552321934,0.14891505848204356,-0.3072719174188784,0.7600539644782311,0.0020937410780280663,47,0.9705619027342387,False
epsilon,IES-R Avoidance,univariate,0.04515021701908012,0.1489191770281323,0.303186049776187,0.7631453479204845,0.002038542096869822,47,0.9705619027342387,False
alpha_pos,LESS Total,bivariate,-0.0441733436771683,0.1503514891994206,-0.2938005064823696,0.7702918152497875,0.006957563276650425,47,,
alpha_pos,IES-R Avoidance,univariate,0.043332544851726384,0.1489311765403867,0.2909568423370079,0.772421184579026,0.0018777094433267694,47,0.9705619027342387,False
alpha_pos,LESS Total,univariate,-0.04126111028236176,0.14894424913580298,-0.2770238563876414,0.783030374949772,0.0017024792217330553,47,0.9705619027342387,False
epsilon,LESS Total,bivariate,-0.03520120580177334,0.15073253406528703,-0.23353422683470965,0.8164297181901826,0.0019177300544086506,47,,
epsilon,LESS Total,univariate,-0.03409727922011839,0.14898451638787358,-0.22886458302383494,0.820011116596713,0.0011626244502145333,47,0.9705619027342387,False
epsilon,IES-R Total,bivariate,0.027501350113982692,0.15073253406528703,0.18245132203556658,0.8560665993753845,0.0019177300544086506,47,,
alpha_pos,IES-R Intrusion,univariate,0.02717195945036585,0.14901615755940528,0.18234237075622992,0.8561330240105093,0.0007383153803722786,47,0.9705619027342387,False
epsilon,IES-R Total,univariate,0.026088345056782786,0.14902046080635284,0.17506552399327047,0.8618134851006664,0.0006806017478016013,47,0.9705619027342387,False
rho,IES-R Total,bivariate,-0.01891221262644685,0.1485636843136455,-0.127300374339934,0.899282674330114,0.030433364360527237,47,,
rho,IES-R Total,univariate,-0.011920314554503833,0.1490606070698106,-0.07996958276790801,0.936616037279813,0.00014209389907826608,47,0.9705619027342387,False
rho,IES-R Avoidance,univariate,0.010868762145357442,0.14906239335030347,0.07291417976776578,0.9421975438544931,0.00011812999057236873,47,0.9705619027342387,False
phi,IES-R Intrusion,univariate,-0.008143362488073236,0.14906625563802814,-0.05462914764457122,0.9566757381269364,6.631435261217344e-05,47,0.9705619027342387,False
rho,IES-R Intrusion,univariate,-0.005531860300836522,0.1490689175830064,-0.03710941482993062,0.9705619027342387,3.0601478387959347e-05,47,0.9705619027342387,False
