,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_neg[0],0.005,0.005,0.0,0.012,0.0,0.0,1627.0,2197.0,1.02
alpha_neg[1],0.004,0.003,0.0,0.009,0.0,0.0,1141.0,855.0,1.0
alpha_pos[0],0.763,0.087,0.61,0.926,0.004,0.001,503.0,2025.0,1.0
alpha_pos[1],0.192,0.046,0.106,0.276,0.002,0.001,718.0,3107.0,1.0
beta[0],5.477,0.237,5.039,5.915,0.006,0.004,1449.0,448.0,1.0
beta[1],5.412,0.864,3.992,7.031,0.026,0.024,872.0,2865.0,1.0
mu_alpha_neg,0.005,0.005,0.0,0.013,0.0,0.0,1467.0,1116.0,1.01
mu_alpha_pos,0.509,0.116,0.301,0.735,0.003,0.003,1423.0,1590.0,1.03
mu_beta,4.596,1.22,2.176,6.678,0.13,0.07,101.0,238.0,1.03
sigma_alpha_neg,0.265,0.213,0.001,0.656,0.014,0.004,171.0,845.0,1.01
sigma_alpha_pos,0.767,0.164,0.481,1.084,0.005,0.003,1443.0,1406.0,1.0
sigma_beta,0.607,0.65,0.001,1.936,0.106,0.073,56.0,109.0,1.04
z_alpha_neg[0],-0.077,0.938,-1.774,1.795,0.021,0.021,1913.0,1841.0,1.02
z_alpha_neg[1],-0.465,1.02,-2.368,1.45,0.03,0.021,1195.0,2049.0,1.0
z_alpha_pos[0],1.601,0.724,0.283,2.957,0.023,0.02,1018.0,1388.0,1.01
z_alpha_pos[1],-1.995,0.67,-3.248,-0.751,0.017,0.017,1390.0,1815.0,1.01
z_beta[0],0.346,0.688,-1.104,1.645,0.017,0.018,1440.0,2208.0,1.02
z_beta[1],0.253,0.706,-1.101,1.68,0.026,0.018,609.0,2093.0,1.02
