model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
Q-Learning,alpha_pos,intercept,0.14813034752799373,0.04564458249626477,0.057905057430426926,0.23835563762556053,3.2452996484328818,0.001461194132384621,0.03994391550081189,0.019802878763066634,147,
Q-Learning,alpha_pos,ies_intrusion,0.015360572546808313,0.006480314413116377,0.0025509856063490547,0.028170159487267574,2.3703437159959386,0.019106001494087088,0.03994391550081189,0.019802878763066634,147,
Q-Learning,alpha_pos,ies_avoidance,-0.005264585272433515,0.004908995250743452,-0.014968157884192002,0.004438987339324971,-1.072436415911425,0.28533056800460826,0.03994391550081189,0.019802878763066634,147,
Q-Learning,alpha_pos,ies_hyperarousal,-0.010424753790484066,0.00665575402522289,-0.023581130843399932,0.0027316232624318027,-1.566276901306454,0.11949405183176762,0.03994391550081189,0.019802878763066634,147,
Q-Learning,alpha_neg,intercept,0.1273919880004447,0.03928486972241545,0.04973789252394192,0.2050460834769475,3.2427748621947563,0.0014732988430252007,0.019085820270370646,-0.0014927988847963647,147,
Q-Learning,alpha_neg,ies_intrusion,0.005543601926588249,0.005577404667912143,-0.005481210365102152,0.01656841421827865,0.9939393421606347,0.3219312844397176,0.019085820270370646,-0.0014927988847963647,147,
Q-Learning,alpha_neg,ies_avoidance,-0.006425702364317991,0.0042250192322209135,-0.014777264916700322,0.0019258601880643399,-1.520869376241933,0.13050071961231605,0.019085820270370646,-0.0014927988847963647,147,
Q-Learning,alpha_neg,ies_hyperarousal,-0.0006017653562235745,0.005728400074789169,-0.011925049090609164,0.010721518378162017,-0.10504946378866917,0.9164837641902868,0.019085820270370646,-0.0014927988847963647,147,
Q-Learning,epsilon,intercept,0.15345032840906472,0.020208639730246825,0.11350406792376086,0.1933965888943686,7.5933031840530765,3.698460241762321e-12,0.038514042716455976,0.018343008647570325,147,
Q-Learning,epsilon,ies_intrusion,0.0011444264673114448,0.002869088337572405,-0.004526878064703928,0.0068157309993268165,0.39888157235331684,0.6905754806850426,0.038514042716455976,0.018343008647570325,147,
Q-Learning,epsilon,ies_avoidance,-0.0008216926262817055,0.002173403962406388,-0.005117843281693324,0.003474458029129912,-0.3780671428296879,0.7059413344026204,0.038514042716455976,0.018343008647570325,147,
Q-Learning,epsilon,ies_hyperarousal,0.0033212096695916776,0.002946762307221813,-0.0025036323922109577,0.009146051731394312,1.1270707723701308,0.2616002346777732,0.038514042716455976,0.018343008647570325,147,
