participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,816.5019,800.23346,800.23334,1085.3698,800.23334,841.24744,1084.4727,843.4574,841.24744,840.75104,1084.4727,800.23334,843.4574,800.23334,824.15533,824.15533,824.15533,824.15533,840.75104,840.75104,840.75104,800.23334,840.75104,840.75104,800.2334,843.4574,800.23334,843.9388,1084.4674,800.23334,800.23334,800.23334,800.23334,800.2334,843.4574,800.23334,840.75104,843.9388,1084.4612,843.4574,824.15533,824.15533,840.75104,800.23334,824.15533,800.2334,843.9388,1084.4674,840.75104,840.75104
9187,897.6639,897.6639,868.353,1087.5774,868.353,897.6639,868.353,928.9852,1086.8481,868.353,1086.8251,897.6639,928.9852,868.353,897.6639,897.6639,1086.8252,1086.8251,868.353,868.353,868.353,868.353,868.353,868.353,897.6639,928.9852,868.353,1086.8481,1086.8481,868.353,868.353,868.353,897.6639,868.353,928.9852,929.3123,897.6639,928.9852,1086.8481,1086.8481,897.6639,897.6639,868.353,1086.8252,897.6639,868.353,929.3123,1086.8481,868.353,868.353
10002,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,594.031,588.091,588.091,603.65063,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,588.091,603.65063,588.091,603.65063,603.65063,588.091,588.091,588.091,594.031,588.091,603.65063,588.09106,588.091,603.65063,588.091,603.65063,588.091,588.091,588.091,588.09106,588.091,588.09106,603.65063,603.65063,588.091,588.09106
10003,691.44336,691.44324,691.44336,1068.8804,723.6928,723.6928,691.44324,723.6928,723.6928,691.44336,1068.8804,691.44324,723.6928,691.44324,723.6928,723.6928,723.6928,691.44336,723.6928,691.44336,691.44324,691.44336,1067.8354,723.6928,723.6928,723.6928,691.44336,723.6928,691.44324,723.6928,691.44324,691.44324,723.6928,723.6928,691.44324,691.44324,691.44324,691.44324,723.6928,723.6928,723.6928,1067.8354,725.922,691.44336,723.6928,691.44324,735.12897,1067.8354,691.44336,691.4433
10004,426.9796,426.96832,426.96835,426.96832,503.45493,747.50555,426.96835,503.45493,675.4329,426.96832,426.96832,431.9637,503.45493,426.96835,675.4329,694.79596,426.9796,431.9637,431.9637,503.45493,431.9637,503.45493,503.45493,431.9637,431.9637,426.9796,503.45493,431.9637,434.00745,426.9796,426.96832,426.96832,426.9796,431.9637,434.00745,426.9796,431.9637,434.00745,426.9796,434.0074,503.45493,426.9796,431.9637,426.9796,426.9796,503.45493,434.0074,434.0074,431.9637,503.45493
10005,543.62695,544.4205,551.1516,543.627,551.1516,544.4205,543.627,551.64575,552.28613,551.1516,551.1516,551.1516,551.64575,543.62695,544.4205,544.4205,544.4205,551.1516,551.1516,551.1516,551.1516,543.62683,551.1516,551.1516,551.1516,551.64575,551.1516,552.28613,552.28613,544.4205,551.3488,543.627,551.1516,551.1516,551.64575,551.1516,551.1516,552.28613,551.1516,551.64575,544.4205,544.4205,543.627,544.4205,551.1516,544.4205,552.28613,552.28613,551.1516,551.1516
10006,514.4577,493.3435,492.5783,493.34354,514.4577,514.86334,492.5783,514.4577,514.86334,514.4577,493.3435,514.86334,514.4577,492.5783,493.34354,493.34354,492.5783,493.34354,493.3435,514.86334,514.4577,492.5783,514.4577,493.3435,514.4577,514.4577,514.4577,514.86334,514.86334,493.34354,514.4577,493.3435,514.4577,514.4577,514.4577,492.5783,514.4577,514.4577,514.4577,514.4577,514.4577,493.3435,493.3435,493.34354,514.4577,493.3435,514.86334,514.86334,492.5783,893.6
10007,1083.7292,926.5409,926.5409,1084.2955,969.34985,969.35,926.5409,987.7991,988.05597,926.5409,1083.7089,969.34985,987.7991,1083.7087,969.34985,969.35,1083.7089,1083.7089,926.5409,926.5409,926.5409,926.5409,926.5409,926.5409,926.5409,987.7991,969.34985,1083.7292,1083.7292,926.5921,926.5409,926.5409,926.5409,926.5409,987.7991,926.5409,1084.2935,1083.7292,1083.7087,1083.7292,926.5409,1083.7089,1083.7202,1083.7089,926.5409,926.5409,1083.7292,1083.7292,969.35,988.05597
10016,540.24304,540.2253,540.2253,540.2253,540.2253,540.2253,541.84595,546.9372,540.24304,540.2253,540.2253,540.24304,546.93726,541.84595,541.84595,540.24304,541.84595,540.2253,540.2253,540.2253,540.2253,541.84595,540.2253,540.2253,540.2253,546.93726,540.24304,540.2253,546.93726,541.84595,540.2253,541.84595,540.24304,540.2253,540.24304,540.2253,540.2253,546.9372,540.2253,546.93726,540.2253,541.84595,540.2253,541.84595,540.2253,541.84595,546.93726,546.93726,540.2253,540.2253
10017,488.31656,501.6771,488.31656,488.31656,488.31656,488.31656,501.67712,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,501.67712,501.6771,917.1186,501.67712,488.31656,488.31656,619.1648,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,501.67712,488.31656,501.67712,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,488.31656,501.67712,488.31656,501.67712,488.31656,501.67712,488.31656,488.31656,488.31656,841.9523
