model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
Q-Learning,alpha_pos,lec_total,45,-0.23498859245605494,0.12022245799436837,1.0,False
Q-Learning,alpha_pos,lec_personal,45,-0.335689562268101,0.024173195397601523,0.3625979309640228,False
Q-Learning,alpha_pos,ies_intrusion,45,-0.10828482121790554,0.47891926058019985,1.0,False
Q-Learning,alpha_pos,ies_avoidance,45,-0.10321520954362792,0.4998598702288096,1.0,False
Q-Learning,alpha_pos,ies_hyperarousal,45,-0.044981134891674296,0.7692163840341348,1.0,False
Q-Learning,alpha_neg,lec_total,45,-0.12528023491778706,0.4122194560323782,1.0,False
Q-Learning,alpha_neg,lec_personal,45,-0.22917391157369027,0.12994494756401032,1.0,False
Q-Learning,alpha_neg,ies_intrusion,45,-0.1057415025442964,0.489366545378169,1.0,False
Q-Learning,alpha_neg,ies_avoidance,45,-0.17267019372348447,0.25668686127200774,1.0,False
Q-Learning,alpha_neg,ies_hyperarousal,45,-0.04300382925646167,0.7791013136567574,1.0,False
Q-Learning,epsilon,lec_total,45,-0.39090258830409513,0.007930240585004997,0.11895360877507496,False
Q-Learning,epsilon,lec_personal,45,-0.2602003608114172,0.08430551047263712,1.0,False
Q-Learning,epsilon,ies_intrusion,45,0.10004961710686831,0.5131693499576391,1.0,False
Q-Learning,epsilon,ies_avoidance,45,0.17037379958237672,0.26316337092938263,1.0,False
Q-Learning,epsilon,ies_hyperarousal,45,0.2903406097692148,0.05301966277105077,0.7952949415657615,False
WM-RL,alpha_pos,lec_total,45,-0.047696289603486486,0.7557018438312412,1.0,False
WM-RL,alpha_pos,lec_personal,45,0.09509073354254877,0.5343705068189425,1.0,False
WM-RL,alpha_pos,ies_intrusion,45,-0.06509841246110011,0.6709416793975259,1.0,False
WM-RL,alpha_pos,ies_avoidance,45,-0.04510032069818198,0.7686216888314097,1.0,False
WM-RL,alpha_pos,ies_hyperarousal,45,-0.08862646476396686,0.5626326751191202,1.0,False
WM-RL,alpha_neg,lec_total,45,0.05176184532763742,0.7356010106257584,1.0,False
WM-RL,alpha_neg,lec_personal,45,0.16222465518947637,0.2870184591572166,1.0,False
WM-RL,alpha_neg,ies_intrusion,45,0.007799834464718101,0.9594440652735584,1.0,False
WM-RL,alpha_neg,ies_avoidance,45,-0.18346024547164785,0.2276910694175568,1.0,False
WM-RL,alpha_neg,ies_hyperarousal,45,-0.18620853167328977,0.22068078761885046,1.0,False
WM-RL,phi,lec_total,45,0.16652211895664004,0.2742685855895147,1.0,False
WM-RL,phi,lec_personal,45,0.371797102231732,0.01191077218185616,0.3573231654556848,False
WM-RL,phi,ies_intrusion,45,0.30668512104709855,0.040453989676767686,1.0,False
WM-RL,phi,ies_avoidance,45,0.31371981320823294,0.03585403343027277,1.0,False
WM-RL,phi,ies_hyperarousal,45,0.32829946860640136,0.0276828504876129,0.830485514628387,False
WM-RL,rho,lec_total,45,-0.06457513149916122,0.6734384507676443,1.0,False
WM-RL,rho,lec_personal,45,-0.37978507711448173,0.010076453058993169,0.3022935917697951,False
WM-RL,rho,ies_intrusion,45,-0.18893994242113557,0.21386289272642003,1.0,False
WM-RL,rho,ies_avoidance,45,-0.03376256214521639,0.8257344930385625,1.0,False
WM-RL,rho,ies_hyperarousal,45,-0.2868827711231199,0.056044270818298804,1.0,False
WM-RL,capacity,lec_total,45,-0.021674810791962398,0.887613990923996,1.0,False
WM-RL,capacity,lec_personal,45,0.3442444613201218,0.020582812969088007,0.6174843890726402,False
WM-RL,capacity,ies_intrusion,45,0.11037068571387484,0.47043959393066315,1.0,False
WM-RL,capacity,ies_avoidance,45,-0.02649937635354444,0.8628155750712508,1.0,False
WM-RL,capacity,ies_hyperarousal,45,0.19185182429239228,0.20675745408523385,1.0,False
WM-RL,epsilon,lec_total,45,-0.3354229841865324,0.02429299140981113,0.7287897422943339,False
WM-RL,epsilon,lec_personal,45,-0.14875948190681154,0.32942728114116354,1.0,False
WM-RL,epsilon,ies_intrusion,45,-0.15262209262103474,0.31688053578278197,1.0,False
