participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,755.3707,769.6345,764.959,755.3707,761.40173,763.29126,764.959,758.4431,761.40173,761.4018,761.4018,758.44275,949.8479,800.7185,755.3707,761.40173,769.6345,761.4018,764.959,761.4018,761.40173,755.3707,,758.4432,758.44275,763.2912,764.95905,762.8238,764.959,765.4855,764.95905,764.9672,762.68964,763.29126,755.3707,787.5173,758.4432,764.959,764.959,758.44275,764.9671,755.3707,761.4018,761.40173,761.4018,755.3706,758.4432,11881.591,764.9672,758.45404
9187,860.2978,860.3704,860.2308,1086.8251,904.22156,860.4359,860.3705,860.42456,859.9857,884.58826,893.21265,860.082,860.0561,893.21277,860.0561,860.4255,884.58826,860.4256,860.2056,860.3432,860.3051,860.2462,860.3459,860.42456,860.0818,860.3051,884.616,882.8743,860.20544,861.3962,860.2462,860.41766,860.3598,859.9857,884.60236,860.436,860.38745,884.61597,860.42456,859.9858,11421.073,860.05597,11421.073,860.33307,860.3705,860.05615,884.1505,921.37885,860.34143,860.08185
10002,547.7856,1081.895,573.5362,557.73,556.8135,553.38477,575.8743,556.9777,547.7855,581.77686,586.8554,558.0474,583.77356,547.892,556.8135,556.8135,560.19147,547.7856,595.3103,9450.063,556.8135,547.7856,565.5074,575.9585,547.7856,560.2038,9450.063,571.3338,582.00446,585.7249,575.8744,575.8744,547.7856,547.78564,565.7355,599.02496,595.31036,547.8921,575.8744,556.78217,575.8744,548.34644,579.87683,555.01086,556.8135,556.9663,757.4401,556.79706,556.9182,586.03253
10003,621.4284,678.6266,646.648,670.087,627.7263,627.74054,622.53284,622.5328,628.7486,627.74054,627.74054,,735.1069,622.5328,674.3356,627.5392,651.71075,624.3308,622.53284,674.3356,624.26843,622.53284,621.4284,622.53284,621.42834,627.6882,622.53284,627.74054,622.53284,625.18964,625.2302,628.8611,628.9739,622.53284,651.7106,622.53284,621.4284,621.42847,622.53284,621.4284,621.4284,621.4283,8473.766,627.51086,627.74054,621.4284,621.4284,651.71063,624.3308,621.42834
10004,663.88727,426.81738,434.02313,416.47015,434.00665,424.38995,415.81586,425.67407,421.27243,425.09418,433.92133,410.84732,410.94125,434.02313,417.09192,415.73846,429.03943,413.81653,422.9716,431.93143,423.7431,413.81638,575.65924,425.67404,434.00702,421.97388,426.66138,429.4549,426.66138,425.24786,433.98627,699.0469,426.6614,410.84738,427.43933,434.02313,420.45596,434.00748,417.11893,411.99255,415.81586,426.9847,426.856,421.89392,426.9847,572.0109,437.50256,624.048,663.7715,434.00018
10005,496.20816,544.3878,528.4626,524.67285,538.9348,511.92078,495.71094,531.82806,498.6469,535.09283,543.85944,495.71094,495.71088,545.7429,517.53345,511.9208,541.886,495.71094,,544.2844,536.19446,519.4779,512.3524,495.71094,497.83395,511.9208,511.77454,523.9675,511.77454,495.7109,510.7814,495.71094,496.921,498.38248,535.7328,544.70294,497.44675,510.7814,498.38242,,497.83405,497.83392,523.8638,542.18866,511.92078,517.6917,817.6802,511.87656,510.78137,
10006,914.52466,460.66492,513.4311,453.65527,492.99442,467.69647,452.24283,493.46738,466.19836,493.4771,486.28995,449.62888,452.2428,478.64233,457.8738,460.66486,486.28522,449.6289,463.92175,493.47714,471.39038,463.92175,477.53387,456.26334,477.06097,508.56384,465.47922,480.13177,465.47925,454.02454,914.4752,464.25934,486.1683,460.3014,449.6289,513.4806,449.6289,,456.26328,486.28995,449.6289,517.9203,460.30142,486.27673,490.30737,633.07886,773.39606,10113.206,476.44016,512.4791
10007,807.2069,829.4032,829.39874,847.8132,845.5678,807.2158,883.7895,807.2082,807.20917,807.22437,807.2158,807.2081,1083.7086,979.2563,817.9541,807.2159,829.3988,823.9135,845.5677,6650.121,807.20825,6650.121,807.20825,1084.296,807.2082,807.2159,845.5677,829.3514,845.5677,807.2091,831.56866,807.2159,807.2092,807.22437,807.2227,807.20825,845.5677,845.5677,1084.33,829.40063,807.2243,807.2069,883.7475,807.2159,807.2159,807.2069,829.39886,807.2227,807.20825,845.5677
10016,496.5325,501.5868,502.11688,,540.4154,501.58685,513.1337,501.7956,501.27173,513.4215,546.9374,501.54398,513.4106,508.20102,525.92914,501.58682,503.70587,501.27194,508.201,528.11945,502.08768,525.92194,512.8554,513.41064,525.92194,501.3452,508.20096,513.828,508.2304,498.1022,498.11673,513.4215,501.27173,501.27182,502.08762,546.8257,513.1337,501.77817,513.6847,501.27173,513.1337,532.6282,514.5106,528.95526,502.08762,501.27185,498.064,535.28436,501.77817,1082.9244
10017,544.0429,487.3307,487.383,480.05237,487.3307,487.75638,482.66806,480.05237,485.25107,487.33142,480.57715,479.1875,481.8472,486.2249,481.12845,480.44238,480.05237,480.05234,471.78613,487.33105,481.15234,486.2249,471.29495,486.56543,486.65054,481.5341,476.46185,486.79147,471.78622,480.0524,476.86328,476.28973,477.03745,1042.4952,496.3488,486.58075,487.3316,486.2989,481.84717,480.0523,481.85495,476.33105,486.52463,487.34714,495.6351,471.61447,677.4851,481.1296,476.2157,485.9605
10018,633.0263,662.9753,684.91895,649.3451,645.0648,645.01416,641.8023,638.75214,633.02625,649.9857,645.0141,,645.0907,716.3703,637.48773,645.01416,716.3703,633.0263,666.6443,638.7521,645.06476,633.02637,670.874,649.71246,633.0263,645.06476,663.60895,649.71246,663.60754,641.8023,641.8023,633.02625,633.0263,636.96594,684.0129,692.5901,1065.3263,658.0449,649.34503,636.9659,650.1937,638.75214,649.71246,645.01416,645.0648,640.5124,633.02637,684.1096,658.04486,633.02637
10024,353.9093,371.7705,363.94272,365.33966,357.82312,362.36737,372.96384,382.49115,409.06033,362.3673,379.2801,353.80908,371.9057,382.4911,409.06036,362.3673,385.07886,352.3903,392.0758,408.5639,367.4964,408.5639,352.26556,408.56393,353.80905,362.3673,385.11285,362.3673,353.80908,362.3673,392.07605,382.8126,363.9222,353.80908,352.3903,415.60452,392.07605,363.92212,372.9638,353.90933,372.96387,353.80905,385.58127,361.56534,365.33966,352.2656,406.50528,401.4337,363.9222,363.92224
10025,249.00455,252.16408,256.06406,251.2179,251.2179,252.16405,251.40146,252.0943,249.00455,249.58638,249.59715,249.40569,250.5147,249.08276,252.3057,249.59357,251.2179,249.34344,249.00458,252.30571,251.21793,250.51471,249.00453,252.09431,249.40569,249.59718,258.61127,252.16405,250.51471,249.59357,251.21654,251.21793,251.21794,249.34348,249.08282,252.09428,249.56097,252.16406,249.56099,249.00458,249.00456,249.40569,253.2714,249.59715,249.00456,249.40569,252.3057,290.73093,251.21793,256.06107
10027,347.15265,327.78433,327.78433,348.8682,367.5219,329.3357,313.9241,355.378,329.65402,367.52115,367.5218,329.61456,322.06494,314.68927,328.19376,366.81842,354.76068,314.69736,318.61017,355.37796,448.07074,355.37793,318.61017,355.46545,329.65402,318.61017,324.72003,322.05542,342.35284,313.92413,348.86038,342.34335,354.98038,314.6973,342.34338,,327.78436,367.5218,313.92416,354.76068,355.378,347.84784,322.05545,318.61014,336.07404,442.9523,441.6854,367.02075,342.34338,365.85745
10028,684.1424,767.62897,703.7694,767.9129,705.59326,695.58966,695.5288,686.1735,703.8556,706.78156,706.7816,695.49725,767.60645,717.3799,688.2665,694.9548,767.9289,767.9289,703.7694,686.1735,685.9986,706.07117,705.59326,684.1718,695.9464,706.0542,705.6672,685.99854,688.33386,705.6671,703.7694,705.6672,767.59424,684.10034,694.7787,703.7694,703.7694,767.92944,705.59326,694.8114,703.7694,703.7695,686.1735,767.6292,684.10034,684.10034,702.1869,705.59314,684.1718,686.1735
10029,511.96716,322.01437,372.69635,320.02603,350.3784,319.7899,316.72318,317.51236,327.43823,325.6091,328.47217,315.6516,317.15265,318.66785,324.19653,328.65665,338.36975,315.3307,315.65164,316.72314,525.8559,338.80844,319.78986,318.1136,315.6093,316.64746,339.51816,322.01443,338.36975,351.92804,321.7925,318.11356,339.51807,315.33072,339.04947,316.7232,322.01443,357.09857,316.92548,323.04794,317.31348,320.1608,320.02606,315.65164,329.6023,512.54407,435.07437,356.4574,522.50385,355.97134
10030,278.0286,313.85864,319.21042,292.1729,301.2079,292.7788,284.57034,277.78326,295.19553,318.69235,303.68918,293.61887,277.78326,303.41278,303.5227,303.86438,308.64368,277.78326,292.77878,303.86636,495.0307,313.84116,313.371,291.4017,303.68918,283.2461,521.3135,314.0942,299.0192,284.28464,315.61374,290.50272,301.09915,315.61417,278.0286,303.98706,283.24603,319.3001,284.28345,377.62964,312.72867,332.10696,296.8606,303.86438,303.98706,293.07474,367.19684,563.1639,432.7148,303.58875
10031,420.1394,,425.23926,422.9311,435.97113,425.23697,422.93103,422.09152,441.28952,424.97006,435.97113,437.9954,422.9594,435.95343,436.6051,428.63623,445.41925,420.1394,,436.6051,440.18268,435.97113,431.6981,422.9594,425.5033,424.9701,444.93817,426.78937,435.95337,431.83203,444.93817,420.13934,431.69812,422.893,431.97955,421.5132,444.3566,444.35657,422.93106,421.07986,429.7725,421.24857,430.53714,431.83203,421.24854,437.99536,424.9701,420.13937,431.69812,431.6991
10035,369.96472,409.5162,385.20276,410.42532,421.73138,385.04947,7123.565,419.56665,404.57156,406.7642,419.81958,369.335,443.86545,369.33502,390.39532,414.95398,417.70084,415.2269,369.33487,419.56665,384.5605,385.0398,370.2301,378.8769,369.96472,384.7911,369.33505,409.51617,369.33496,369.96466,389.60062,422.92636,369.335,369.335,417.70084,419.56662,369.33502,389.32022,369.95966,421.7314,373.3546,369.96466,385.04947,414.7223,384.5605,369.95966,414.95398,369.95963,,370.23013
10036,507.20447,523.8919,547.8478,782.59845,509.87146,508.84903,561.78925,508.84897,508.849,7897.2314,508.849,509.8731,509.87872,547.8478,552.2021,509.89926,509.87146,508.84903,547.8477,508.84903,509.87146,507.21536,507.20453,507.2044,509.87314,508.84894,547.8477,508.849,547.8477,509.8731,510.14804,509.89917,509.8722,509.8553,507.20447,558.3846,509.8731,509.8731,7897.2314,782.63477,508.84894,507.20453,509.87152,508.84894,508.84897,507.2045,507.2044,523.8919,509.8731,547.8477
10039,419.39743,445.113,441.51404,442.8114,419.39752,432.5401,426.19617,458.20538,502.8345,431.39987,432.54013,459.39816,435.15808,423.72037,419.39743,431.39984,469.2843,456.49557,438.13092,444.10107,442.81143,451.6299,435.80582,443.2732,425.5183,461.69968,445.1265,433.90985,419.3974,443.07883,426.19617,457.01715,442.06848,421.8104,442.8115,467.6643,425.51834,425.51837,426.19614,421.81042,443.2732,419.39743,444.10104,456.7821,421.81042,442.06845,419.3975,421.81042,436.24945,421.81046
10041,639.99915,683.4611,652.09216,764.23096,639.9991,641.38574,655.4512,654.16376,653.9769,655.4722,641.38574,643.1705,764.22784,655.45123,653.9768,643.1805,652.0921,643.1867,670.55493,654.16376,641.49866,652.0921,641.38574,653.97687,655.45123,641.3857,670.55493,683.4612,655.4512,670.555,652.0922,654.16376,641.38574,639.9991,643.18054,653.97687,670.55493,653.5887,670.55493,639.999,670.555,643.1755,654.16364,652.6178,641.4985,639.99915,639.9991,657.16473,643.18677,652.09216
10043,513.434,519.9491,514.43085,513.9558,513.8832,514.5037,514.9573,513.9557,513.9558,514.8913,514.5038,514.1691,516.6166,513.9557,513.956,514.8913,577.24835,513.8832,514.9572,513.8832,513.8831,513.88324,514.89136,515.24097,514.1691,515.76666,514.9574,519.94904,513.49817,515.7978,513.4341,514.9572,513.88306,514.8913,514.95734,513.9558,515.24097,515.7978,514.3798,513.4341,513.9558,514.1691,514.5037,513.434,513.8831,513.49817,513.434,539.9344,516.8535,514.8913
10047,455.76913,503.96237,478.2636,455.76917,461.28186,463.90146,459.02573,496.55188,459.02576,466.56894,506.17426,455.76935,461.93393,506.17426,455.76917,463.90146,465.88834,455.76917,487.98474,463.9015,465.88837,478.2636,458.51825,459.02576,468.03326,466.00867,466.3125,480.4327,,468.03784,459.02582,466.5689,467.4301,465.99255,455.76917,459.02573,459.0258,482.41327,461.28192,455.76917,459.02576,455.76913,467.4301,455.76923,465.88837,455.7944,455.7692,501.80566,,464.0603
10048,425.87903,425.90466,,425.9321,425.9005,425.90466,519.2924,425.8916,425.87903,439.82224,425.90463,425.87906,480.51453,431.12543,519.2675,425.90463,425.89163,431.12543,425.88275,425.87906,425.90466,519.1413,425.88263,458.2729,425.87906,425.9047,431.1255,439.82227,458.2729,431.1255,431.1255,425.88263,439.95544,425.87906,425.91046,425.87906,431.12543,440.0089,565.35205,425.88263,531.9178,425.879,519.2802,479.55405,425.90466,425.87906,425.87906,431.1255,458.2729,458.27292
10050,440.18307,440.33423,439.15225,440.33423,440.3263,461.72446,440.34207,440.33136,440.3339,440.33426,440.33392,439.15228,503.86624,481.7717,478.07303,440.33392,440.33398,440.33423,439.45056,439.15228,439.15234,440.18307,439.36798,439.1523,439.1523,440.3339,484.09857,440.34488,439.15222,440.33398,439.36798,440.33392,439.15228,440.32632,440.18307,439.15237,440.34204,439.36798,439.15234,440.33047,440.33215,439.1523,440.33328,440.33423,440.34488,439.15228,439.15237,458.1224,439.15234,440.00043
10051,358.22626,372.75098,358.8804,366.90164,402.057,362.68652,358.39795,358.2262,358.88043,362.68652,388.9582,358.2262,358.39798,366.90164,358.8804,366.73682,388.6327,358.2262,364.5774,386.29852,367.58536,358.22623,364.9367,358.39795,,362.68652,358.39795,362.79117,358.39792,362.79114,358.2262,366.90158,358.2262,358.22626,358.22626,390.56577,358.22623,358.39795,,386.5735,358.39795,369.9647,366.9016,358.39792,358.2262,358.22626,358.2262,,358.22617,358.39795
