parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.06142738265300389,0.12759963833016583,0.0154737290184084,0.03054169026433708,0.0923130750416707,68
alpha_neg,0.01587639355634832,0.12100621107809312,0.014674158518551876,-0.013413349434972684,0.04516613654766932,68
phi,0.21960361191989197,0.20905483282724002,0.02535162227331038,0.1690015620742707,0.27020566176551325,68
rho,0.778608912098742,0.27989998118921705,0.0339428584426923,0.7108586830876301,0.8463591411098538,68
capacity,2.468943911440232,1.428467748609172,0.17322715912658443,2.1231810546795002,2.814706768200964,68
kappa,0.03243968031038482,0.03729684023288992,0.0045229062288821035,0.023411921693063095,0.041467438927706546,68
phi_rl,0.0934832853039124,0.19344148527507982,0.023458225769574043,0.04666047069723113,0.14030609991059367,68
epsilon,0.05502653516219545,0.05102314274035538,0.006187464907925063,0.042676303515738666,0.06737676680865223,68
nll,478.3478956783519,127.56369924922085,15.469370764678288,,,68
aic,972.6957913567038,255.1273984984417,30.938741529356577,,,68
bic,1009.3851584445423,255.45142595509859,30.978035630221182,,,68
