parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.03384782738063854,0.11814046389868042,0.01074004217260731,0.012583291331225654,0.05511236343005142,121
alpha_neg,0.03606574055026786,0.1689459558835658,0.015358723262142347,0.005656537380305263,0.06647494372023045,121
phi,0.24739470321411836,0.19674473394766037,0.017885884904332763,0.2119818958702249,0.28280751055801184,121
rho,0.8414145478553501,0.2176873763057286,0.019789761482338963,0.8022321973871378,0.8805968983235624,121
capacity,3.418374977821161,1.3840850179419957,0.1258259107219996,3.169248431435485,3.6675015242068367,121
kappa_s,0.11294454243663508,0.07881811137464578,0.007165282852240526,0.09875778105646824,0.12713130381680193,121
epsilon,0.07230050931588462,0.11314483376132788,0.010285893978302534,0.051935155084789054,0.0926658635469802,121
nll,468.223243272009,127.17781423931274,11.561619476301159,,,121
aic,950.446486544018,254.35562847862548,23.123238952602318,,,121
bic,982.5515968194295,254.48478947006438,23.134980860914943,,,121
