participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_s_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_s_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_s_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10000,0.007424017880111933,0.0010000000474974513,0.290726900100708,0.9393476843833923,2.7740530967712402,0.11877342313528061,0.09998686611652374,748.4442138671875,1510.888427734375,1545.1582066186102,1511.0027134486606,0.3104622647734818,8.584158422308974e-06,1315813376.0,True,0.0024018770235711253,2.1228297044817367e-07,0.04133486168486648,0.10902010199304352,0.33621127813894014,0.02942828146624099,0.06535061545693853,0.002716425418618265,0.0009995839805208417,0.20971205989242508,0.7256722108861436,2.1150911004227386,0.06109505133454069,-0.028097986546602338,0.0121316103416056,0.001000416114474061,0.37174174030899093,1.153023157880641,3.433015093119742,0.17645179493602053,0.22807171877964982,988,True,50,9,"['alpha_pos', 'alpha_neg']",[]
9187,0.012096084654331207,0.0010000000474974513,0.12913095951080322,0.5321957468986511,1.0229475498199463,0.10354578495025635,0.08189767599105835,858.7589111328125,1731.517822265625,1765.8017568675255,1731.6318752187817,0.21042823522380183,9.022214726428501e-06,inf,True,0.003388277017009142,1.3164932118313243e-07,0.10872969059381708,,,0.028203377101365803,0.1232144112252168,0.0054551837313484815,0.0009997420195693432,-0.08397531810326175,,,0.04826818158917771,-0.15959813238667434,0.018736985577313934,0.0010002580754255594,0.3422372371248682,,,0.158823388311335,0.323393484368791,990,True,50,4,['alpha_neg'],"[('alpha_pos', 'rho', -10155.0966796875), ('alpha_pos', 'capacity', -29246.3203125), ('alpha_pos', 'epsilon', 0.9168664216995239), ('alpha_neg', 'capacity', -2.6716678142547607), ('phi', 'rho', 8348.29296875), ('phi', 'capacity', -49173.7890625), ('rho', 'capacity', 1.2856825686786048e+16), ('rho', 'kappa_s', 6391.7197265625), ('rho', 'epsilon', 13197.7451171875), ('capacity', 'kappa_s', 3850.1279296875), ('capacity', 'epsilon', -97124.59375)]"
10002,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,986,False,46,0,[],
10003,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,973,False,49,0,[],
10004,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,990,False,48,0,[],
10005,0.004462890326976776,0.0010000000474974513,0.15718737244606018,0.9512282013893127,3.81545352935791,0.17375124990940094,0.0010000000474974513,486.91326904296875,987.8265380859375,1022.0750295741421,987.9411747287215,0.5500430888852619,9.213589692080859e-06,429774012416.0,True,0.0019258062014777626,5.246726638867709e-07,0.0386774158225863,0.021262023569230404,0.34671158359446436,0.037663548985863604,4.1154259432018905e-06,0.0006883795308764745,0.0009989717079725605,0.0813810304187114,0.9095554009551794,3.135911312489912,0.0999320503671482,0.0009919339608677339,0.008237401123077078,0.001001028387022342,0.23299371447340894,0.9929010018234461,4.494995746225909,0.24757044945165368,0.0010080661341271687,985,True,50,8,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10006,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,987,False,49,0,[],
10007,0.009646830148994923,0.0010000000474974513,0.4852645993232727,0.36247533559799194,2.466400623321533,0.24443519115447998,0.0010000000474974513,876.6292114257812,1767.2584228515625,1801.521113127597,1767.3728253030436,0.19154782629513945,8.677019650349393e-06,225812856832.0,True,0.0011913670917216355,1.0927675765890223e-07,0.06314024905222075,0.13236725051281648,1.2855517655434325,0.02771312840328593,2.6224892086238793e-06,0.00731179355685429,0.0009997858689880926,0.3615119852060308,0.10304029186028063,-0.053234537405474125,0.19011845758510554,0.0009948600630987035,0.011981866741135556,0.00100021422600681,0.6090172134405146,0.6219103793357033,4.986035784048541,0.2987519247238544,0.001005140031896199,987,True,50,3,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10016,0.0021941042505204678,0.0010000000474974513,0.184806227684021,0.9066668748855591,4.6414570808410645,0.09072398394346237,0.0010000000474974513,500.1456604003906,1014.2913208007812,1048.5540110768156,1014.4057232522623,0.5387515713033229,4.055380941281328e-06,203691098112.0,True,0.00248943924557988,3.551370285188401e-07,0.01757675012351105,0.029399863133602166,0.2524104081339494,0.03340476165686335,2.206166255583812e-06,-0.0026851070125166604,0.0009993039917119777,0.1503564304766794,0.8490442019932919,4.146741771575468,0.025251854183865663,0.0009956760410925994,0.007073315513557596,0.0010006961032829249,0.2192560248913626,0.9642895477778263,5.136172390106661,0.15619611370305908,0.0010043240539023032,987,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10017,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,986,False,49,0,[],
10018,0.00737041188403964,0.0010000000474974513,0.21848179399967194,0.9056439399719238,2.57909893989563,0.0861566960811615,0.0010000000474974513,640.3681640625,1294.736328125,1328.9919226072184,1294.850847552403,0.40883547422647293,0.00021648325491696596,807840251904.0,True,0.0012406149042788685,2.7844654901059637e-07,0.0242794988216099,0.044614758057484036,0.2472436715131487,0.031519057630495735,4.671391031938118e-06,0.004938851352969452,0.000999454302289771,0.17089485074663385,0.8182006210002869,2.094510248324407,0.024380478298747482,0.0009908442893171493,0.00980197241510983,0.0010005457927051316,0.26606873725271,0.9930872589435608,3.063687631466853,0.14793291386357552,0.0010091558056777533,986,False,50,13,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10024,0.009094416163861752,0.0010000000474974513,0.20208121836185455,0.9990000128746033,3.29002046585083,0.1466071903705597,0.024802936241030693,365.973876953125,745.94775390625,777.9830408895875,746.1055003851233,0.5360393053991117,,,False,,,,,,,,,,,,,,,,,,,,,,718,True,50,7,"['alpha_pos', 'alpha_neg', 'rho']",
10025,0.0835663303732872,0.0010000000474974513,0.6258643865585327,0.24392150342464447,5.0,0.19476142525672913,0.06971147656440735,243.8755645751953,501.7511291503906,529.9321909671678,502.02699121935615,0.463804093497321,0.2581830322742462,inf,True,0.0351189094718541,2.1919943890943712e-07,0.05414332679405426,,,0.05428131482292676,0.03363180213677208,0.014734532632130592,0.0009995704244917575,0.5197454160390038,,,0.08837200317031249,0.003794355641156835,0.1523981281144438,0.0010004296705031451,0.7319833570780616,,,0.3011508473431458,0.13562859748765788,414,False,50,18,['alpha_neg'],"[('alpha_pos', 'rho', 9191.1865234375), ('alpha_pos', 'capacity', 11663.7998046875), ('alpha_neg', 'rho', 1.6670912504196167), ('alpha_neg', 'capacity', -3.8177602291107178), ('phi', 'rho', 29628.658203125), ('phi', 'capacity', -195033.390625), ('rho', 'capacity', 16736900096.0), ('rho', 'kappa_s', 6072.2763671875), ('rho', 'epsilon', -16764.900390625), ('capacity', 'kappa_s', -6789.91796875), ('capacity', 'epsilon', 15588.7763671875)]"
10027,0.034165266901254654,0.0010000000474974513,0.17304085195064545,0.921688973903656,2.999999761581421,0.06904013454914093,0.049988288432359695,313.3578186035156,640.7156372070312,672.7509241903688,640.8733836859045,0.6027429269315643,0.002282824832946062,4622287360.0,True,0.012388945506204363,5.672266231131115e-07,0.02985413774763134,0.13093187300270234,0.6253620808107342,0.041999688294176905,0.01820566983546782,0.009883379902664753,0.0009988883037450773,0.11452781717579029,0.6650672183899872,1.774312605895355,-0.013277741869354306,0.014305831240415519,0.058447153899844555,0.0010011117912498253,0.2315538867255006,1.178310729417325,4.2256869172674865,0.15135801096763618,0.08567074562430388,718,False,50,8,['alpha_neg'],[]
10028,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,699,False,49,0,[],
10029,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,720,False,49,0,[],
10030,0.022010626271367073,0.001000002957880497,0.0010000000474974513,0.9534902572631836,3.316749334335327,0.057194165885448456,0.040881525725126266,283.05108642578125,580.1021728515625,612.1179340202871,580.260364941958,0.6401617290445681,7.5763741733680945e-06,1564890930085888.0,True,0.007968335349268062,3.6361155516012394e-05,0.0003206396669454175,0.06572776937516885,0.6417559125946273,0.0418661092709396,0.018780180782648963,0.0063929759700642776,0.0009287364026328527,0.00037155784826951497,0.8246661965036979,2.0589308587842226,-0.02486190045841162,0.004073047767983055,0.03762827657266987,0.0010712695131281412,0.0016284422467253876,1.0823143180226693,4.574567809886432,0.13925023222930855,0.07769000368226947,716,True,50,14,"['alpha_neg', 'phi']",[]
10031,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,719,False,49,0,[],
10035,0.008823751471936703,0.0010000000474974513,0.1892745941877365,0.9990000128746033,2.9108049869537354,0.1513543725013733,0.0010000000474974513,362.5809631347656,739.1619262695312,771.1874571537286,739.3198952399121,0.5396995600092009,,,False,,,,,,,,,,,,,,,,,,,,,,717,True,50,8,"['alpha_pos', 'alpha_neg', 'rho', 'epsilon']",
10036,0.012395443394780159,0.0010000000474974513,0.4082825481891632,0.8543238043785095,2.4919114112854004,0.11959195137023926,0.0010000000474974513,512.30810546875,1038.6162109375,1070.6025808804002,1038.775076185727,0.34597063994875854,4.5171498641138896e-05,88111218688.0,True,0.0019585398854736575,1.8270421096749237e-07,0.02719796095566589,0.08486915213423334,0.4296921242243336,0.03651457719002339,1.3988952134720364e-06,0.008556775756966587,0.0009996419538241311,0.3549755242631315,0.6879833227969615,1.6497303233651956,0.04802469516708564,0.0009972582632609007,0.01623411103259373,0.0010003581411707715,0.4615895721151949,1.0206642859600574,3.334092499205605,0.1911592075733929,0.001002741831734002,713,True,50,8,"['alpha_neg', 'epsilon']",[]
10039,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,711,False,49,0,[],
10041,0.009750894270837307,0.0010000000474974513,0.5246305465698242,0.962143063545227,1.5768729448318481,0.10110223293304443,0.06108452007174492,650.9533081054688,1315.9066162109375,1347.7240638332785,1316.0694069086119,0.14867351186766775,5.6087014854711015e-06,328532544.0,True,0.0029637751454561277,1.3431336463167846e-07,0.04910814043414946,64.2765451108522,105.34459087190952,0.030194733922554756,0.11090043068686954,0.003942001727468337,0.0009997367981401308,0.4283803599711561,-125.01757040438918,-204.89473113021774,0.04192164192206728,-0.1562763299445,0.015559786814206278,0.0010002632968547718,0.6208807331684923,126.94185653147963,208.04847701988143,0.1602828239440216,0.27844537008798986,696,True,50,1,"['alpha_pos', 'alpha_neg']","[('rho', 'capacity', -0.9999951124191284)]"
10043,0.00971352867782116,0.0010000000474974513,0.36748191714286804,0.9505659937858582,2.2197763919830322,0.15453961491584778,0.0010000000474974513,514.6021728515625,1043.204345703125,1075.2201068718496,1043.3625377935205,0.34579457564679283,6.9071534198883455e-06,163416981504.0,True,0.0017029278271966407,3.153813602980513e-07,0.03717736001314722,0.05031955927313443,0.2931941929354095,0.03476926066974859,2.2374453681593246e-06,0.006375851468244695,0.000999381911389872,0.29461563047681993,0.8519414698925861,1.6451263333533417,0.08639311623405553,0.000995614735158483,0.013051205887397624,0.0010006181836050307,0.44034820380891615,1.04919051767913,2.7944264506127228,0.22268611359764,0.0010043853598364196,716,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10047,0.010718054138123989,0.0010000000474974513,0.2710578739643097,0.9990000128746033,2.383277416229248,0.1245894804596901,0.029860639944672585,458.41778564453125,930.8355712890625,962.8611021732598,930.9935402594433,0.418033681064065,,,False,,,,,,,,,,,,,,,,,,,,,,717,True,50,8,"['alpha_pos', 'alpha_neg', 'rho']",
10048,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,702,False,48,0,[],
10050,0.0137886181473732,0.0010000000474974513,0.18904882669448853,0.9922337532043457,1.484552264213562,0.1397811323404312,0.0010000010952353477,440.2135009765625,894.427001953125,926.4525328373223,894.5849709235058,0.4411442166253853,7.746687515464146e-06,inf,True,0.001532106526218585,1.4720951405375577e-07,0.04537335607902077,,,0.0403032899484526,1.1977941897654673e-05,0.010785744535506,0.0009997115221517243,0.10011868292189628,,,0.06078813558298894,0.0009765247605070313,0.0167914917592404,0.0010002885728431783,0.27797897046708075,,,0.21877412909787347,0.0010234774299636643,717,True,50,3,"['alpha_neg', 'rho', 'epsilon']","[('alpha_pos', 'rho', 27367.96875), ('alpha_pos', 'capacity', -20531.220703125), ('phi', 'rho', 844.4439086914062), ('phi', 'capacity', 2057.426513671875), ('rho', 'capacity', 5053252898914304.0), ('rho', 'kappa_s', -2726.1689453125), ('rho', 'epsilon', -1.6155191659927368), ('capacity', 'kappa_s', 887.0140991210938), ('capacity', 'epsilon', 4.262418270111084)]"
10051,0.008907497860491276,0.0010000000474974513,0.21124286949634552,0.8333455920219421,4.522870063781738,0.10608632117509842,0.01586652733385563,363.72637939453125,741.4527587890625,773.3997474747874,741.6125305436988,0.5330352351426548,8.908019481168594e-06,1788862080.0,True,0.007513479971278213,2.370165956321061e-07,0.022076987436400214,0.12120287467461847,1.0004857249609065,0.03939908836158488,0.09570774906100259,-0.005818652281777062,0.0009995355035062742,0.16797276923385784,0.5957923228369681,2.5619540758119155,0.028865526962680854,-0.17171721386710662,0.023633648002759612,0.0010004645914886284,0.2545129697588332,1.0708988612069161,6.4837860517515615,0.18330711538751598,0.20345026853481787,709,True,50,4,"['alpha_pos', 'alpha_neg']","[('alpha_pos', 'epsilon', 0.9384918212890625)]"
10052,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,709,False,48,0,[],
10055,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,719,False,47,0,[],
10057,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,712,False,49,0,[],
10058,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,697,False,48,0,[],
10059,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,718,False,44,0,[],
10062,0.0010000000474974513,0.9381453990936279,0.0010000000474974513,0.9896102547645569,4.642475605010986,0.099163718521595,0.02384021319448948,239.59812927246094,493.1962585449219,525.2315455282594,493.35400502379514,0.6962512313506938,8.878282642399427e-06,2272353379680256.0,True,1.9691023944215723e-07,3032.1056246699736,0.0003528088119960788,0.024569910780791612,0.24758411004460548,0.035894105942721535,0.011787589363114194,0.0009996141105199576,-5941.879676275377,0.0003085074825567739,0.9414541145308429,4.1572196661791585,0.028812563616595663,0.0007369625782382254,0.001000385984474945,5943.7559670735645,0.0016914926124381286,1.037766394998271,5.127731543842814,0.16951487342659433,0.04694346381074073,718,True,50,11,"['alpha_pos', 'phi', 'rho']",[]
10063,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,713,False,49,0,[],
10064,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,712,False,49,0,[],
10065,0.0016451479168608785,0.014785382896661758,0.12306850403547287,0.9420034289360046,4.459055423736572,0.08039562404155731,0.0010000000474974513,321.3905944824219,656.7811889648438,688.826218468891,656.9387135780646,0.5931261110336312,5.088485067972215e-06,127910060032.0,True,0.0031050063216764706,0.010276224726213075,0.033465172621319615,0.026043425025414235,0.2769353699359413,0.037256525067570136,1.9707653618272105e-06,-0.004440552645394193,-0.005355647463755844,0.05747797096127055,0.8909592538521236,3.916272072616851,0.007374176720006148,0.0009961374183662909,0.00773084847911595,0.03492641325707936,0.1886590371096752,0.9930476040198857,5.001838774856294,0.15341707136310848,0.0010038626766286118,719,True,50,3,"['alpha_pos', 'epsilon']",[]
10066,0.007443052716553211,0.0010000000474974513,0.0010000010952353477,0.9351013898849487,3.7157764434814453,0.09109402447938919,0.0010000000474974513,334.9686584472656,683.9373168945312,715.8546235569839,684.0977753472533,0.5681280274656256,8.632546268927399e-06,inf,True,0.0018636137464324075,2.1580970259011512e-07,,0.03033592235029029,0.3448094832126765,0.042756779848266674,1.8276768778592973e-06,0.0037904368924519317,0.0009995770682528604,,0.8756440746405761,3.039962274856731,0.007292275881878557,0.0009964178666414705,0.011095668540654491,0.0010004230267420422,,0.9945587051293213,4.391590612106159,0.17489577307689982,0.0010035822283534321,706,True,50,5,"['alpha_pos', 'alpha_neg', 'phi', 'epsilon']","[('alpha_pos', 'phi', 22019.4453125), ('phi', 'rho', -48943.4609375), ('phi', 'capacity', -7477.421875), ('phi', 'kappa_s', 4112.767578125)]"
10067,0.005418520886451006,0.0010000000474974513,0.4127334952354431,0.8707292079925537,2.5611438751220703,0.09033342450857162,0.0010000000474974513,608.132568359375,1230.26513671875,1262.2808978874746,1230.4233288091455,0.22689089565638298,0.0009589194669388235,91218329600.0,True,0.0017187335519143073,1.495362397873723e-07,0.04670115274123004,0.07045390247907787,0.38014947373182867,0.030782194838312307,2.0200667885736553e-06,0.0020498650256783606,0.0009997069618530845,0.32120091782612825,0.7326420965632638,1.8160645978658307,0.03000143126038475,0.0009960407893454815,0.008787176747223652,0.001000293133141818,0.504266072644758,1.0088163194218436,3.30622315237831,0.1506654177567585,0.0010039593056494212,716,False,50,5,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10071,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,720,False,46,0,[],
10072,0.004539513029158115,0.009716593660414219,0.19464103877544403,0.8192664980888367,4.676607131958008,0.04896494001150131,0.0010000000474974513,388.3028564453125,790.605712890625,822.6409998739625,790.7634593694983,0.5077319056437701,7.431416634062771e-06,67317981184.0,True,0.0020678859989784167,0.010207106328256041,0.023083183576325158,0.05561143490834092,0.41695268463073853,0.03604429936423769,1.526388391707392e-06,0.0004865309470257874,-0.01028896712933849,0.14939883031732024,0.7102700885398949,3.859394886824473,-0.021680588590384534,0.000997008381223285,0.008592495111290444,0.02972215445016693,0.23988324723356783,0.9282629076377784,5.493819377091542,0.11961046861338716,0.0010029917137716177,718,True,50,4,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
