participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,988,17,116.4263004575457,False,2297.06640625,2393.80078125,748.4442138671875,True
9187,990,17,116.4263004575457,False,2297.06640625,2393.80078125,858.7589111328125,True
10002,986,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10003,973,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10004,990,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10005,985,17,116.4263004575457,False,2297.06640625,2393.80078125,486.91326904296875,True
10006,987,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10007,987,17,116.4263004575457,False,2297.06640625,2393.80078125,876.6292114257812,True
10016,987,17,116.4263004575457,False,2297.06640625,2393.80078125,500.1456604003906,True
10017,986,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10018,986,17,116.4263004575457,False,2297.06640625,2393.80078125,640.3681640625,False
10024,718,17,116.4263004575457,False,2297.06640625,2393.80078125,365.973876953125,True
10025,414,17,116.4263004575457,False,2297.06640625,2393.80078125,243.8755645751953,False
10027,718,17,116.4263004575457,False,2297.06640625,2393.80078125,313.3578186035156,False
10028,699,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10029,720,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10030,716,17,116.4263004575457,False,2297.06640625,2393.80078125,283.05108642578125,True
10031,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10035,717,17,116.4263004575457,False,2297.06640625,2393.80078125,362.5809631347656,True
10036,713,17,116.4263004575457,False,2297.06640625,2393.80078125,512.30810546875,True
10039,711,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10041,696,17,116.4263004575457,False,2297.06640625,2393.80078125,650.9533081054688,True
10043,716,17,116.4263004575457,False,2297.06640625,2393.80078125,514.6021728515625,True
10047,717,17,116.4263004575457,False,2297.06640625,2393.80078125,458.41778564453125,True
10048,702,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10050,717,17,116.4263004575457,False,2297.06640625,2393.80078125,440.2135009765625,True
10051,709,17,116.4263004575457,False,2297.06640625,2393.80078125,363.72637939453125,True
10052,709,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10055,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10057,712,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10058,697,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10059,718,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10062,718,17,116.4263004575457,False,2297.06640625,2393.80078125,239.59812927246094,True
10063,713,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10064,712,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10065,719,17,116.4263004575457,False,2297.06640625,2393.80078125,321.3905944824219,True
10066,706,17,116.4263004575457,False,2297.06640625,2393.80078125,334.9686584472656,True
10067,716,17,116.4263004575457,False,2297.06640625,2393.80078125,608.132568359375,False
10071,720,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10072,718,17,116.4263004575457,False,2297.06640625,2393.80078125,388.3028564453125,True
10074,717,17,116.4263004575457,False,2297.06640625,2393.80078125,431.62530517578125,True
10075,717,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10076,710,17,116.4263004575457,False,2297.06640625,2393.80078125,501.3165588378906,True
10077,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10078,719,17,116.4263004575457,False,2297.06640625,2393.80078125,432.00799560546875,False
10079,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10081,716,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10083,703,17,116.4263004575457,False,2297.06640625,2393.80078125,439.66705322265625,False
10084,717,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10086,630,17,116.4263004575457,False,2297.06640625,2393.80078125,332.4007568359375,True
10087,714,17,116.4263004575457,False,2297.06640625,2393.80078125,366.4162292480469,True
10088,720,17,116.4263004575457,False,2297.06640625,2393.80078125,310.7647399902344,True
10089,716,17,116.4263004575457,False,2297.06640625,2393.80078125,350.4671325683594,False
10090,719,17,116.4263004575457,False,2297.06640625,2393.80078125,756.2902221679688,True
10092,714,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10093,712,17,116.4263004575457,False,2297.06640625,2393.80078125,520.2657470703125,True
10094,709,17,116.4263004575457,False,2297.06640625,2393.80078125,567.3524169921875,True
10095,712,17,116.4263004575457,False,2297.06640625,2393.80078125,456.1479187011719,False
10097,717,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10098,712,17,116.4263004575457,False,2297.06640625,2393.80078125,372.0427551269531,True
10099,714,17,116.4263004575457,False,2297.06640625,2393.80078125,427.26104736328125,True
10101,715,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10102,716,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10103,719,17,116.4263004575457,False,2297.06640625,2393.80078125,325.43115234375,False
10104,715,17,116.4263004575457,False,2297.06640625,2393.80078125,556.295166015625,True
10106,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10107,714,17,116.4263004575457,False,2297.06640625,2393.80078125,393.8879699707031,True
10109,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10110,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10111,713,17,116.4263004575457,False,2297.06640625,2393.80078125,579.6990356445312,False
10112,707,17,116.4263004575457,False,2297.06640625,2393.80078125,469.3271179199219,True
10113,696,17,116.4263004575457,False,2297.06640625,2393.80078125,746.34423828125,True
10114,709,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10115,711,17,116.4263004575457,False,2297.06640625,2393.80078125,415.7623596191406,True
10116,718,17,116.4263004575457,False,2297.06640625,2393.80078125,415.686767578125,True
10117,715,17,116.4263004575457,False,2297.06640625,2393.80078125,298.70025634765625,True
10119,719,17,116.4263004575457,False,2297.06640625,2393.80078125,620.954345703125,True
10120,715,17,116.4263004575457,False,2297.06640625,2393.80078125,409.6377258300781,True
10121,711,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10125,717,17,116.4263004575457,False,2297.06640625,2393.80078125,431.91278076171875,False
10126,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10128,705,17,116.4263004575457,False,2297.06640625,2393.80078125,503.15716552734375,True
10130,713,17,116.4263004575457,False,2297.06640625,2393.80078125,583.7646484375,True
10134,701,17,116.4263004575457,False,2297.06640625,2393.80078125,742.955078125,True
10135,704,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10137,718,17,116.4263004575457,False,2297.06640625,2393.80078125,280.0086364746094,True
10139,705,17,116.4263004575457,False,2297.06640625,2393.80078125,616.6002807617188,True
10140,715,17,116.4263004575457,False,2297.06640625,2393.80078125,446.2939453125,True
10141,716,17,116.4263004575457,False,2297.06640625,2393.80078125,432.5637512207031,True
10142,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10143,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10145,713,17,116.4263004575457,False,2297.06640625,2393.80078125,363.8374938964844,True
10147,716,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10148,705,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10149,713,17,116.4263004575457,False,2297.06640625,2393.80078125,548.4307250976562,True
10150,715,17,116.4263004575457,False,2297.06640625,2393.80078125,367.0406494140625,True
10151,717,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10152,719,17,116.4263004575457,False,2297.06640625,2393.80078125,447.64764404296875,False
10154,717,17,116.4263004575457,False,2297.06640625,2393.80078125,413.87664794921875,True
10155,713,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10156,712,17,116.4263004575457,False,2297.06640625,2393.80078125,333.0669250488281,True
10157,719,17,116.4263004575457,False,2297.06640625,2393.80078125,382.5458068847656,True
10158,716,17,116.4263004575457,False,2297.06640625,2393.80078125,259.18646240234375,False
10159,716,17,116.4263004575457,False,2297.06640625,2393.80078125,360.8511657714844,True
10160,717,17,116.4263004575457,False,2297.06640625,2393.80078125,502.00860595703125,True
10162,714,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10163,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10164,719,17,116.4263004575457,False,2297.06640625,2393.80078125,621.4830932617188,False
10165,713,17,116.4263004575457,False,2297.06640625,2393.80078125,617.594482421875,True
10166,714,17,116.4263004575457,False,2297.06640625,2393.80078125,445.9431457519531,True
10168,718,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10169,713,17,116.4263004575457,False,2297.06640625,2393.80078125,413.15948486328125,True
10170,718,17,116.4263004575457,False,2297.06640625,2393.80078125,379.50439453125,True
10171,718,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10172,719,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10173,677,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10174,714,17,116.4263004575457,False,2297.06640625,2393.80078125,457.6086120605469,True
10175,717,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10176,577,17,116.4263004575457,False,2297.06640625,2393.80078125,601.0090942382812,True
10177,715,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10178,718,17,116.4263004575457,False,2297.06640625,2393.80078125,366.76190185546875,True
10179,716,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10180,708,17,116.4263004575457,False,2297.06640625,2393.80078125,563.8197631835938,True
10181,719,17,116.4263004575457,False,2297.06640625,2393.80078125,491.257568359375,True
10182,696,17,116.4263004575457,False,2297.06640625,2393.80078125,491.1842956542969,True
10183,719,17,116.4263004575457,False,2297.06640625,2393.80078125,553.3978271484375,True
10184,713,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10185,710,17,116.4263004575457,False,2297.06640625,2393.80078125,611.6742553710938,True
10186,718,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10190,600,17,116.4263004575457,False,2297.06640625,2393.80078125,559.958251953125,True
10191,708,17,116.4263004575457,False,2297.06640625,2393.80078125,384.0707702636719,True
10192,709,17,116.4263004575457,False,2297.06640625,2393.80078125,650.8638305664062,True
10195,684,17,116.4263004575457,False,2297.06640625,2393.80078125,620.0418701171875,False
10196,718,17,116.4263004575457,False,2297.06640625,2393.80078125,454.1164855957031,False
10197,716,17,116.4263004575457,False,2297.06640625,2393.80078125,,False
10198,479,17,116.4263004575457,False,2297.06640625,2393.80078125,313.55908203125,False
