participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,748.5962,800.6249,774.7234,774.0952,748.44434,773.64764,774.176,748.5963,748.4442,765.7733,765.77325,761.1931,771.5268,774.1761,759.39355,765.7733,774.72327,748.4442,787.51825,774.0952,773.6475,1085.421,774.0952,748.44434,772.6787,765.77325,774.1761,774.7233,759.8382,787.51825,765.77325,765.77325,776.4558,774.1761,748.4442,773.6475,823.7207,774.72327,774.1761,748.4442,757.8214,751.1194,787.51825,765.7733,773.6477,748.44434,772.0852,772.0852,776.4559,765.7733
9187,859.3524,919.95795,892.85803,883.6922,859.7878,859.78467,866.24036,866.2403,859.3525,861.1828,859.7878,857.5897,1086.845,893.213,882.48584,859.7878,891.3947,860.7231,897.67303,865.891,879.7853,1087.6239,882.60376,857.5897,,860.7428,866.2404,892.2769,866.71576,893.213,892.86084,859.7878,892.8609,866.71576,859.7878,919.9578,1086.8478,891.39465,866.71576,859.7878,868.3547,859.3525,893.213,860.7428,879.78534,859.35254,860.7231,892.513,892.86084,866.2404
10002,554.66315,,561.29,561.2899,558.87964,553.8338,587.86304,546.80524,546.80524,558.2453,558.03485,546.8052,555.0268,585.5871,554.6632,557.24133,561.2899,558.03485,587.86304,578.36597,557.2558,546.80524,554.6632,599.0249,546.80524,554.01654,589.10706,561.29,575.533,580.04517,558.035,557.25586,561.2899,546.8052,554.6632,561.9654,583.607,561.2899,557.24133,546.80524,561.37775,557.3538,557.24133,557.2414,557.2558,546.80524,571.2618,562.0166,561.2899,558.0349
10003,655.2574,655.32056,655.2574,655.32056,655.2574,655.3205,674.3351,628.29987,619.99524,655.2574,655.32043,619.9953,655.3205,655.25745,1067.835,655.25745,655.32056,655.25726,655.32056,655.3205,655.32056,1068.9452,656.38104,630.0333,,655.2574,655.3206,655.2574,,674.3351,655.2573,655.2573,693.3505,655.2573,656.9169,655.3205,655.3205,655.2573,657.01306,655.2574,682.94135,655.2573,674.3351,655.2573,655.32043,631.4293,655.2573,655.2573,655.32043,655.2573
10004,410.81406,433.69672,417.5067,416.25403,422.8192,419.44733,414.97446,436.3884,413.55765,417.97598,417.97595,414.97446,413.55762,425.7261,415.082,422.81912,417.5067,416.25406,436.4277,434.02313,413.55765,416.25406,561.3945,427.44476,410.81403,419.81012,429.164,418.985,434.02313,431.9637,426.94363,446.48508,413.55762,410.92953,416.25406,417.5067,416.25403,416.25403,410.81403,410.81403,425.7261,422.44452,426.99637,416.25406,420.60156,410.92953,416.25403,417.5067,417.50668,431.01483
10005,485.31647,545.14325,506.1136,514.1695,513.76294,512.51196,513.2558,486.60464,485.31644,513.7629,543.6461,485.31647,485.31647,10057.943,487.09293,514.5024,512.51196,486.60468,532.0289,514.4532,521.44727,486.51276,513.2558,503.69623,485.55353,518.3148,551.0833,512.51196,537.98425,515.8325,512.5119,515.12695,514.16943,485.31647,486.51276,514.1695,531.8375,486.60464,522.1142,512.51196,485.55362,486.5128,514.16956,513.7629,514.1695,485.31644,540.0827,506.1136,514.1695,485.5536
10006,443.27243,459.93866,443.14148,459.93866,458.27747,459.606,472.88684,490.9062,443.1415,458.27753,458.27747,443.27246,459.93866,453.24857,456.7801,477.46768,459.93866,443.27243,514.4566,477.46768,459.93866,459.93866,443.11255,479.55472,443.27243,459.93866,452.35358,459.8994,492.02625,514.8631,465.7635,492.02625,459.9387,459.93872,459.8994,459.93866,459.93863,458.27753,493.2651,456.27823,463.30234,443.2725,479.348,459.8994,479.5312,443.27243,443.11255,443.27243,459.9387,453.24854
10007,813.4925,976.58936,825.66455,827.12744,813.47546,827.7481,6650.121,813.4925,813.5059,862.12115,827.7481,813.4924,938.61316,813.5023,832.1055,1083.7292,825.6647,811.7891,826.7321,862.12274,826.73206,1084.3276,833.9267,810.46344,813.47546,813.50226,923.04846,826.6681,810.4635,827.74805,826.2229,826.2229,827.12744,813.5059,813.5022,827.12744,827.12744,825.6645,811.7892,813.4866,813.4924,811.8092,961.01416,813.5022,827.74805,810.4635,811.7892,825.6647,827.12744,810.46356
10016,492.53387,510.387,510.35983,510.37244,540.2745,508.74963,528.1188,531.35876,492.53387,508.74948,510.387,507.34677,510.79852,528.11884,529.8396,520.89496,524.0268,508.74957,546.9277,518.875,508.44373,508.44373,524.11395,525.92224,507.34683,520.7129,508.44373,510.35983,508.74963,540.0005,510.387,520.8761,510.387,508.40234,510.36368,510.387,510.37253,508.74957,520.9834,508.7495,508.74948,492.8038,540.0951,508.74957,524.013,508.40234,508.74963,510.387,,520.87616
10017,478.49503,488.31595,478.39972,487.33197,488.3333,478.39972,486.5806,471.2559,476.60352,478.9251,478.83743,478.61258,478.48987,486.58063,482.99622,488.36862,479.94592,478.39972,476.60355,488.3686,478.83737,478.48987,479.35672,488.33325,478.9251,478.92514,478.92508,478.39975,488.3686,487.332,478.48987,488.36862,478.39978,478.3997,478.39972,478.92514,478.39972,487.75696,477.46985,478.9251,481.61285,478.48987,496.14578,478.39972,496.05435,476.66333,479.99316,478.92343,478.39972,478.39972
10018,633.66437,692.5901,670.01117,670.15045,659.40607,653.78705,662.86426,633.66437,633.66437,662.8643,653.787,640.6718,633.66437,633.66437,633.66437,653.787,670.14514,653.787,653.78705,640.3682,633.66437,1082.0574,633.66437,674.1797,633.6644,653.787,644.6917,670.1504,662.8643,714.31256,670.14514,670.0112,670.15045,633.66437,633.66437,692.5903,658.74634,670.1504,662.86444,643.95416,644.94116,633.66437,3604.7178,653.787,653.787,633.66437,643.954,665.54376,670.2252,662.52515
10024,349.2285,366.55536,366.5554,369.32803,365.72525,365.51117,374.08688,405.78894,348.8469,365.51117,368.4997,352.86252,368.49976,374.08688,369.6252,365.51117,366.5554,348.8469,368.49973,365.5112,368.49973,365.97394,500.23602,365.9739,348.847,370.34363,354.33176,366.55536,374.08688,369.6345,366.55536,368.61108,369.32806,362.24863,365.51117,369.32806,369.32806,366.55536,369.6252,348.84692,350.49847,348.84692,408.55847,365.51117,369.63492,350.49847,348.84695,365.72525,369.32803,348.84695
10025,243.73503,285.34103,,242.95581,244.96867,257.4589,242.95584,245.15622,243.73505,243.39804,243.39806,243.73505,249.096,242.95584,257.8905,253.05295,252.44943,243.73502,249.096,244.68831,244.68831,252.4494,244.68831,245.28423,243.73506,243.39806,253.13516,253.19731,253.13518,253.92001,257.3328,252.44943,257.33286,243.04613,252.44943,254.85657,244.68832,257.33453,242.95587,242.95584,304.304,243.04613,253.68465,242.95581,242.95583,243.73506,254.7093,256.48788,257.33282,242.98732
10027,313.3578,355.37796,329.8966,331.6884,340.35538,330.93698,315.35052,331.29642,313.3578,330.93695,331.7843,313.58975,326.42026,355.17886,328.19247,330.93698,329.89658,329.89658,349.8242,367.375,328.603,326.18356,447.4424,360.48013,313.58975,319.86313,367.40695,330.93695,327.57666,326.18356,329.8966,336.2436,331.68832,313.58975,329.8966,331.7843,355.378,329.8966,315.11258,329.8966,355.17886,,331.04172,329.17154,328.60303,313.35782,352.94946,329.8966,331.68832,
10028,685.61584,710.26935,702.6115,767.6296,706.53845,701.73627,688.3543,688.3543,767.60645,767.90784,767.9284,701.8945,767.62897,702.758,685.61584,686.503,750.0695,686.503,706.8651,688.3543,698.4015,767.92847,702.2503,767.62897,767.62897,686.503,701.8491,709.715,687.5186,767.9197,704.60046,767.9225,703.54205,767.62915,749.8752,767.6291,767.9284,767.9284,703.36035,749.16583,732.6168,767.6291,701.8491,767.6297,698.4388,685.6158,702.6116,702.61163,710.26935,715.67786
10029,317.0256,344.8756,327.71024,329.2077,323.78427,323.92365,319.4084,318.13962,317.9364,325.89816,323.92365,317.0256,328.65424,320.532,324.1898,335.0187,329.37833,323.57614,338.80658,348.24762,322.15173,320.532,317.93643,320.532,319.7508,321.89343,326.0643,328.01837,319.4084,325.5551,328.0184,330.0465,329.88052,317.02567,328.51486,329.88055,326.5444,327.7102,320.97778,323.57614,323.57608,317.9364,339.3383,323.9236,322.15173,319.50735,331.67334,327.7102,329.88055,337.86584
10030,276.97644,315.61417,289.5145,293.5306,289.8631,287.27463,284.28006,304.88983,276.97644,291.436,289.02216,276.97644,277.19913,284.28006,301.20804,286.9228,287.98004,277.19916,315.0927,292.58545,293.97983,276.9764,351.8306,304.88983,277.0135,282.6129,276.97644,290.36072,297.93686,303.6922,277.19913,308.26364,291.51373,277.19913,276.9764,294.6324,290.15656,276.97644,284.28006,276.9764,297.93686,304.88983,303.97632,286.92282,293.88602,276.97644,279.2187,289.87238,294.6413,277.19916
10031,418.02814,450.97137,430.50766,430.50763,464.38327,430.50763,435.70386,436.59598,427.63132,432.09476,428.57565,423.80026,428.4359,435.96982,436.59598,436.71313,430.4531,428.57565,443.33014,432.64133,428.5749,418.02814,428.43588,431.26593,418.02814,435.69812,464.32205,430.50763,443.04266,435.96982,430.50757,430.50766,430.4531,428.57565,430.4531,430.45312,450.94135,465.1178,428.5749,428.5749,430.94696,418.3376,443.04254,428.43594,428.43588,418.02814,430.4531,430.45312,430.45306,430.4531
10035,364.24768,417.2966,387.30145,395.2955,390.2942,392.29514,419.9286,416.13736,362.58096,392.29517,398.85547,364.24768,398.5257,387.30148,362.58096,394.77472,390.29416,362.58096,420.3146,392.06747,401.35803,362.58096,398.5315,417.2966,855.07983,390.29416,419.92856,390.2942,362.58096,419.56665,362.58096,390.29416,398.35193,398.5257,390.2942,399.92114,419.5667,390.29416,388.76254,390.29422,417.2966,387.3015,401.35803,390.29416,401.35803,,362.58096,387.30154,398.352,373.41824
10036,518.15753,558.3846,534.69165,532.65857,512.3081,518.15753,518.4395,525.355,513.0089,527.9748,527.8404,542.5529,782.6337,541.17194,583.7012,518.15753,532.6586,518.15753,7897.2314,512.3081,527.84033,783.3026,1697.8875,525.355,551.6801,518.15753,512.30817,532.5557,525.355,541.17194,512.3081,518.15753,532.6585,518.15753,518.15753,532.6585,616.61365,532.5557,512.3081,512.30804,525.355,514.2726,541.17194,518.15753,527.84033,518.4395,518.15753,532.55566,532.6585,518.15753
10039,417.56024,459.06638,443.94138,445.0412,421.61682,444.932,458.0004,457.93002,417.56024,443.94147,444.93057,421.6168,444.35538,443.9634,465.67126,444.0662,445.04077,443.96323,469.27393,443.96323,444.8577,444.3106,444.35532,457.93002,,454.7769,443.94144,444.92297,425.7053,445.55865,443.96323,444.06616,444.93204,444.90146,443.9632,445.28754,445.04086,443.96323,417.56027,453.30237,,444.0,453.95474,443.9633,444.9321,417.56024,417.56024,444.0,444.932,443.94138
10041,641.84076,683.64307,653.2345,764.6315,641.8408,641.8409,641.8409,659.5442,763.9194,641.8409,649.816,648.86414,657.28986,683.4756,657.2898,641.8408,654.0529,641.8408,673.17456,643.26733,649.8107,670.3374,649.81604,669.98236,650.5149,641.8408,659.5441,683.4756,641.8408,686.638,653.23456,641.8409,654.0234,650.51105,641.84094,691.16974,764.63226,653.35785,653.737,650.48016,677.35895,639.3973,673.17456,641.8409,649.816,639.3972,639.3972,653.23456,654.0234,639.3973
10043,517.0179,546.04663,520.1841,521.7889,520.1841,522.93567,527.6416,514.59894,514.5989,522.93567,522.9356,514.92664,785.8457,531.5221,553.7637,522.93555,520.1841,520.1841,521.79724,521.78894,521.78894,786.604,521.8068,514.59894,527.6416,522.9356,545.4515,522.9356,516.9203,534.51483,520.18414,520.18414,521.7889,520.5066,522.9356,521.7889,521.7889,520.1841,531.52216,520.1841,531.5222,514.9266,538.375,520.1841,524.6316,514.60223,520.18414,520.1841,521.78894,520.1841
