parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.040644651728729574,0.15392828010647766,0.014170246764276676,0.012581220551666578,0.06870808290579257,118
alpha_neg,0.02522531557548002,0.13408545930600105,0.01234356704663431,0.0007795278587855205,0.049671103292174515,118
phi,0.23620327939259647,0.17880818715944183,0.016460627857139507,0.20360386848010342,0.2688026903050895,118
rho,0.8392899045247143,0.2029190752444256,0.01868021501574182,0.8022947175538988,0.8762850914955298,118
capacity,3.325394246537807,1.1052238768364904,0.10174410481108558,3.1238953784845,3.5268931145911138,118
kappa_total,0.15522964052082497,0.1217054839542197,0.011203897938728634,0.13304090775217592,0.17741837328947402,118
kappa_share,0.28060330383069826,0.2685153243238107,0.02471883920892364,0.2316489380771443,0.3295576695842522,118
epsilon,0.06408130690569878,0.10844808377934564,0.009983455328697648,0.04430959677341651,0.08385301703798106,118
nll,463.3346605462543,122.13167163419207,11.243131694792988,,,118
aic,942.6693210925087,244.26334326838415,22.486263389585975,,,118
bic,979.3560684619736,244.44635480967662,22.503110967555603,,,118
