group,n,model,aggregate_aic,akaike_weight,wins,win_pct
No Ongoing Impact,3,M1,3545.8580932617188,7.035414714946444e-42,0.0,0.0
No Ongoing Impact,3,M2,3448.406005859375,1.0203322345142076e-20,0.0,0.0
No Ongoing Impact,3,M3,3390.2374267578125,4.364033433843784e-08,0.0,0.0
No Ongoing Impact,3,M5,3376.1958618164062,4.886244052565324e-05,0.0,0.0
No Ongoing Impact,3,M6a,3404.93212890625,2.81173276033342e-11,0.0,0.0
No Ongoing Impact,3,M6b,3356.3429565429688,0.9999510938910225,3.0,100.0
Ongoing Impact,3,M1,3267.0453491210938,1.0327710643454786e-34,0.0,0.0
Ongoing Impact,3,M2,3170.672119140625,8.733434218813296e-14,0.0,0.0
Ongoing Impact,3,M3,3137.22412109375,1.6007574977274159e-06,0.0,0.0
Ongoing Impact,3,M5,3110.5349731445312,0.9995404755486871,2.0,66.66666666666667
Ongoing Impact,3,M6a,3145.1285400390625,3.075408280594092e-08,0.0,0.0
Ongoing Impact,3,M6b,3125.9118041992188,0.00045789293964508277,1.0,33.333333333333336
Fisher_exact_test,6,M6b_vs_M5,,,,0.0
