parameter,predictor,model_type,beta_std,SE,t,p,R²,N,q_FDR,significant_FDR
alpha_neg,LESS Total,univariate,-0.258882236765175,0.1439891961601024,-1.7979282034280017,0.07889941560543166,0.06702001251254042,47,0.9852750284783164,False
alpha_neg,LESS Total,bivariate,-0.25621496899312507,0.14538900823482018,-1.7622719358488783,0.08496932950811349,0.07142820496542868,47,,
alpha_neg,IES-R Intrusion,univariate,-0.1452421205559774,0.1474904687253009,-0.9847559765132281,0.3300092723201661,0.021095273583597418,47,0.9852750284783164,False
alpha_pos,LESS Total,univariate,-0.12163224747150053,0.14796437982576388,-0.822037355306251,0.41539008933618315,0.01479440362496831,47,0.9852750284783164,False
alpha_pos,LESS Total,bivariate,-0.12268846201498688,0.14970450024678775,-0.8195375677600544,0.41689705456639825,0.015485647980489015,47,,
alpha_pos,IES-R Intrusion,univariate,0.08033878691032201,0.148589343069173,0.5406766410759469,0.5913968504007436,0.006454320682221959,47,0.9852750284783164,False
alpha_neg,IES-R Total,univariate,-0.07673245219056651,0.14863169474919635,-0.5162590140686087,0.6082012372897865,0.0058878692191777215,47,0.9852750284783164,False
alpha_neg,IES-R Hyperarousal,univariate,-0.07392169335984702,0.14866334699214503,-0.4972422244990411,0.6214391693393306,0.005464416749187628,47,0.9852750284783164,False
alpha_neg,IES-R Total,bivariate,-0.06644777475774526,0.14538900823482018,-0.45703437670077757,0.649894870587886,0.07142820496542868,47,,
epsilon,IES-R Intrusion,univariate,-0.04770670628207582,0.14890146407575985,-0.3203911162203418,0.7501549096838593,0.002275929824284262,47,0.9852750284783164,False
epsilon,LESS Total,bivariate,0.044553677583238936,0.15069651435186415,0.2956516796348037,0.7688869073793424,0.002394685372610117,47,,
epsilon,LESS Total,univariate,0.04366627573769652,0.14892901040900136,0.293201946469506,0.7707157099312122,0.0019067436368005453,47,0.9852750284783164,False
alpha_pos,IES-R Avoidance,univariate,-0.029902233881954926,0.14900453806727335,-0.2006800213591784,0.841853051919438,0.0008941435911309359,47,0.9852750284783164,False
alpha_pos,IES-R Total,bivariate,0.026312733508376207,0.14970450024678775,0.17576447912387194,0.8612854069726,0.015485647980489015,47,,
epsilon,IES-R Total,bivariate,-0.022107220943507755,0.15069651435186415,-0.14670028061756746,0.8840387036470223,0.002394685372610117,47,,
alpha_pos,IES-R Total,univariate,0.02138791876585064,0.14903709880659208,0.14350734774840254,0.8865302231002479,0.00045744306913453325,47,0.9852750284783164,False
epsilon,IES-R Total,univariate,-0.020318800055414227,0.14904042303007808,-0.13633079967381506,0.8921678650048692,0.00041285363569198985,47,0.9852750284783164,False
epsilon,IES-R Avoidance,univariate,-0.019088839946201752,0.14904403645973655,-0.12807516757880147,0.8986601533924922,0.0003643838104916419,47,0.9852750284783164,False
epsilon,IES-R Hyperarousal,univariate,0.016690712826643833,0.14905043293428027,0.11198030423704404,0.9113370432326857,0.00027857989466151256,47,0.9852750284783164,False
alpha_pos,IES-R Hyperarousal,univariate,0.015131723028674049,0.14905413117821636,0.10151830686652909,0.919590026579762,0.00022896904181635147,47,0.9852750284783164,False
alpha_neg,IES-R Avoidance,univariate,-0.0002257674660491489,0.14907119470083566,-0.0015144942421789237,0.9987983030201741,5.097094912809297e-08,47,0.9987983030201741,False
