participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.9990000128746033,0.9899366497993469,0.4596138596534729,1038.9573974609375,2083.914794921875,2098.9807241910917,2083.9362810454204,0.15637843179029853,3.90912828152068e-06,1121,True,50,23,"['alpha_pos', 'alpha_neg']"
9187,0.014620102941989899,0.005429811775684357,0.09602124243974686,1170.679443359375,2347.35888671875,2362.6639146336083,2347.378721429494,0.12224188537778102,4.96692973683821e-06,1214,True,50,9,['alpha_neg']
10002,0.9800405502319336,0.9917172193527222,0.32091110944747925,1132.4398193359375,2270.879638671875,2286.5054396857554,2270.897456043813,0.237016176644131,0.001302896300330758,1351,False,50,26,['alpha_neg']
10003,0.9757123589515686,0.9932750463485718,0.4004576802253723,1197.5767822265625,2401.153564453125,2416.7503581751894,2401.1715554576226,0.18529046032872754,0.01809680089354515,1338,False,50,23,['alpha_neg']
10004,0.9727591872215271,0.9954462647438049,0.24496716260910034,934.1380004882812,1874.2760009765625,1889.5661651120467,1874.2959345313798,0.29611833515960817,0.008951898664236069,1208,False,50,38,['alpha_neg']
10005,0.9838512539863586,0.9963982105255127,0.24607017636299133,1043.096923828125,2092.19384765625,2107.7726503198974,2092.211947203761,0.2861144832765823,5.267597316560568e-06,1330,True,50,12,['alpha_neg']
10006,0.9764332175254822,0.9932472705841064,0.2812424302101135,1096.5404052734375,2199.080810546875,2214.7132659072918,2199.0985883246526,0.2628404058632404,2.8794194804504514e-05,1354,True,50,23,['alpha_neg']
10007,0.012125964276492596,0.0010949441930279136,0.18584203720092773,1250.0147705078125,2506.029541015625,2521.287245408722,2506.0496921491263,0.047855666963050325,6.957738605706254e-06,1195,True,50,3,['alpha_neg']
10016,0.9990000128746033,0.9951459169387817,0.2263767123222351,1057.7666015625,2121.533203125,2137.1877336402104,2121.5508501838235,0.29411975560267745,1.4107889001024887e-05,1364,True,48,12,"['alpha_pos', 'alpha_neg']"
10017,0.9863158464431763,0.9990000128746033,0.1914060413837433,930.5210571289062,1867.0421142578125,1882.4515638835833,1867.0612682881397,0.32617600047652917,8.031322977331001e-06,1257,True,50,37,['alpha_neg']
10018,0.9809252023696899,0.9927484393119812,0.3720954656600952,1150.8143310546875,2307.628662109375,2323.1505370686455,2307.6471094575686,0.1973054814633718,0.06497427821159363,1305,False,50,16,['alpha_neg']
10024,0.9990000128746033,0.9928311705589294,0.2919323742389679,964.4293823242188,1934.8587646484375,1950.0607241943978,1934.8792950162733,0.2516100126999187,0.0012658961350098252,1173,False,48,6,"['alpha_pos', 'alpha_neg']"
10025,0.09232959151268005,0.0019090468995273113,0.23840144276618958,872.460693359375,1750.92138671875,1766.2632550474482,1750.9409785554847,0.3538259179936927,8.509245162713341e-06,1229,True,50,28,['alpha_neg']
10027,0.9921102523803711,0.992277204990387,0.3065475821495056,891.5491943359375,1789.098388671875,1804.0746779541228,1789.1205288932772,0.2541148445292982,9.07250796444714e-06,1088,True,50,11,"['alpha_pos', 'alpha_neg']"
10028,0.49733689427375793,0.3432118594646454,0.7029432058334351,1290.46337890625,2586.9267578125,2602.32425046748,2586.945988581731,0.06179681469178877,1.8139235180569813e-05,1252,True,50,19,[]
10029,0.03794104978442192,0.025019334629178047,0.25512996315956116,1100.95751953125,2207.9150390625,2223.324488688271,2207.934193092827,0.20275678510172934,5.283393875288311e-06,1257,True,50,5,[]
10030,0.9890660047531128,0.9963399767875671,0.199276864528656,872.007080078125,1750.01416015625,1765.3117653869092,1750.034044166192,0.3445623037296126,7.344874120462919e-06,1211,True,50,25,"['alpha_pos', 'alpha_neg']"
10031,0.9990000128746033,0.9929919242858887,0.3103811740875244,1056.811279296875,2119.62255859375,2135.02005124873,2119.641789362981,0.2316684652094999,0.0025571733713150024,1252,False,45,10,"['alpha_pos', 'alpha_neg']"
10035,0.9990000128746033,0.994005024433136,0.23677213490009308,903.68212890625,1813.3642578125,1828.563658722911,1813.3848057577054,0.29815109033095666,9.59449062065687e-06,1172,True,50,36,"['alpha_pos', 'alpha_neg']"
10036,0.9891691207885742,0.9840267896652222,0.4329696297645569,1073.70166015625,2153.4033203125,2168.638345051173,2153.423624881028,0.1759482556757367,0.009028655476868153,1186,False,50,12,['alpha_pos']
10039,0.9990000128746033,0.9966356754302979,0.2696293592453003,918.1298217773438,1842.2596435546875,1857.3469062471365,1842.2809768880209,0.2597716750065143,9.371414307679515e-06,1129,True,50,38,"['alpha_pos', 'alpha_neg']"
10041,0.026135319843888283,0.0037313164211809635,0.4059187173843384,1280.356689453125,2566.71337890625,2582.1819088186917,2566.732158248973,0.09092754850677831,6.16232500760816e-06,1282,True,50,8,['alpha_neg']
10043,0.9797702431678772,0.9976550340652466,0.4605472683906555,1055.90283203125,2117.8056640625,2132.8822790064155,2117.827073518343,0.14566739802558903,7.402587925753323e-06,1125,True,50,9,['alpha_neg']
10047,0.9798598885536194,0.9866594672203064,0.38427621126174927,1167.3465576171875,2340.693115234375,2356.27417268956,2340.7112011424383,0.20167946821114235,8.095447810774203e-06,1331,True,50,13,[]
10048,0.02701554074883461,0.004435060080140829,0.12675048410892487,1006.3120727539062,2018.6241455078125,2033.956233876749,2018.6438015274684,0.25225736910304875,5.761194188380614e-06,1225,True,50,30,['alpha_neg']
10050,0.9502813220024109,0.993977963924408,0.42511656880378723,1216.0445556640625,2438.089111328125,2453.725994733626,2438.106862807415,0.18370836586177564,0.009864619001746178,1356,False,50,13,['alpha_neg']
10051,0.9990000128746033,0.9912307858467102,0.3351328372955322,981.7108154296875,1969.421630859375,1984.579794007072,1969.4424641927083,0.22699680501044928,0.0029340616893023252,1156,False,46,30,"['alpha_pos', 'alpha_neg']"
10052,0.9487360119819641,0.9983452558517456,0.5310680270195007,1162.6661376953125,2331.332275390625,2346.589979783722,2331.3524265241263,0.11438968535481742,3.095250576734543e-06,1195,True,50,17,['alpha_neg']
10055,0.6014739274978638,0.984725832939148,0.3403366804122925,1023.2450561523438,2052.4901123046875,2067.795140219546,2052.5099470154314,0.23278600612698186,9.335660251963418e-06,1214,True,50,24,[]
10057,0.9711834788322449,0.991208553314209,0.4541763663291931,1220.047119140625,2446.09423828125,2461.6412946169057,2446.112530964177,0.15612861232913122,8.322117537318263e-06,1316,True,50,8,['alpha_neg']
10058,0.9738782048225403,0.9983006119728088,0.39177533984184265,1233.4996337890625,2472.999267578125,2488.660389088297,2473.016875795293,0.17865416773617904,8.941949090512935e-06,1367,True,50,14,['alpha_neg']
10059,0.9924871325492859,0.9938318133354187,0.2885461747646332,1065.6329345703125,2137.265869140625,2152.8106449744605,2137.2841757767806,0.262371940508465,0.0034435412380844355,1315,False,50,14,"['alpha_pos', 'alpha_neg']"
10062,0.9751466512680054,0.9984375834465027,0.08766155689954758,833.9505615234375,1673.901123046875,1689.5180285761062,1673.91899348619,0.43645544605337017,9.62335161602823e-06,1347,True,50,13,['alpha_neg']
10063,0.019676191732287407,0.010922321118414402,0.24538937211036682,1128.988037109375,2263.97607421875,2279.2438036838325,2263.9961579007586,0.14291142804888357,8.897938641894143e-06,1199,True,50,26,['alpha_neg']
10064,0.9850150346755981,0.9925936460494995,0.36449316143989563,1086.5220947265625,2179.044189453125,2194.4296772901653,2179.063497578628,0.2069005363136508,2.2738840925740078e-05,1247,True,50,26,['alpha_neg']
10065,0.9990000128746033,0.9963300824165344,0.16211767494678497,944.1498413085938,1894.2996826171875,1909.8784852808349,1894.3177821646989,0.35383291626121394,1.2842066098528448e-05,1330,True,49,12,"['alpha_pos', 'alpha_neg']"
10066,0.9990000128746033,0.996691882610321,0.2449510097503662,955.7295532226562,1917.4591064453125,1932.8009747740107,1917.4786982820472,0.29215416648510706,3.38521158482763e-06,1229,True,50,13,"['alpha_pos', 'alpha_neg']"
10067,0.9823320508003235,0.9903478622436523,0.5192527770996094,1314.3270263671875,2634.654052734375,2650.2754093029985,2634.671896600546,0.11315640028523377,0.018725352361798286,1349,False,50,12,['alpha_neg']
10071,0.9717615246772766,0.9978510141372681,0.25114870071411133,991.6679077148438,1989.3358154296875,2004.787919802465,1989.3546981991603,0.29203527106744054,8.694466487213504e-06,1275,True,50,37,['alpha_neg']
10072,0.9973052740097046,0.9945284724235535,0.26923397183418274,1113.2623291015625,2232.524658203125,2248.2293534640694,2232.5420117823005,0.26940516115775204,0.00010011796985054389,1387,False,49,29,"['alpha_pos', 'alpha_neg']"
10074,0.9813618063926697,0.9889175891876221,0.3950846791267395,1201.0091552734375,2408.018310546875,2423.6441115607554,2408.036127918813,0.1908174354790193,0.004688816610723734,1351,False,50,17,[]
10075,0.9799513816833496,0.9931184649467468,0.33145859837532043,1121.2344970703125,2248.468994140625,2264.05005159581,2248.4870800486883,0.23321440910547553,9.834752745518927e-06,1331,True,50,16,['alpha_neg']
10076,0.9990000128746033,0.996641993522644,0.4152336120605469,1120.1588134765625,2246.317626953125,2261.6546092872577,2246.3372508288403,0.16901997385644496,5.182060704100877e-06,1227,True,50,19,"['alpha_pos', 'alpha_neg']"
10077,0.9990000128746033,0.9990000128746033,0.33757227659225464,1087.298583984375,2180.59716796875,2196.0469184771464,2180.6160656065454,0.22315398571554723,4.680076926888432e-06,1274,True,50,24,"['alpha_pos', 'alpha_neg']"
10078,0.9990000128746033,0.9945934414863586,0.30719947814941406,1011.0741577148438,2028.1483154296875,2043.4459206603467,2028.1681994396295,0.24003355955347616,1.6336372254954767e-06,1211,True,50,23,"['alpha_pos', 'alpha_neg']"
10079,0.9945003986358643,0.9975747466087341,0.21852274239063263,940.1531372070312,1886.3062744140625,1901.6457007401837,1886.3258822571997,0.3031235630927337,6.954144282644847e-06,1228,True,50,13,"['alpha_pos', 'alpha_neg']"
10081,0.9895726442337036,0.9948861002922058,0.2602226436138153,993.429443359375,1992.85888671875,2008.2659487598344,1992.8780560478235,0.2800490061848988,7.803392691130284e-06,1256,True,50,15,"['alpha_pos', 'alpha_neg']"
10083,0.030559957027435303,0.012990920804440975,0.21558625996112823,1135.3426513671875,2276.685302734375,2292.2071776936455,2276.7037500825686,0.20809699851576113,7.107472356437938e-06,1305,True,50,16,[]
10084,0.986220121383667,0.9971924424171448,0.09823150187730789,869.5859375,1745.171875,1760.808758405501,1745.18962647929,0.41627490321860383,0.0031248207669705153,1356,False,50,27,['alpha_neg']
10086,0.042509131133556366,0.0010000000474974513,0.23300495743751526,1067.366943359375,2140.73388671875,2156.2740963416586,2140.75222132532,0.26004625967213346,3.702976755448617e-05,1313,True,50,13,['alpha_neg']
10087,0.9990000128746033,0.9936122298240662,0.2795334756374359,939.7294921875,1885.458984375,1900.617147522697,1885.4798177083333,0.2600530742152417,8.426711247011553e-06,1156,True,50,25,"['alpha_pos', 'alpha_neg']"
10088,0.977631151676178,0.996538519859314,0.20578135550022125,942.9562377929688,1891.9124755859375,1907.37163049075,1891.9313138904902,0.32839142673581845,7.818685844540596e-06,1278,True,50,21,['alpha_neg']
10089,0.998092532157898,0.9910778403282166,0.30124837160110474,1036.5614013671875,2079.122802734375,2094.570197530047,2079.141715263926,0.2588225857567168,8.101052117126528e-06,1273,True,50,29,"['alpha_pos', 'alpha_neg']"
10090,0.9883164167404175,0.9692633152008057,0.7507843375205994,1256.203369140625,2518.40673828125,2533.6316278751483,2518.4271117956814,0.0326179499047462,5.046288151788758e-06,1182,True,50,7,[]
10092,0.991588830947876,0.9961962699890137,0.3143092691898346,1099.5782470703125,2205.156494140625,2220.6645441906367,2205.175026959158,0.22950018996999633,0.0002195979905081913,1299,False,50,33,"['alpha_pos', 'alpha_neg']"
