participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,913.99164,913.4813,900.1755,912.4763,913.67596,882.1845,912.5315,912.4763,913.99164,913.67596,900.1755,1231.5398,913.2559,1230.5626,912.6496,912.4763,913.36487,913.2559,913.67596,882.1846,913.67596,912.6451,913.67596,914.35187,1231.5405,913.67596,912.6496,900.1755,913.2559,889.0784,913.4814,913.67596,882.1846,913.67596,913.67596,913.48126,882.1846,913.67596,900.1755,,908.40674,912.4763,912.6496,912.6451,912.47626,,912.64496,913.4813,913.4813,913.25586
9187,1333.1542,1225.5508,1153.9149,1154.9146,1153.915,1152.2382,1333.7131,1153.9152,1333.1542,1333.7133,1153.915,1333.7133,1333.0842,1333.1543,1229.7361,1333.713,1225.5508,1333.1545,1152.2383,1152.2383,1154.3549,1153.915,1258.2716,1152.2388,1333.714,1153.915,1225.5431,1153.9149,1333.7141,1152.2382,1225.5431,1153.915,1333.0837,1333.714,1333.0479,1333.074,1152.2382,1153.915,1152.2383,1333.714,1152.2383,1333.0479,1225.5431,1153.915,1153.915,1248.5208,1225.5431,1153.915,1153.915,1152.2384
10002,1120.0499,1138.5865,1151.8733,1123.4319,1118.536,1131.8417,1145.24,1121.2712,1118.5361,1140.8875,1140.8875,1484.2208,1142.6268,1483.0654,1095.752,1145.24,1118.5361,1124.741,1120.2908,1131.8417,1120.2909,1118.5361,1121.2712,1131.8042,1121.2712,1121.2712,1139.1556,1143.4414,1140.6993,1110.0157,1118.536,1124.741,1139.1556,1121.2712,1071.6356,1118.536,1136.1376,1121.2712,1139.1556,1121.2712,1139.1558,1137.0022,1140.6995,1095.7518,1135.9536,1120.2908,1136.1376,1118.5361,1121.2712,1140.8875
10003,1001.05566,1010.8248,1010.39557,1008.11035,1002.6895,,1002.6895,1008.11035,941.009,1013.718,944.3554,1469.9377,944.3553,1468.6366,1003.4745,1003.4746,1010.8248,1008.11035,1008.11035,941.009,1004.0424,1002.6895,941.009,1004.0424,1469.938,1004.46704,1002.6895,1010.8804,1001.0557,1001.0557,1008.11035,944.3553,1001.05566,1004.0424,1008.11035,1010.8248,1001.05566,1010.39557,1001.0557,,1001.0556,,1003.4746,941.009,1001.05566,1008.11035,1013.64215,1010.82495,1010.8248,1001.4755
10004,773.7687,753.3628,753.3628,696.80975,696.80975,696.8097,709.2925,709.2924,846.95135,697.97034,696.8097,709.2924,696.8098,709.2925,697.97046,709.2924,785.44727,697.97046,697.97046,696.8097,696.8097,785.2069,696.80975,785.5638,697.97046,697.97034,696.8097,753.3628,696.8097,709.2924,697.97046,709.2925,696.8582,696.80963,696.80975,748.1122,697.97046,753.3628,696.8098,696.80963,709.2924,697.97046,696.80975,709.33826,697.97046,696.8099,753.3628,753.3628,785.5637,696.80975
10005,847.1527,856.1356,859.198,845.8274,843.52576,782.4442,840.2115,845.82745,782.4442,834.99475,1460.0104,840.2115,782.44415,834.99475,,840.2115,855.9327,843.5258,843.5259,848.96936,782.44415,847.9287,834.99475,835.0812,843.52576,843.5258,782.4442,855.9326,843.5259,840.2115,840.2115,843.5259,783.17444,834.99475,1461.1486,855.76416,843.5259,855.7641,782.4442,846.947,827.05817,840.21136,782.44415,782.44525,847.1527,827.05817,840.2115,856.1356,855.7641,784.46277
10006,805.5342,852.3659,852.3659,805.5342,789.0359,788.0849,805.5342,805.5342,846.0606,805.5341,788.08496,805.5343,805.53424,852.36597,789.0358,788.08496,864.8399,,805.5342,788.08496,788.085,852.3659,919.0592,877.78827,805.5341,789.03577,805.53424,852.36597,788.085,805.5343,805.5342,789.03656,788.0849,,788.085,864.83997,805.5342,880.7224,805.5342,788.08496,805.53424,805.5342,805.5341,919.0592,805.5342,,788.085,852.3659,852.3659,805.5341
10007,1312.603,1263.292,1312.4564,1312.5859,1263.292,1263.2588,1312.8402,1263.292,1312.5903,1312.84,1263.2589,1312.8402,1312.8265,1312.5905,1243.8989,1312.8402,1263.292,1312.6072,1287.9813,1263.2588,1263.2921,1312.6106,1312.5903,1287.9813,1312.8405,1312.8402,1263.2588,1263.292,1312.8407,1243.8989,1263.292,1312.456,1312.456,1312.8405,1312.4562,1312.4564,1312.8402,1312.8402,1263.2588,1312.8405,1312.8402,1312.657,1243.8989,1263.292,1245.8795,1268.4852,1312.4562,1312.4564,1312.5902,1245.8794
10016,804.13275,813.64813,812.8224,805.728,805.7281,795.48755,805.728,796.833,814.0811,796.83307,812.8224,797.85803,,797.85803,805.728,812.1356,813.97644,796.79346,804.1137,810.55963,804.1137,797.68164,805.9005,805.7281,813.1466,812.1356,796.83307,812.1356,804.1328,805.7281,805.728,805.7281,,797.68164,812.8197,813.6481,,813.64813,795.4823,1498.4614,805.728,810.5596,1051.6393,797.68164,810.55963,797.68164,,813.64813,812.1356,805.7281
10017,837.58746,839.4848,839.48157,837.58746,828.1921,823.34595,838.85394,1379.7108,828.1921,837.58746,828.1921,837.58746,823.5215,839.1639,828.8468,828.84753,928.4235,837.58746,839.06616,838.7997,828.1921,837.58746,828.1921,839.06616,839.06616,828.1921,839.2356,839.10425,828.1921,828.8468,837.58746,838.0714,839.10425,828.1921,828.8467,839.4848,828.1921,838.07153,838.85394,823.3458,828.8467,828.8467,,831.66534,928.4237,837.58746,837.58746,839.2356,928.4239,828.8468
10018,990.9874,991.3295,984.8512,922.6433,981.95026,922.6433,922.57635,922.57635,981.95026,922.57635,922.6433,1433.6841,980.55133,1432.3455,959.5232,959.5232,984.8512,992.87415,922.6433,922.57635,922.5764,981.9503,922.5763,991.68146,991.6815,922.6433,980.55133,984.8512,922.6433,922.6433,980.55133,922.6433,984.8512,922.57635,922.6433,984.8512,922.57635,991.3296,959.5232,922.6433,922.6432,980.5513,980.5514,980.55133,956.8225,981.95026,922.5764,984.85126,984.8512,956.8229
