participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,913.99164,913.4813,900.1755,912.4763,913.67596,882.1845,912.5315,912.4763,913.99164,913.67596,900.1755,1231.5398,913.2559,1230.5626,912.6496,912.4763,913.36487,913.2559,913.67596,882.1846,913.67596,912.6451,913.67596,914.35187,1231.5405,913.67596,912.6496,900.1755,913.2559,889.0784,913.4814,913.67596,882.1846,913.67596,913.67596,913.48126,882.1846,913.67596,900.1755,,908.40674,912.4763,912.6496,912.6451,912.47626,,912.64496,913.4813,913.4813,913.25586
9187,1333.249,1152.4911,1152.4911,1151.2585,1151.2585,1151.2585,1333.713,1152.4911,1333.1376,1333.7134,1152.4911,1333.7134,1333.0718,1333.1377,1153.7809,1333.7134,1152.4911,1333.1382,1153.7808,1152.4911,1151.2585,1152.4911,1153.7809,1151.2585,1333.714,1151.2587,1152.4911,1152.4911,1333.7139,1151.2587,1152.4911,1151.2587,1333.6785,1333.714,1333.0502,1333.0826,1151.2587,1152.4911,1151.2585,1333.7129,1151.2585,1333.0496,1152.4911,1152.4911,1151.2587,1247.2958,1152.4911,1152.4911,1152.4911,1152.4911
10002,1137.6294,1158.6395,1137.6294,1093.8634,1149.2668,1137.6294,1168.7354,1149.2668,1137.6294,1144.6093,1169.0408,1484.2206,1168.8584,1483.1157,1094.3262,1168.7354,1139.6083,1093.8479,1137.6294,1169.0408,1153.6077,1139.6083,1141.236,1149.2668,1484.2202,1137.6293,1159.9238,1161.6987,1159.9359,1159.9238,1137.6294,1144.6093,1159.9238,1094.3262,1168.4615,1137.6294,1158.525,1137.6293,1159.9238,1159.9359,1159.9238,1159.9359,1168.6842,1093.8478,1158.8572,1141.2361,1158.6392,1137.6293,1158.6393,1168.4617
10003,1015.99225,1018.8799,1007.23785,1011.49347,1016.78375,955.99243,1006.82385,,1015.21936,955.99243,953.0558,1469.9377,955.99255,1468.643,1007.15643,1006.82385,1007.23785,953.05786,1016.7837,953.0558,1011.49335,1013.74493,953.0558,1011.63257,1469.938,1011.4933,1006.82385,1018.7247,1015.21936,1006.82385,1011.49335,1193.3414,1006.8238,953.0558,1015.21936,1021.0513,965.4353,1021.4133,1006.824,964.4886,1006.824,955.99243,1013.7448,953.0559,955.99255,1015.21954,1015.21936,1018.87994,1018.8799,1013.7448
10004,794.6771,780.13654,780.1364,792.7602,792.76013,726.6895,741.07697,792.7602,794.6314,726.6896,726.6895,741.07697,726.6895,792.76013,726.6895,741.07697,778.3769,792.76013,792.76013,726.6895,792.76013,792.7602,726.6896,809.23444,792.76013,792.7602,741.1913,780.1364,792.7602,741.0771,793.49084,792.76013,809.8149,792.76013,767.32996,807.4976,727.40967,807.4976,750.79156,741.077,741.07697,767.32996,726.6896,726.6895,792.76013,792.76013,793.4908,780.13654,780.1365,726.6896
10005,883.0522,898.02765,884.9387,882.3022,882.3022,797.58875,881.1939,869.0228,882.3022,882.3022,797.5887,869.0228,797.5887,869.0672,854.76404,881.1938,899.47156,882.3021,882.3022,797.5887,869.0228,883.5973,869.0227,869.06714,882.3022,797.7863,854.76404,896.08374,882.3022,854.76404,882.92053,882.3022,894.58356,797.6917,797.5887,898.47943,882.3022,898.5864,854.76404,898.71497,854.76404,854.764,797.58875,797.58875,882.92053,882.3022,882.92053,898.02783,898.8041,797.58875
10006,843.3069,891.7732,892.1353,924.97064,924.97064,828.3812,843.1508,843.1509,843.1508,843.1508,828.3813,843.1508,843.1508,1485.9636,843.15076,828.3813,887.37103,843.1508,924.97064,828.3813,924.97064,928.3499,828.3813,928.3402,830.174,924.7747,843.15076,891.773,843.1508,843.1508,828.3813,924.7748,891.7732,,,891.7731,843.151,897.3259,849.85675,843.1508,843.1508,828.3813,843.15094,843.1508,843.1509,928.3402,964.1367,891.773,891.773,843.1509
10007,1312.8347,1260.1578,1312.6328,1312.4453,1260.1578,1312.8401,1312.8402,1249.6627,1312.5905,1312.8402,1259.9803,1312.8402,1312.8402,1312.5922,1261.6198,1312.8402,1295.7217,1312.5919,1290.7937,1249.4952,1312.5903,1312.5901,1312.5903,1260.1567,1312.8406,1312.8403,1259.9805,1259.9805,1312.8401,1312.5924,1312.8378,1312.5924,1312.4453,1312.8406,1312.4453,1312.8403,1312.8402,1312.8403,1261.6198,1312.8406,1312.8401,1312.4453,1259.9807,1260.1578,1261.6198,1312.4453,1312.4453,1312.4457,1312.5903,1312.8402
10016,751.65063,751.65063,751.6081,751.66864,734.13464,734.1598,748.8781,952.90515,746.43756,,734.1736,746.9962,734.1598,745.185,746.9962,995.72864,751.6171,748.8781,745.185,751.26373,734.1345,746.9962,840.87616,734.1736,734.1736,751.26373,748.8781,751.6199,745.185,747.0318,751.65063,734.1597,751.66864,745.185,746.9962,751.65063,746.3155,751.26373,734.1345,995.77313,746.99615,751.65405,734.1408,952.80286,836.0016,745.185,746.3155,751.65063,751.26373,746.9962
10017,836.22437,836.0456,836.0456,836.22437,831.64905,832.7708,912.2777,932.8749,836.22437,831.6477,1380.9498,836.22437,836.0807,836.2435,836.2436,836.1989,932.8751,836.2169,836.22437,836.1648,831.6477,836.22437,831.64905,932.87524,836.22437,831.6477,836.092,836.2095,831.6477,836.2415,836.2436,836.04694,836.18945,831.67206,829.39075,836.2435,836.0469,836.04694,832.72864,836.2169,836.2415,836.2435,932.8752,836.23193,932.875,836.22437,836.22437,836.2415,932.8751,836.2436
