participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.9899095296859741,0.9969038367271423,0.18909071385860443,862.2014770507812,1730.4029541015625,1745.717850446372,1730.4227234590585,0.35565713820425293,4.329911917011486e-06,1218,True,50,35,"['alpha_pos', 'alpha_neg']"
9187,0.01722748950123787,0.01293590571731329,0.09829794615507126,1097.8857421875,2201.771484375,2217.2070727799914,2201.790471716772,0.2118780213774596,7.928333616291638e-06,1268,True,50,22,[]
10002,0.9990000128746033,0.9961879849433899,0.1636241227388382,872.22802734375,1750.4560546875,1765.8052371197805,1750.4755986614414,0.35557129460095216,2.799902631522855e-06,1232,True,48,45,"['alpha_pos', 'alpha_neg']"
10003,0.9990000128746033,0.9975767731666565,0.21230782568454742,823.7333374023438,1653.4666748046875,1668.4649422072114,1653.4886528266654,0.3158810255621779,5.723300546378596e-06,1096,True,50,29,"['alpha_pos', 'alpha_neg']"
10004,0.9913870692253113,0.9968092441558838,0.12871447205543518,916.2119140625,1838.423828125,1854.1457772077663,1838.441081899263,0.40217059205552375,9.673536624177359e-06,1395,True,50,20,"['alpha_pos', 'alpha_neg']"
10005,0.108195960521698,0.9464032053947449,0.030544787645339966,702.2929077148438,1410.5858154296875,1426.137427574875,1410.60408026987,0.5149813708771835,1.8902637748396955e-05,1318,True,50,13,[]
10006,0.9637423753738403,0.9943509101867676,0.05106598883867264,695.9444580078125,1397.888916015625,1413.0831930990005,1397.9094992060195,0.4585675681775515,5.7983020269603e-06,1170,True,50,17,['alpha_neg']
10007,0.01834896020591259,0.0027555497363209724,0.11457463353872299,1287.7894287109375,2581.578857421875,2597.347749140947,2581.595842559879,0.17276185345937867,8.378320671909023e-06,1417,True,50,24,['alpha_neg']
10016,0.9923684597015381,0.9922752380371094,0.10346848517656326,761.6965942382812,1529.3931884765625,1544.6458677428564,1529.413373505999,0.418838123332985,0.012824906036257744,1193,False,50,18,"['alpha_pos', 'alpha_neg']"
10017,0.5541638731956482,0.9956941604614258,0.01227983646094799,597.981689453125,1201.96337890625,1217.3125613385305,1201.9829228801914,0.5581928648175145,8.615165825176518e-06,1232,True,50,10,['alpha_neg']
10018,0.5669310092926025,0.9922253489494324,0.09141387790441513,805.8646240234375,1617.729248046875,1633.1813524196525,1617.7481308163478,0.4246826728337092,7.476408882212127e-06,1275,True,50,33,['alpha_neg']
10024,0.9990000128746033,0.9918174147605896,0.12014645338058472,822.4271240234375,1650.854248046875,1666.2756071761785,1650.8733259483058,0.40681027787002555,5.221159153734334e-05,1262,True,49,20,"['alpha_pos', 'alpha_neg']"
10025,0.08251792192459106,0.008531219325959682,0.08151078224182129,678.5345458984375,1363.069091796875,1378.6882236712918,1363.086948939732,0.5418184270784969,5.1552233344409615e-06,1348,True,50,4,['alpha_neg']
10027,0.5913594961166382,0.9766827821731567,0.11871625483036041,723.498291015625,1452.99658203125,1468.1050275125017,1453.0177647320443,0.4207946131223387,0.00111296190880239,1137,False,50,20,[]
10028,0.01909693516790867,0.0019616184290498495,0.2359141856431961,1063.87646484375,2133.7529296875,2148.7429741520295,2133.774968254993,0.11401455573113561,7.459108473995002e-06,1093,True,50,10,['alpha_neg']
10029,0.9727991223335266,0.9905039072036743,0.0760730504989624,761.082763671875,1528.16552734375,1543.6527198358172,1528.18418986319,0.4629710184467415,9.258618774765637e-06,1290,True,50,25,['alpha_neg']
10030,0.9990000128746033,0.9949545860290527,0.04233889281749725,691.834716796875,1389.66943359375,1405.023482207146,1389.688945788872,0.4896798236865604,1.5651936337235384e-05,1234,True,49,10,"['alpha_pos', 'alpha_neg']"
10031,0.9728003740310669,0.9929243326187134,0.1615801304578781,895.9747924804688,1797.9495849609375,1813.3638040630706,1797.9687084669135,0.3522228735626982,2.9459548386512324e-05,1259,True,48,13,['alpha_neg']
10035,0.9990000128746033,0.9906861186027527,0.11272077262401581,858.7224731445312,1723.4449462890625,1739.0506952416574,1723.4628835087935,0.4175537408031571,9.624272024666425e-06,1342,True,50,13,"['alpha_pos', 'alpha_neg']"
10036,0.023588666692376137,0.02129114791750908,0.057289618998765945,980.220947265625,1966.44189453125,1981.6336064156662,1966.462495389619,0.23675315914243933,0.0001015815360005945,1169,False,49,4,[]
10039,0.9990000128746033,0.9933870434761047,0.12716060876846313,820.8489990234375,1647.697998046875,1663.083485883915,1647.717306172378,0.40082681792421226,7.132592872949317e-05,1247,True,47,18,"['alpha_pos', 'alpha_neg']"
10041,0.027070581912994385,0.001616388326510787,0.31969064474105835,1256.143798828125,2518.28759765625,2533.8731596167863,2518.305656346995,0.14224204052707423,6.272780410654377e-06,1333,True,50,29,['alpha_neg']
10043,0.9988301396369934,0.9946228265762329,0.2573384642601013,966.21484375,1938.4296875,1953.8079493198975,1938.4490423387097,0.29301716066690475,0.0491207018494606,1244,False,49,29,"['alpha_pos', 'alpha_neg']"
10047,0.985358476638794,0.9901620149612427,0.157741978764534,821.4988403320312,1648.9976806640625,1664.181683764794,1649.018334708813,0.3586959956272111,1.5373992937384173e-05,1166,True,50,22,['alpha_neg']
10048,0.9697367548942566,0.05348410829901695,0.5021414756774902,1153.226318359375,2312.45263671875,2327.8163940784834,2312.4720856652652,0.15209060407984465,7.1725539783074055e-06,1238,True,49,19,[]
10050,0.9746852517127991,0.9915385842323303,0.33744484186172485,1085.1937255859375,2176.387451171875,2191.8699888918677,2176.4061427606603,0.23308548329375778,7.024698788882233e-06,1288,True,50,20,['alpha_neg']
10051,0.987886369228363,0.9910686016082764,0.14393123984336853,825.2699584960938,1656.5399169921875,1671.8597354053695,1656.5596538342927,0.3842679600165192,2.4729544747970067e-05,1220,True,50,32,['alpha_neg']
10052,0.04123491793870926,0.004318463150411844,0.013210488483309746,746.253173828125,1498.50634765625,1513.7159700416257,1498.5268254719497,0.4223903811112796,5.74942941966583e-06,1176,True,50,27,['alpha_neg']
10055,0.9990000128746033,0.05399195849895477,0.0010000000474974513,170.51422119140625,347.0284423828125,362.3580807720293,347.04811451396006,0.8731954797172033,3.933569314540364e-05,1224,True,46,6,"['alpha_pos', 'epsilon']"
10057,0.5847594141960144,0.9761350750923157,0.24449460208415985,895.94921875,1797.8984375,1813.1811420377742,1797.9184208472107,0.3232131751270382,0.027989845722913742,1205,False,50,25,[]
10058,0.971690833568573,0.9946114420890808,0.1410207599401474,763.3353881835938,1532.6707763671875,1547.7897574167737,1532.691884546607,0.39104486117692283,7.656062734895386e-06,1141,True,50,23,['alpha_neg']
10059,0.9990000128746033,0.9921627044677734,0.14906106889247894,773.571044921875,1553.14208984375,1568.2689483595693,1553.1631424753289,0.3844976314068165,0.0013530432479456067,1144,False,46,10,"['alpha_pos', 'alpha_neg']"
10062,0.08937584608793259,0.8979992270469666,0.007412062957882881,627.987060546875,1261.97412109375,1277.4543287165384,1261.9928272511936,0.5558520152883851,9.6815092547331e-05,1287,True,50,21,['epsilon']
10063,0.016768280416727066,0.007928159087896347,0.06889200210571289,1117.51904296875,2241.0380859375,2256.3726222869886,2241.0577258720336,0.17030206410062132,1.9152670574840158e-05,1226,True,50,8,['alpha_neg']
10064,0.9797045588493347,0.9934265613555908,0.16683068871498108,918.4097290039062,1842.8194580078125,1858.255046412804,1842.8384453495846,0.34071564554015865,0.004045457113534212,1268,False,50,13,['alpha_neg']
10065,0.9990000128746033,0.9941885471343994,0.07397344708442688,747.8743286132812,1501.7486572265625,1517.2148461322527,1501.767451275114,0.4685834890780498,1.8812643247656524e-05,1281,True,48,14,"['alpha_pos', 'alpha_neg']"
10066,0.5595423579216003,0.9897598028182983,0.032328881323337555,643.818359375,1293.63671875,1308.9069492573283,1293.656785639632,0.5116427287286174,5.054803295934107e-06,1200,True,50,15,['alpha_neg']
10067,0.01559340488165617,0.008181837387382984,0.05263817310333252,1163.0413818359375,2332.082763671875,2347.465844769917,2332.1020873433727,0.15036445590902736,4.0588797673990484e-06,1246,True,50,13,['alpha_neg']
10071,0.5387740731239319,0.9882194995880127,0.09302039444446564,754.592529296875,1515.18505859375,1530.4950247813283,1515.204860573948,0.43514825634409815,3.758574166567996e-05,1216,True,50,29,[]
10072,0.9901993274688721,0.9956888556480408,0.09448478370904922,879.0431518554688,1764.0863037109375,1779.8339488822808,1764.1034099119354,0.4313151679342293,2.1283045498421416e-05,1407,True,50,33,"['alpha_pos', 'alpha_neg']"
10074,0.9885768294334412,0.993310809135437,0.2760218679904938,878.0746459960938,1762.1492919921875,1777.1964292536493,1762.170913613809,0.28253322559055793,9.23692641663365e-06,1114,True,50,17,['alpha_neg']
10075,0.9990000128746033,0.9929426312446594,0.08873981237411499,747.67431640625,1501.3486328125,1516.6163622775825,1501.3687164945084,0.4323915833741666,0.014610996469855309,1199,False,50,10,"['alpha_pos', 'alpha_neg']"
10076,0.9990000128746033,0.9890563488006592,0.3021440804004669,1034.3690185546875,2074.738037109375,2090.175990512518,2074.757009441391,0.2580589003183771,2.592525015643332e-05,1269,True,46,19,"['alpha_pos', 'alpha_neg']"
10077,0.9629310369491577,0.9943166375160217,0.13287517428398132,876.6427612304688,1759.2855224609375,1774.8280160580712,1759.3038430716244,0.39272859283832795,0.0005723017384298146,1314,False,50,30,['alpha_neg']
10078,0.9990000128746033,0.9934961199760437,0.13805340230464935,759.1021728515625,1524.204345703125,1539.3101515009682,1524.2255471165527,0.39175653631412144,9.98697396425996e-06,1136,True,50,16,"['alpha_pos', 'alpha_neg']"
