participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1036.4957,1036.4958,1036.4954,1197.5886,1036.4958,1045.4883,1059.915,1046.437,1036.4954,1036.4954,1231.4116,1036.4957,1046.437,1036.4954,1075.8933,1076.6423,1231.1653,1231.4442,1036.4958,1036.4952,1036.4958,1036.4961,1036.4954,1036.4961,1036.4958,1036.4954,1045.4883,1036.4956,1230.7795,1075.8933,1046.437,1036.4954,1045.4883,1036.4957,1036.4955,1036.4955,1230.803,1036.4957,1230.7719,1230.7931,1046.437,1231.1653,1036.4955,1231.1653,1036.4954,1075.8933,1036.4958,1230.7931,1036.4958,1046.437
9187,1333.0112,1150.3931,1150.3931,1155.7755,1150.3931,1150.3931,1150.3931,1150.3931,1150.3931,1209.4705,1333.6824,1150.3931,1150.3932,1333.3864,1209.4703,1150.3931,1333.3838,1333.6824,1209.4703,1150.3931,1150.3931,1150.3931,1150.3931,1333.3838,1333.3835,1333.0112,1209.4703,1333.346,1333.3418,1150.3931,1333.6824,1209.4703,1333.3838,1150.3931,1333.3835,1150.3932,1333.3838,1333.2576,1333.3838,1333.7323,1150.3931,1333.6821,1333.3838,1333.6824,1333.3838,1150.3931,1333.3428,1333.346,1150.3931,1150.3931
10002,1141.1263,1141.1271,1141.6578,1429.0413,1141.1263,1198.7708,1141.1265,1157.5068,1141.1263,1141.1262,1483.9983,1141.1265,1157.5063,1141.1265,1252.0665,1250.0968,1483.7109,1198.7708,1157.5066,1141.1265,1143.3678,1141.1263,1141.1267,1198.7708,1141.1265,1221.9241,1198.7708,1141.1263,1483.1515,1141.1263,1157.5068,1141.1262,1141.1265,1198.7708,1141.1263,1198.7708,1141.1262,1141.1263,1483.1533,1221.924,1141.1261,1252.0665,1157.5066,1483.1533,1141.1263,1250.0968,1141.1263,1483.1533,1141.1265,1141.6578
10003,1248.446,1282.2501,1279.9813,1469.9036,1243.9958,1267.4346,1294.5541,1248.446,1248.446,1243.9958,1469.7948,1243.9958,1248.446,1279.9813,1275.0425,1282.1504,1469.5042,1469.9036,1248.446,1267.4346,1243.9955,1279.9813,1278.7543,1267.4346,1243.9958,1248.446,1282.1504,1243.9958,1469.7905,1275.0425,1278.7543,1279.9813,1243.9957,1278.7543,1243.996,1278.7543,1469.0784,1248.446,1469.5029,1469.0784,1248.446,1275.0425,1243.9954,1469.5045,1275.0425,1275.0425,1243.9957,1469.0784,1243.996,1278.7543
10004,942.34467,1020.41235,942.34467,1234.3439,942.3446,947.0632,943.49335,947.0633,942.34467,947.06323,1326.8967,942.3448,947.0633,942.34467,1077.6538,1077.9717,1077.6539,942.34467,942.3447,942.34436,942.3446,942.34503,942.34424,943.49335,1012.6304,1012.6305,1020.4122,942.3443,947.06335,1077.9717,942.34467,1012.6305,1012.6305,942.34503,942.34485,942.3447,947.0633,942.3445,942.3452,947.063,942.34467,1077.6538,942.34467,1326.0691,942.3448,1077.6538,943.49335,1326.0487,942.34454,942.3448
10005,1060.0338,1078.4397,1094.8711,1333.3331,1060.0338,1149.1882,1106.9958,1094.8711,1060.0338,1060.0338,1460.8943,1060.0338,1060.0338,1106.9958,1149.1882,1060.0338,1060.0338,1106.9958,1078.4397,1094.8711,1094.8711,1078.4397,1106.9958,1060.0338,1106.9958,1106.9958,1149.1882,1060.0338,1060.0338,1094.8711,1078.4397,1060.0338,1106.9958,1106.9958,1060.0338,1060.0338,1106.9958,1060.0338,1106.9958,1106.9958,1094.8711,1149.1882,1106.9958,1460.0159,1080.069,1060.0338,1060.0338,1460.0157,1094.8711,1094.8711
10006,1121.3243,1115.0491,1208.9141,1306.0327,1115.0491,1186.6349,1186.6349,1121.3243,1115.0491,1121.3243,1487.3657,1115.0491,1121.3243,1208.9141,1230.8906,1186.6349,1230.8906,1208.9141,1121.3243,1115.0491,1115.0491,1115.0491,1115.0491,1186.6349,1115.0491,1115.0491,1186.6349,1115.0491,1115.0491,1230.8905,1208.9141,1115.0491,1115.0491,1208.9141,1121.3243,1186.6349,1115.0491,1115.0491,1486.4166,1191.4567,1121.3243,1230.8905,1115.0491,1486.4166,1208.9141,1115.0491,1115.0491,1486.4061,1208.9141,1186.6349
10007,1312.8696,1312.2623,1312.5288,1210.7485,1210.7485,1218.1172,1210.7485,1312.6198,1295.4845,1312.6233,1312.2623,1312.257,1312.257,1312.5288,1218.1172,1218.1172,1312.5288,1312.2623,1312.4861,1312.2623,1312.6239,1218.1171,1218.1172,1312.5288,1312.6233,1312.6146,1218.1172,1312.6233,1312.6233,1218.1172,1312.2623,1312.5288,1312.622,1312.5288,1312.6211,1210.7484,1312.5261,1312.6229,1312.5288,1312.8817,1296.8073,1312.8307,1312.5288,1312.2623,1312.5288,1218.1172,1312.6233,1312.6233,1312.5284,1218.1172
10016,,1064.2466,1083.1776,1334.4187,1064.2466,1064.2466,1083.1776,,1064.2466,1064.2466,1498.1932,1673.1888,1497.3163,1083.1776,1244.3591,1064.2466,1064.2466,1083.1776,1064.2463,1083.1776,1083.1776,1064.2466,1064.2466,1064.2466,1064.2466,1064.2466,1064.2466,1064.2457,1083.1776,1064.2466,1083.1776,1497.3163,1064.2466,1083.1776,1083.1776,1064.36,1119.8135,1064.2466,1119.8135,1083.1776,1119.813,1064.2466,,1497.3163,1083.1776,1064.2466,1064.2466,1497.3163,1083.1776,
10017,936.2478,936.20856,984.7358,1222.7506,936.20856,936.20856,984.7358,986.28534,936.20856,936.2478,1380.615,936.20856,984.7358,936.2478,936.20856,936.20856,1379.7979,984.7358,936.20856,986.2853,984.7358,984.7358,986.2853,936.20856,986.2853,984.7358,936.20856,936.20856,936.20856,936.20856,936.2478,986.2853,936.2478,936.20856,936.2478,936.20856,984.7358,936.20856,984.7358,936.2478,936.2478,936.2478,984.7358,1379.8097,936.2478,936.20856,936.2478,1379.8097,936.2478,986.2853
