participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1021.11304,1048.0614,1020.992,1231.5133,1020.992,,1020.992,1020.992,1020.992,1021.11304,1230.7534,1020.992,1021.11304,1231.4553,1020.99243,1048.0614,1231.2051,1230.7344,1020.992,1020.992,1020.992,1020.992,1020.992,1048.0614,1021.11304,1020.992,1020.992,1021.11304,1230.7534,1082.9802,1048.0614,1021.11304,1020.992,1021.1131,1020.992,1020.992,1230.7542,1020.992,1230.754,1230.7542,1021.11304,1231.2064,1230.754,1230.7542,1231.2064,1020.992,1020.992,1230.754,1020.992,1020.992
9187,1333.296,1228.3728,1182.1122,1185.7214,1182.1122,1182.1122,1182.1122,1182.1122,1228.3728,1182.112,1333.374,1182.1122,1229.904,1333.6808,1229.9039,1182.1122,1333.3751,1333.3748,1182.112,1182.1122,1228.3727,1182.1122,1229.9039,1333.3751,1333.3745,1333.2981,1182.1122,1333.2982,1333.2982,1229.904,1333.3741,1229.9039,1333.3751,1229.904,1333.3751,1229.904,1333.3751,1333.2925,1333.3751,1333.7449,1183.6573,1333.0824,1333.3751,1333.3751,1333.3751,1229.904,1333.2981,1333.2982,1182.112,1228.3727
10002,1104.9945,1104.9945,1105.394,1410.4034,1104.9945,1105.394,1104.9945,1104.9945,1104.9945,1104.9945,1483.9984,1104.9945,1104.9945,1483.9984,1104.9945,1274.1873,1483.7915,1104.9945,1105.0703,1105.0703,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1105.394,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1104.9945,1105.0703,1483.116,1104.9945,1104.9945,1483.116,1104.9945,1483.116,1104.9945,1104.9945,1104.9945,1483.116,1104.9945,1104.9945
10003,1221.397,1221.645,1232.3105,1439.8767,1232.3105,1262.7262,1221.397,1232.3105,1221.3967,1221.3967,1469.0248,1221.3967,1222.5525,1469.787,1293.6943,1288.4464,1469.5688,1469.0685,1232.3105,1221.3977,1232.3105,1221.3976,1232.3105,1262.7262,1221.3972,1221.3967,1221.6449,1221.3967,1469.7803,1293.6946,1262.7262,1222.7933,1221.3966,1221.397,1221.3966,1262.7262,1469.0249,1232.3105,1469.0249,1469.0247,1221.3976,1469.0044,1469.0249,1469.0249,1221.397,1293.6946,1221.3969,1469.0249,1221.3973,1262.7262
10004,932.77637,1012.2435,932.77637,1229.8872,932.77637,1012.2435,932.77637,932.77637,932.77637,932.77637,1326.908,932.77637,932.77637,932.77637,1012.2435,1068.6237,1068.6237,932.77637,932.77637,932.77637,932.77637,932.77637,932.77637,933.32184,932.77637,932.77637,1012.2435,932.77637,932.77637,932.77637,932.77637,933.32184,932.77637,932.77637,932.77637,932.77637,932.77637,932.77637,932.77637,932.77637,932.77637,1012.2435,932.77637,1326.0511,932.77637,1012.2435,933.32184,1326.0493,932.77637,932.77637
10005,989.9105,989.90137,989.9105,1289.3503,989.90137,989.90137,989.9105,989.9013,989.90137,989.90137,1460.868,989.90137,1053.4327,989.9105,1193.5919,989.90137,1118.61,989.90137,989.9105,989.9013,989.9105,989.90137,989.9105,989.9013,989.90137,989.9105,989.90137,989.90137,989.90137,989.9013,989.90137,989.9105,989.90137,989.9105,989.9105,989.9013,1053.4326,989.90137,1053.4326,1053.4326,989.90137,989.90137,989.9105,1459.9382,989.90137,989.9013,989.9105,1459.9382,989.90137,989.90137
10006,1042.3864,1042.3864,1042.3889,1425.8458,1042.3864,1161.2401,1042.3864,1042.3889,,1042.386,1487.3109,1042.3865,1042.3864,1042.3864,1042.3889,1161.2401,1486.3195,1042.3864,1042.386,1042.3864,1042.3889,1486.3193,1042.3864,,1042.3864,1042.3865,1161.2401,1042.3889,1042.3864,1042.3864,1042.3864,1042.3862,1042.3864,1042.3864,1042.3864,,,1042.3889,1486.3195,1042.3865,1042.3864,,1042.3889,1486.3195,1042.3864,1042.3889,,1487.3093,1042.3889,1042.3866
10007,1312.6765,1312.565,1312.565,1233.5457,1312.3483,1233.5458,1233.5458,1312.5619,1244.6561,,1312.565,1312.3483,1312.3483,1312.5632,1233.5459,1233.5459,1312.565,1312.565,1312.565,1312.3483,1312.565,1244.6561,1244.6561,1312.565,1312.6699,1312.3483,1244.6561,1312.6764,1312.6766,1312.4836,1312.565,1312.565,1312.5645,1312.565,1312.5638,1233.5459,1312.565,1312.6743,1312.565,1313.0173,1233.5458,1312.3483,1312.565,1312.3483,1312.565,1244.656,1312.6766,1312.6766,1312.565,1244.656
10016,1062.613,1062.6245,1062.6127,1381.6404,1062.6125,1062.6127,1062.6245,1077.9863,1062.6127,1062.6125,1498.2212,1062.6245,1077.9863,1062.613,1244.9397,1243.3666,1244.9397,1062.6245,1062.613,1062.6245,1062.613,1062.613,1062.6129,1077.9863,1077.9863,1077.9863,1062.6245,1062.613,1077.9863,1244.9398,1077.9863,1078.1078,1062.6245,1077.9863,1077.9863,1077.9863,1062.6245,1077.9863,1497.3127,1077.9863,1077.9863,1244.9398,1062.6245,1497.3127,1062.6245,1062.6129,1062.613,1497.3129,1077.9863,1077.9863
10017,924.3297,924.16284,972.88074,1236.811,924.1625,,924.1626,924.1626,924.1624,924.3297,1380.6418,,924.16266,924.1626,924.1624,924.1626,1379.9487,924.16266,924.16254,972.88074,972.88074,924.3297,972.88074,924.1625,924.3297,,924.1624,1379.804,924.1627,,924.3215,924.16235,924.3297,924.1623,972.88074,924.3297,972.88074,924.1626,972.88074,924.16266,972.88074,924.1626,924.3297,1379.8046,924.16254,924.1628,924.16284,1379.8046,924.3297,924.3297
