participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.9990000128746033,0.9957870841026306,0.4334474503993988,1020.9920043945312,2047.9840087890625,2063.049938058279,2048.005494912608,0.1709661262513269,6.949569069547579e-06,1121,True,49,30,"['alpha_pos', 'alpha_neg']"
9187,0.013531737960875034,0.0036432454362511635,0.1092556044459343,1191.1900634765625,2388.380126953125,2403.6851548679833,2388.399961663869,0.10686332607538762,0.0001510410220362246,1214,False,50,4,['alpha_neg']
10002,0.9966540932655334,0.9954246878623962,0.343417227268219,1157.662109375,2321.32421875,2336.9500197638804,2321.342036121938,0.22002260315862832,0.0007969529251568019,1351,False,50,21,"['alpha_pos', 'alpha_neg']"
10003,0.9920859336853027,0.9934315085411072,0.41802477836608887,1212.2265625,2430.453125,2446.0499187220644,2430.4711160044976,0.17532423860500046,0.001435728627257049,1338,False,50,26,"['alpha_pos', 'alpha_neg']"
10004,0.9645980000495911,0.9922342300415039,0.24614594876766205,938.8314208984375,1883.662841796875,1898.9530059323592,1883.6827753516923,0.2925817992619466,9.870036592474207e-06,1208,True,50,17,['alpha_neg']
10005,0.9990000128746033,0.9977697730064392,0.22082370519638062,1007.1769409179688,2020.3538818359375,2035.9326844995849,2020.3719813834489,0.3106977746033416,0.00017743244825396687,1330,False,48,36,"['alpha_pos', 'alpha_neg']"
10006,0.9990000128746033,0.9990000128746033,0.22839467227458954,1045.0069580078125,2096.013916015625,2111.6463713760418,2096.0316937934026,0.2974842501649224,0.038377825170755386,1354,False,43,28,"['alpha_pos', 'alpha_neg']"
10007,0.03353556618094444,0.0010000000474974513,0.5546385049819946,1246.7413330078125,2499.482666015625,2514.740370408722,2499.5028171491263,0.05034906547218121,9.528142982162535e-06,1195,True,50,3,['alpha_neg']
10016,0.9989996552467346,0.9980974793434143,0.2519594430923462,1069.8057861328125,2145.611572265625,2161.2661027808354,2145.6292193244485,0.2860856367958601,9.35849948291434e-06,1364,True,50,26,"['alpha_pos', 'alpha_neg']"
10017,0.9990000128746033,0.9979865550994873,0.2022920399904251,936.2085571289062,1878.4171142578125,1893.8265638835833,1878.4362682881397,0.3220574757339356,8.811017323751003e-06,1257,True,50,29,"['alpha_pos', 'alpha_neg']"
10018,0.9836641550064087,0.9965624213218689,0.359697550535202,1135.2906494140625,2276.581298828125,2292.1031737873955,2276.5997461763186,0.20813326994686887,0.0033961711451411247,1305,False,50,22,['alpha_neg']
10024,0.9990000128746033,0.9925940632820129,0.29023832082748413,965.5726928710938,1937.1453857421875,1952.3550081275632,1937.1658635578872,0.2526342336641352,9.357540875498671e-06,1176,True,50,26,"['alpha_pos', 'alpha_neg']"
10025,0.08398111909627914,0.0010000000474974513,0.22669997811317444,873.5260009765625,1753.052001953125,1768.3938702818232,1753.0715937898597,0.35303691491672895,3.443605965003371e-05,1229,True,50,23,['alpha_neg']
10027,0.9705658555030823,0.9933494329452515,0.2706504464149475,864.3746337890625,1734.749267578125,1749.7255568603728,1734.7714077995272,0.2768495421176361,9.47785702010151e-06,1088,True,50,24,['alpha_neg']
10028,0.9430030584335327,0.9756953716278076,0.651716411113739,1280.65771484375,2567.3154296875,2582.71292234248,2567.334660456731,0.06892580836016948,4.4683233682007995e-06,1252,True,50,23,[]
10029,0.9990000128746033,0.990196704864502,0.3355017304420471,886.3386840820312,1778.6773681640625,1793.5782695799044,1778.7000739351126,0.23960392240501716,0.042605116963386536,1061,False,46,11,"['alpha_pos', 'alpha_neg']"
10030,0.9872294068336487,0.9981940388679504,0.21730680763721466,896.1381225585938,1798.2762451171875,1813.5738503478467,1798.2961291271295,0.3264243834611392,3.6442436339712003e-06,1211,True,50,23,['alpha_neg']
10031,0.9990000128746033,0.9929888844490051,0.3045719265937805,1042.4615478515625,2090.923095703125,2106.320588358105,2090.942326472356,0.24210112371835302,6.785905952710891e-06,1252,True,49,26,"['alpha_pos', 'alpha_neg']"
10035,0.9990000128746033,0.9950073957443237,0.27754828333854675,942.1018676757812,1890.2037353515625,1905.4031362619735,1890.224283296768,0.2683122223234624,8.24092512630159e-06,1172,True,50,38,"['alpha_pos', 'alpha_neg']"
10036,0.9954131245613098,0.9933371543884277,0.4463016092777252,1079.858642578125,2165.71728515625,2180.952309894923,2165.737589724778,0.17122285355259792,8.145591891661752e-06,1186,True,50,19,"['alpha_pos', 'alpha_neg']"
