outcome,parameter,mean,sd,hdi_2.5%,hdi_97.5%,hdi_25%,hdi_75%,p_direction,interpretation
lec_total,intercept,10.964744567871094,2.177446126937866,6.686105251312256,15.223111152648926,9.412773132324219,12.328550338745117,,
lec_total,alpha+,-0.5674973130226135,1.7266947031021118,-3.972992181777954,2.8124804496765137,-1.6503586769104004,0.5822015404701233,0.63525,inconclusive (-)
lec_total,phi,2.1577181816101074,2.109142780303955,-2.0484976768493652,6.2667236328125,0.9367510676383972,3.7422850131988525,0.849875,inconclusive (+)
lec_total,rho,-0.7598779797554016,1.945460319519043,-4.444889068603516,3.159090995788574,-1.9918701648712158,0.6241117119789124,0.653625,inconclusive (-)
lec_total,K,-0.6580425500869751,1.9123985767364502,-4.492444038391113,3.0151777267456055,-1.842316746711731,0.709015965461731,0.634625,inconclusive (-)
lec_total,epsilon,-1.3723009824752808,3.2019646167755127,-7.572088718414307,4.937544822692871,-3.840707302093506,0.43020689487457275,0.670625,inconclusive (-)
lec_total,sigma,3.106811046600342,0.3848538100719452,2.4033660888671875,3.9095141887664795,,,,
lec_total,Bayesian_R2,0.08240952203617026,,0.0028866880263832087,0.18669473409032064,,,,
ies_total,intercept,17.762149810791016,11.288329124450684,-4.4675822257995605,39.53458023071289,9.002096176147461,24.081268310546875,,
ies_total,alpha+,-5.07253360748291,8.74971866607666,-22.53200340270996,11.756943702697754,-10.414139747619629,1.2841070890426636,0.721125,inconclusive (-)
ies_total,phi,18.05425453186035,10.74890422821045,-2.6657228469848633,39.26726531982422,10.620924949645996,24.902009963989258,0.95325,strong evidence (+)
ies_total,rho,0.8345840573310852,10.04822063446045,-19.91621971130371,19.566179275512695,-6.724687099456787,6.6247687339782715,0.53375,inconclusive (+)
ies_total,K,-1.8991934061050415,9.772823333740234,-20.790658950805664,17.606618881225586,-9.667792320251465,3.517096519470215,0.576125,inconclusive (-)
ies_total,epsilon,1.2801716327667236,16.155866622924805,-30.813777923583984,32.612239837646484,-9.936553955078125,11.654003143310547,0.53025,inconclusive (+)
ies_total,sigma,15.470587730407715,1.9449801445007324,11.792535781860352,19.343774795532227,,,,
ies_total,Bayesian_R2,0.10543976987806584,,0.007487888610133636,0.22401123644921145,,,,
