Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,-0.012,0.011,"[-0.034, 0.010]",-1.11,0.273
alpha_pos_mean,ies_avoidance,0.002,0.008,"[-0.015, 0.018]",0.22,0.827
alpha_pos_mean,ies_hyperarousal,0.021,0.013,"[-0.006, 0.048]",1.60,0.118
alpha_neg_mean,ies_intrusion,0.003,0.011,"[-0.019, 0.024]",0.26,0.798
alpha_neg_mean,ies_avoidance,0.003,0.008,"[-0.013, 0.019]",0.32,0.752
alpha_neg_mean,ies_hyperarousal,-0.002,0.013,"[-0.028, 0.024]",-0.18,0.856
phi_mean,ies_intrusion,0.003,0.009,"[-0.014, 0.020]",0.36,0.718
phi_mean,ies_avoidance,-0.001,0.006,"[-0.014, 0.012]",-0.16,0.872
phi_mean,ies_hyperarousal,-0.006,0.010,"[-0.027, 0.015]",-0.61,0.548
rho_mean,ies_intrusion,-0.000,0.012,"[-0.024, 0.023]",-0.04,0.970
rho_mean,ies_avoidance,0.002,0.009,"[-0.016, 0.020]",0.23,0.816
rho_mean,ies_hyperarousal,-0.003,0.014,"[-0.032, 0.026]",-0.24,0.811
wm_capacity_mean,ies_intrusion,0.069,0.071,"[-0.074, 0.212]",0.97,0.336
wm_capacity_mean,ies_avoidance,0.068,0.053,"[-0.040, 0.175]",1.26,0.213
wm_capacity_mean,ies_hyperarousal,-0.121,0.087,"[-0.296, 0.054]",-1.39,0.171
epsilon_mean,ies_intrusion,-0.013,0.007,"[-0.027, 0.001]",-1.92,0.062
epsilon_mean,ies_avoidance,0.004,0.005,"[-0.006, 0.015]",0.83,0.410
epsilon_mean,ies_hyperarousal,0.015,0.008,"[-0.002, 0.032]",1.82,0.076
