Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r
alpha_pos_mean,lec_total_events,47,-0.003,0.012,-0.28,0.783,0.002,"[-0.028, 0.021]",-0.041
alpha_pos_mean,lec_personal_events,47,0.026,0.017,1.50,0.140,0.048,"[-0.009, 0.060]",0.218
alpha_pos_mean,ies_total,47,0.001,0.002,0.48,0.636,0.005,"[-0.004, 0.006]",0.071
alpha_pos_mean,ies_intrusion,47,0.001,0.006,0.10,0.924,0.000,"[-0.011, 0.013]",0.014
alpha_pos_mean,ies_avoidance,47,0.002,0.006,0.29,0.772,0.002,"[-0.010, 0.013]",0.043
alpha_pos_mean,ies_hyperarousal,47,0.009,0.008,1.12,0.270,0.027,"[-0.008, 0.026]",0.164
alpha_neg_mean,lec_total_events,47,-0.009,0.012,-0.82,0.419,0.015,"[-0.033, 0.014]",-0.121
alpha_neg_mean,lec_personal_events,47,-0.029,0.016,-1.83,0.074,0.069,"[-0.062, 0.003]",-0.263
alpha_neg_mean,ies_total,47,0.001,0.002,0.63,0.532,0.009,"[-0.003, 0.006]",0.093
alpha_neg_mean,ies_intrusion,47,0.003,0.006,0.61,0.547,0.008,"[-0.008, 0.015]",0.090
alpha_neg_mean,ies_avoidance,47,0.003,0.005,0.66,0.515,0.009,"[-0.007, 0.014]",0.097
alpha_neg_mean,ies_hyperarousal,47,0.003,0.008,0.36,0.722,0.003,"[-0.013, 0.019]",0.053
phi_mean,lec_total_events,47,0.009,0.009,0.92,0.361,0.019,"[-0.010, 0.027]",0.136
phi_mean,lec_personal_events,47,0.019,0.013,1.47,0.150,0.046,"[-0.007, 0.046]",0.213
phi_mean,ies_total,47,-0.001,0.002,-0.39,0.698,0.003,"[-0.004, 0.003]",-0.058
phi_mean,ies_intrusion,47,-0.001,0.005,-0.23,0.818,0.001,"[-0.010, 0.008]",-0.034
phi_mean,ies_avoidance,47,-0.001,0.004,-0.31,0.758,0.002,"[-0.010, 0.007]",-0.046
phi_mean,ies_hyperarousal,47,-0.004,0.007,-0.58,0.563,0.007,"[-0.017, 0.009]",-0.087
rho_mean,lec_total_events,47,0.015,0.013,1.18,0.244,0.030,"[-0.011, 0.041]",0.173
rho_mean,lec_personal_events,47,0.043,0.017,2.48,0.017*,0.120,"[0.008, 0.078]",0.346
rho_mean,ies_total,47,-0.000,0.003,-0.08,0.937,0.000,"[-0.005, 0.005]",-0.012
rho_mean,ies_intrusion,47,-0.001,0.006,-0.11,0.912,0.000,"[-0.013, 0.012]",-0.017
rho_mean,ies_avoidance,47,0.000,0.006,0.07,0.942,0.000,"[-0.012, 0.012]",0.011
rho_mean,ies_hyperarousal,47,-0.002,0.009,-0.23,0.816,0.001,"[-0.020, 0.016]",-0.035
wm_capacity_mean,lec_total_events,47,-0.125,0.080,-1.56,0.126,0.051,"[-0.287, 0.036]",-0.227
wm_capacity_mean,lec_personal_events,47,-0.041,0.118,-0.35,0.731,0.003,"[-0.280, 0.198]",-0.051
wm_capacity_mean,ies_total,47,0.023,0.016,1.46,0.152,0.045,"[-0.009, 0.055]",0.212
wm_capacity_mean,ies_intrusion,47,0.056,0.039,1.44,0.156,0.044,"[-0.022, 0.135]",0.210
wm_capacity_mean,ies_avoidance,47,0.069,0.037,1.87,0.067,0.072,"[-0.005, 0.142]",0.269
wm_capacity_mean,ies_hyperarousal,47,0.015,0.058,0.27,0.790,0.002,"[-0.101, 0.132]",0.040
epsilon_mean,lec_total_events,47,-0.002,0.008,-0.23,0.820,0.001,"[-0.018, 0.014]",-0.034
epsilon_mean,lec_personal_events,47,0.016,0.011,1.45,0.153,0.045,"[-0.006, 0.039]",0.212
epsilon_mean,ies_total,47,0.000,0.002,0.18,0.862,0.001,"[-0.003, 0.003]",0.026
epsilon_mean,ies_intrusion,47,-0.002,0.004,-0.46,0.647,0.005,"[-0.009, 0.006]",-0.068
epsilon_mean,ies_avoidance,47,0.001,0.004,0.30,0.763,0.002,"[-0.006, 0.008]",0.045
epsilon_mean,ies_hyperarousal,47,0.005,0.005,0.83,0.411,0.015,"[-0.007, 0.016]",0.123
