Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.006,0.004,"[-0.003, 0.014]",1.31,0.193
alpha_pos_mean,ies_avoidance,-0.000,0.003,"[-0.006, 0.005]",-0.16,0.876
alpha_pos_mean,ies_hyperarousal,-0.006,0.004,"[-0.014, 0.002]",-1.46,0.149
alpha_neg_mean,ies_intrusion,-0.001,0.004,"[-0.008, 0.006]",-0.24,0.809
alpha_neg_mean,ies_avoidance,0.000,0.002,"[-0.004, 0.005]",0.05,0.964
alpha_neg_mean,ies_hyperarousal,0.000,0.003,"[-0.006, 0.007]",0.04,0.965
phi_mean,ies_intrusion,-0.006,0.006,"[-0.018, 0.007]",-0.90,0.372
phi_mean,ies_avoidance,-0.001,0.004,"[-0.009, 0.007]",-0.19,0.854
phi_mean,ies_hyperarousal,0.012,0.006,"[-0.000, 0.023]",1.97,0.052
rho_mean,ies_intrusion,0.003,0.008,"[-0.013, 0.020]",0.37,0.712
rho_mean,ies_avoidance,0.006,0.005,"[-0.004, 0.017]",1.15,0.252
rho_mean,ies_hyperarousal,-0.015,0.008,"[-0.031, 0.000]",-1.98,0.051
wm_capacity_mean,ies_intrusion,0.023,0.047,"[-0.070, 0.117]",0.49,0.622
wm_capacity_mean,ies_avoidance,-0.017,0.030,"[-0.077, 0.043]",-0.56,0.574
wm_capacity_mean,ies_hyperarousal,0.017,0.044,"[-0.070, 0.105]",0.40,0.694
epsilon_mean,ies_intrusion,0.002,0.004,"[-0.006, 0.009]",0.43,0.670
epsilon_mean,ies_avoidance,0.001,0.002,"[-0.004, 0.006]",0.31,0.757
epsilon_mean,ies_hyperarousal,0.001,0.004,"[-0.006, 0.008]",0.31,0.755
