Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,45,0.007,0.035,0.19,0.850,0.001,"[-0.064, 0.078]",0.029,0.900,False,0.886,0.0004,False,0.159,0.6899,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,45,0.094,0.051,1.83,0.074,0.072,"[-0.009, 0.197]",0.269,0.435,False,0.930,0.0096,False,3.686,0.0549,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,45,0.039,0.036,1.08,0.285,0.027,"[-0.034, 0.112]",0.163,0.628,False,0.897,0.0008,False,0.323,0.5700,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,45,0.015,0.015,1.03,0.308,0.024,"[-0.015, 0.045]",0.156,0.628,False,0.903,0.0012,False,0.812,0.3675,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,45,0.227,0.104,2.18,0.035*,0.100,"[0.017, 0.436]",0.316,0.347,False,0.892,0.0005,False,0.310,0.5774,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,45,0.032,0.077,0.42,0.677,0.004,"[-0.123, 0.187]",0.064,0.900,False,0.890,0.0005,False,0.312,0.5763,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,45,-0.004,0.005,-0.72,0.474,0.012,"[-0.014, 0.007]",-0.110,0.682,False,0.411,0.0000,False,0.893,0.3448,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,45,-0.003,0.008,-0.40,0.691,0.004,"[-0.019, 0.013]",-0.061,0.900,False,0.373,0.0000,False,0.260,0.6103,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,45,0.002,0.005,0.34,0.736,0.003,"[-0.009, 0.013]",0.052,0.900,False,0.374,0.0000,False,0.109,0.7408,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,45,-0.001,0.002,-0.28,0.779,0.002,"[-0.005, 0.004]",-0.043,0.900,False,0.363,0.0000,False,0.156,0.6932,True
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,45,0.025,0.016,1.58,0.121,0.055,"[-0.007, 0.057]",0.235,0.435,False,0.499,0.0000,False,2.030,0.1542,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,45,0.012,0.011,1.02,0.314,0.024,"[-0.011, 0.035]",0.154,0.628,False,0.447,0.0000,False,1.082,0.2982,True
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,45,0.000,0.003,0.09,0.930,0.000,"[-0.006, 0.007]",0.013,0.930,False,0.149,0.0000,False,0.011,0.9164,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,45,0.005,0.005,1.03,0.310,0.024,"[-0.005, 0.015]",0.155,0.628,False,0.251,0.0000,False,1.294,0.2553,True
alpha- (Negative Learning Rate) ~ IES-R Intrusion,alpha_neg_mean,ies_intrusion,45,0.005,0.003,1.47,0.148,0.048,"[-0.002, 0.011]",0.219,0.483,False,0.313,0.0000,False,2.451,0.1174,True
alpha- (Negative Learning Rate) ~ IES-R Total Score,alpha_neg_mean,ies_total,45,0.001,0.001,0.92,0.360,0.019,"[-0.001, 0.004]",0.140,0.664,False,0.244,0.0000,False,1.001,0.3171,True
alpha- (Negative Learning Rate) ~ LEC-5 Personal Events,alpha_neg_mean,lec_personal_events,45,0.011,0.010,1.07,0.291,0.026,"[-0.009, 0.030]",0.161,0.628,False,0.258,0.0000,False,1.259,0.2618,True
alpha- (Negative Learning Rate) ~ LEC-5 Total Events,alpha_neg_mean,lec_total_events,45,0.005,0.007,0.77,0.446,0.014,"[-0.009, 0.019]",0.116,0.669,False,0.222,0.0000,False,0.649,0.4206,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,45,-0.000,0.001,-0.32,0.754,0.002,"[-0.002, 0.001]",-0.048,0.900,False,0.940,0.0220,False,1.103,0.2935,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,45,0.000,0.001,0.10,0.920,0.000,"[-0.002, 0.003]",0.015,0.930,False,0.934,0.0131,False,0.222,0.6376,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,45,-0.000,0.001,-0.32,0.748,0.002,"[-0.002, 0.001]",-0.049,0.900,False,0.938,0.0188,False,0.424,0.5150,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,45,-0.000,0.000,-0.24,0.812,0.001,"[-0.001, 0.001]",-0.036,0.900,False,0.937,0.0172,False,0.000,0.9895,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,45,-0.002,0.003,-0.83,0.409,0.016,"[-0.007, 0.003]",-0.126,0.669,False,0.949,0.0456,False,0.074,0.7856,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,45,-0.003,0.002,-1.61,0.115,0.057,"[-0.006, 0.001]",-0.238,0.435,False,0.919,0.0040,False,1.091,0.2963,True
phi (WM Decay Rate) ~ IES-R Avoidance,phi_mean,ies_avoidance,45,0.007,0.004,1.76,0.085,0.067,"[-0.001, 0.016]",0.260,0.435,False,0.941,0.0227,False,0.050,0.8239,True
phi (WM Decay Rate) ~ IES-R Hyperarousal,phi_mean,ies_hyperarousal,45,0.013,0.006,2.11,0.040*,0.094,"[0.001, 0.026]",0.307,0.347,False,0.968,0.2381,True,2.566,0.1092,True
phi (WM Decay Rate) ~ IES-R Intrusion,phi_mean,ies_intrusion,45,0.007,0.004,1.62,0.113,0.057,"[-0.002, 0.016]",0.239,0.435,False,0.948,0.0446,False,0.629,0.4278,True
phi (WM Decay Rate) ~ IES-R Total Score,phi_mean,ies_total,45,0.004,0.002,2.03,0.048*,0.088,"[0.000, 0.007]",0.296,0.347,False,0.954,0.0705,True,0.853,0.3558,True
phi (WM Decay Rate) ~ LEC-5 Personal Events,phi_mean,lec_personal_events,45,0.042,0.012,3.55,0.0009***,0.227,"[0.018, 0.067]",0.476,0.033*,True,0.977,0.4877,True,2.318,0.1279,True
phi (WM Decay Rate) ~ LEC-5 Total Events,phi_mean,lec_total_events,45,0.010,0.009,1.07,0.292,0.026,"[-0.009, 0.029]",0.161,0.628,False,0.950,0.0500,True,0.757,0.3842,True
rho (WM Weight) ~ IES-R Avoidance,rho_mean,ies_avoidance,45,-0.001,0.005,-0.22,0.831,0.001,"[-0.012, 0.009]",-0.033,0.900,False,0.889,0.0005,False,0.447,0.5038,True
rho (WM Weight) ~ IES-R Hyperarousal,rho_mean,ies_hyperarousal,45,-0.010,0.008,-1.32,0.194,0.039,"[-0.026, 0.005]",-0.197,0.583,False,0.892,0.0005,False,0.095,0.7579,True
rho (WM Weight) ~ IES-R Intrusion,rho_mean,ies_intrusion,45,-0.005,0.005,-0.91,0.369,0.019,"[-0.016, 0.006]",-0.137,0.664,False,0.899,0.0009,False,0.059,0.8073,True
rho (WM Weight) ~ IES-R Total Score,rho_mean,ies_total,45,-0.002,0.002,-0.83,0.409,0.016,"[-0.006, 0.003]",-0.126,0.669,False,0.894,0.0006,False,0.013,0.9077,True
rho (WM Weight) ~ LEC-5 Personal Events,rho_mean,lec_personal_events,45,-0.048,0.015,-3.32,0.002**,0.204,"[-0.078, -0.019]",-0.451,0.033*,True,0.974,0.4008,True,4.291,0.0383,False
rho (WM Weight) ~ LEC-5 Total Events,rho_mean,lec_total_events,45,-0.009,0.011,-0.79,0.436,0.014,"[-0.032, 0.014]",-0.119,0.669,False,0.907,0.0016,False,1.939,0.1638,True
