Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.003,0.004,"[-0.004, 0.010]",0.88,0.380
alpha_pos_mean,ies_avoidance,-0.002,0.002,"[-0.007, 0.003]",-0.94,0.351
alpha_pos_mean,ies_hyperarousal,0.000,0.004,"[-0.007, 0.008]",0.08,0.936
alpha_neg_mean,ies_intrusion,-0.001,0.003,"[-0.008, 0.005]",-0.36,0.720
alpha_neg_mean,ies_avoidance,-0.003,0.002,"[-0.008, 0.001]",-1.37,0.174
alpha_neg_mean,ies_hyperarousal,0.005,0.003,"[-0.001, 0.012]",1.57,0.120
phi_mean,ies_intrusion,-0.003,0.007,"[-0.017, 0.010]",-0.50,0.616
phi_mean,ies_avoidance,-0.001,0.005,"[-0.011, 0.008]",-0.28,0.777
phi_mean,ies_hyperarousal,0.012,0.007,"[-0.002, 0.026]",1.68,0.098
rho_mean,ies_intrusion,-0.003,0.009,"[-0.021, 0.014]",-0.39,0.700
rho_mean,ies_avoidance,0.003,0.006,"[-0.009, 0.015]",0.49,0.623
rho_mean,ies_hyperarousal,-0.010,0.009,"[-0.029, 0.008]",-1.13,0.262
wm_capacity_mean,ies_intrusion,-0.033,0.041,"[-0.115, 0.050]",-0.79,0.432
wm_capacity_mean,ies_avoidance,-0.022,0.029,"[-0.080, 0.036]",-0.76,0.448
wm_capacity_mean,ies_hyperarousal,0.070,0.044,"[-0.016, 0.157]",1.62,0.110
kappa_mean,ies_intrusion,-0.000,0.001,"[-0.003, 0.002]",-0.30,0.764
kappa_mean,ies_avoidance,0.000,0.001,"[-0.001, 0.002]",0.15,0.883
kappa_mean,ies_hyperarousal,0.001,0.001,"[-0.002, 0.003]",0.66,0.511
phi_rl_mean,ies_intrusion,-0.007,0.005,"[-0.017, 0.004]",-1.31,0.195
phi_rl_mean,ies_avoidance,-0.001,0.004,"[-0.008, 0.007]",-0.15,0.883
phi_rl_mean,ies_hyperarousal,0.011,0.006,"[0.000, 0.022]",2.02,0.047*
epsilon_mean,ies_intrusion,-0.003,0.001,"[-0.006, -0.000]",-2.15,0.035*
epsilon_mean,ies_avoidance,0.002,0.001,"[-0.000, 0.004]",1.89,0.063
epsilon_mean,ies_hyperarousal,0.000,0.002,"[-0.003, 0.003]",0.13,0.897
