Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.005,0.003,"[-0.001, 0.012]",1.67,0.099
alpha_pos_mean,ies_avoidance,-0.002,0.002,"[-0.006, 0.002]",-0.88,0.381
alpha_pos_mean,ies_hyperarousal,-0.003,0.003,"[-0.009, 0.003]",-1.01,0.316
alpha_neg_mean,ies_intrusion,0.007,0.005,"[-0.003, 0.017]",1.36,0.177
alpha_neg_mean,ies_avoidance,-0.003,0.003,"[-0.010, 0.003]",-0.99,0.326
alpha_neg_mean,ies_hyperarousal,-0.005,0.005,"[-0.014, 0.004]",-1.13,0.263
phi_mean,ies_intrusion,-0.002,0.006,"[-0.014, 0.010]",-0.39,0.700
phi_mean,ies_avoidance,0.002,0.004,"[-0.006, 0.009]",0.45,0.654
phi_mean,ies_hyperarousal,0.005,0.006,"[-0.006, 0.016]",0.92,0.359
rho_mean,ies_intrusion,0.007,0.007,"[-0.006, 0.021]",1.12,0.267
rho_mean,ies_avoidance,-0.002,0.004,"[-0.011, 0.007]",-0.44,0.658
rho_mean,ies_hyperarousal,-0.006,0.006,"[-0.018, 0.007]",-0.89,0.376
wm_capacity_mean,ies_intrusion,0.006,0.041,"[-0.076, 0.087]",0.14,0.892
wm_capacity_mean,ies_avoidance,0.006,0.027,"[-0.048, 0.059]",0.21,0.837
wm_capacity_mean,ies_hyperarousal,-0.011,0.038,"[-0.087, 0.065]",-0.28,0.777
kappa_s_mean,ies_intrusion,-0.001,0.003,"[-0.006, 0.005]",-0.29,0.776
kappa_s_mean,ies_avoidance,0.000,0.002,"[-0.004, 0.004]",0.09,0.932
kappa_s_mean,ies_hyperarousal,0.003,0.003,"[-0.002, 0.008]",1.14,0.257
epsilon_mean,ies_intrusion,0.004,0.003,"[-0.003, 0.011]",1.24,0.217
epsilon_mean,ies_avoidance,-0.002,0.002,"[-0.007, 0.002]",-0.94,0.349
epsilon_mean,ies_hyperarousal,0.001,0.003,"[-0.005, 0.007]",0.27,0.786
