Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,97,0.003,0.017,0.16,0.873,0.000,"[-0.031, 0.037]",0.016,0.996,False,0.954,0.0018,False,1.334,0.2482,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,97,-0.002,0.020,-0.08,0.940,0.000,"[-0.042, 0.039]",-0.008,0.996,False,0.952,0.0013,False,4.240,0.0395,False
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,97,0.001,0.020,0.07,0.941,0.000,"[-0.038, 0.041]",0.008,0.996,False,0.953,0.0017,False,3.783,0.0518,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,97,0.000,0.007,0.06,0.949,0.000,"[-0.013, 0.014]",0.007,0.996,False,0.953,0.0016,False,3.453,0.0632,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,97,-0.094,0.057,-1.67,0.099,0.028,"[-0.206, 0.018]",-0.168,0.492,False,0.960,0.0046,False,0.764,0.3822,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,97,-0.061,0.038,-1.61,0.110,0.027,"[-0.135, 0.014]",-0.163,0.492,False,0.962,0.0064,False,0.460,0.4975,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,97,-0.000,0.001,-0.11,0.915,0.000,"[-0.003, 0.003]",-0.011,0.996,False,0.249,0.0000,False,0.004,0.9497,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,97,0.000,0.002,0.02,0.982,0.000,"[-0.003, 0.003]",0.002,1.000,False,0.248,0.0000,False,0.000,0.9988,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,97,0.001,0.002,0.79,0.430,0.007,"[-0.002, 0.004]",0.081,0.821,False,0.276,0.0000,False,0.681,0.4092,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,97,0.000,0.001,0.24,0.811,0.001,"[-0.001, 0.001]",0.025,0.996,False,0.252,0.0000,False,0.072,0.7891,True
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,97,-0.001,0.005,-0.21,0.835,0.000,"[-0.010, 0.008]",-0.021,0.996,False,0.252,0.0000,False,0.018,0.8931,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,97,-0.007,0.003,-2.23,0.028*,0.050,"[-0.012, -0.001]",-0.223,0.492,False,0.383,0.0000,False,4.605,0.0319,False
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,97,-0.002,0.002,-0.90,0.369,0.009,"[-0.006, 0.002]",-0.092,0.815,False,0.275,0.0000,False,1.075,0.2997,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,97,-0.002,0.002,-0.84,0.402,0.007,"[-0.007, 0.003]",-0.086,0.821,False,0.268,0.0000,False,0.979,0.3224,True
alpha- (Negative Learning Rate) ~ IES-R Intrusion,alpha_neg_mean,ies_intrusion,97,-0.000,0.002,-0.15,0.884,0.000,"[-0.005, 0.004]",-0.015,0.996,False,0.214,0.0000,False,0.185,0.6667,True
alpha- (Negative Learning Rate) ~ IES-R Total Score,alpha_neg_mean,ies_total,97,-0.001,0.001,-0.70,0.486,0.005,"[-0.002, 0.001]",-0.072,0.860,False,0.257,0.0000,False,0.812,0.3675,True
alpha- (Negative Learning Rate) ~ LEC-5 Personal Events,alpha_neg_mean,lec_personal_events,97,-0.003,0.007,-0.46,0.648,0.002,"[-0.017, 0.011]",-0.047,0.983,False,0.234,0.0000,False,0.247,0.6195,True
alpha- (Negative Learning Rate) ~ LEC-5 Total Events,alpha_neg_mean,lec_total_events,97,-0.008,0.005,-1.74,0.085,0.031,"[-0.017, 0.001]",-0.176,0.492,False,0.345,0.0000,False,2.929,0.0870,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,97,0.001,0.001,0.81,0.418,0.007,"[-0.002, 0.004]",0.083,0.821,False,0.678,0.0000,False,0.200,0.6544,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,97,0.003,0.002,1.63,0.107,0.027,"[-0.001, 0.006]",0.165,0.492,False,0.706,0.0000,False,1.082,0.2983,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,97,0.003,0.002,1.88,0.063,0.036,"[-0.000, 0.006]",0.189,0.492,False,0.721,0.0000,False,3.424,0.0643,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,97,0.001,0.001,1.53,0.129,0.024,"[-0.000, 0.002]",0.155,0.492,False,0.704,0.0000,False,1.389,0.2386,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,97,-0.003,0.005,-0.59,0.560,0.004,"[-0.013, 0.007]",-0.060,0.940,False,0.668,0.0000,False,0.141,0.7071,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,97,-0.004,0.003,-1.24,0.217,0.016,"[-0.010, 0.002]",-0.126,0.588,False,0.694,0.0000,False,0.732,0.3923,True
