Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.003,0.002,"[-0.001, 0.007]",1.33,0.185
alpha_pos_mean,ies_avoidance,-0.001,0.002,"[-0.004, 0.002]",-0.52,0.605
alpha_pos_mean,ies_hyperarousal,-0.002,0.002,"[-0.006, 0.003]",-0.81,0.420
alpha_neg_mean,ies_intrusion,0.002,0.003,"[-0.004, 0.007]",0.67,0.502
alpha_neg_mean,ies_avoidance,-0.001,0.002,"[-0.005, 0.003]",-0.58,0.560
alpha_neg_mean,ies_hyperarousal,-0.001,0.003,"[-0.006, 0.005]",-0.22,0.827
phi_mean,ies_intrusion,0.001,0.004,"[-0.007, 0.008]",0.22,0.826
phi_mean,ies_avoidance,-0.001,0.003,"[-0.007, 0.005]",-0.34,0.732
phi_mean,ies_hyperarousal,0.006,0.004,"[-0.002, 0.013]",1.50,0.135
rho_mean,ies_intrusion,0.007,0.004,"[-0.002, 0.015]",1.57,0.119
rho_mean,ies_avoidance,0.000,0.003,"[-0.006, 0.007]",0.07,0.945
rho_mean,ies_hyperarousal,-0.006,0.004,"[-0.015, 0.002]",-1.46,0.146
wm_capacity_mean,ies_intrusion,0.011,0.027,"[-0.043, 0.064]",0.40,0.692
wm_capacity_mean,ies_avoidance,-0.010,0.020,"[-0.050, 0.030]",-0.49,0.625
wm_capacity_mean,ies_hyperarousal,-0.016,0.027,"[-0.070, 0.038]",-0.60,0.552
kappa_total_mean,ies_intrusion,-0.001,0.003,"[-0.006, 0.004]",-0.22,0.824
kappa_total_mean,ies_avoidance,-0.001,0.002,"[-0.004, 0.003]",-0.28,0.780
kappa_total_mean,ies_hyperarousal,0.002,0.003,"[-0.003, 0.007]",0.90,0.371
kappa_share_mean,ies_intrusion,-0.003,0.006,"[-0.015, 0.009]",-0.52,0.607
kappa_share_mean,ies_avoidance,-0.002,0.005,"[-0.011, 0.007]",-0.42,0.677
kappa_share_mean,ies_hyperarousal,0.004,0.006,"[-0.009, 0.016]",0.59,0.558
epsilon_mean,ies_intrusion,0.001,0.002,"[-0.004, 0.005]",0.30,0.768
epsilon_mean,ies_avoidance,-0.000,0.002,"[-0.003, 0.003]",-0.11,0.913
epsilon_mean,ies_hyperarousal,0.002,0.002,"[-0.002, 0.007]",1.07,0.288
