Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,75,-0.012,0.018,-0.70,0.485,0.007,"[-0.048, 0.023]",-0.082,0.857,False,0.963,0.0270,False,0.708,0.4002,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,75,-0.001,0.021,-0.07,0.946,0.000,"[-0.044, 0.041]",-0.008,0.969,False,0.967,0.0444,False,1.330,0.2487,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,75,-0.001,0.021,-0.03,0.972,0.000,"[-0.043, 0.041]",-0.004,0.972,False,0.967,0.0461,False,1.938,0.1639,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,75,-0.002,0.007,-0.32,0.748,0.001,"[-0.017, 0.012]",-0.038,0.920,False,0.965,0.0359,False,1.458,0.2273,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,75,-0.051,0.060,-0.85,0.400,0.010,"[-0.171, 0.069]",-0.099,0.768,False,0.974,0.1300,True,0.021,0.8841,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,75,0.013,0.037,0.33,0.739,0.002,"[-0.062, 0.087]",0.039,0.920,False,0.971,0.0816,True,2.256,0.1331,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,75,0.000,0.002,0.06,0.949,0.000,"[-0.005, 0.005]",0.008,0.969,False,0.282,0.0000,False,0.092,0.7619,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,75,-0.000,0.003,-0.11,0.915,0.000,"[-0.006, 0.006]",-0.012,0.969,False,0.282,0.0000,False,0.001,0.9803,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,75,0.003,0.003,1.08,0.282,0.016,"[-0.003, 0.009]",0.126,0.761,False,0.357,0.0000,False,2.037,0.1536,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,75,0.000,0.001,0.36,0.717,0.002,"[-0.002, 0.002]",0.043,0.920,False,0.297,0.0000,False,0.401,0.5263,True
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,75,0.008,0.008,0.94,0.349,0.012,"[-0.009, 0.024]",0.110,0.761,False,0.348,0.0000,False,2.104,0.1469,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,75,-0.007,0.005,-1.38,0.173,0.025,"[-0.017, 0.003]",-0.159,0.761,False,0.378,0.0000,False,1.262,0.2613,True
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,75,-0.002,0.002,-0.65,0.515,0.006,"[-0.006, 0.003]",-0.076,0.857,False,0.274,0.0000,False,0.725,0.3946,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,75,-0.001,0.003,-0.51,0.610,0.004,"[-0.007, 0.004]",-0.060,0.920,False,0.262,0.0000,False,0.647,0.4212,True
