Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,-0.015,0.011,"[-0.037, 0.006]",-1.42,0.162
alpha_pos_mean,ies_avoidance,0.002,0.008,"[-0.014, 0.018]",0.27,0.785
alpha_pos_mean,ies_hyperarousal,0.024,0.013,"[-0.003, 0.050]",1.80,0.079
alpha_neg_mean,ies_intrusion,0.006,0.010,"[-0.015, 0.028]",0.61,0.546
alpha_neg_mean,ies_avoidance,0.002,0.008,"[-0.013, 0.018]",0.30,0.764
alpha_neg_mean,ies_hyperarousal,-0.005,0.013,"[-0.031, 0.021]",-0.42,0.677
phi_mean,ies_intrusion,0.001,0.009,"[-0.016, 0.019]",0.13,0.894
phi_mean,ies_avoidance,0.001,0.006,"[-0.012, 0.014]",0.23,0.821
phi_mean,ies_hyperarousal,-0.006,0.011,"[-0.028, 0.015]",-0.58,0.566
rho_mean,ies_intrusion,-0.003,0.012,"[-0.026, 0.020]",-0.25,0.806
rho_mean,ies_avoidance,0.000,0.009,"[-0.017, 0.018]",0.04,0.966
rho_mean,ies_hyperarousal,-0.000,0.014,"[-0.029, 0.028]",-0.03,0.978
wm_capacity_mean,ies_intrusion,0.051,0.070,"[-0.090, 0.193]",0.73,0.469
wm_capacity_mean,ies_avoidance,0.054,0.052,"[-0.052, 0.160]",1.03,0.307
wm_capacity_mean,ies_hyperarousal,-0.098,0.086,"[-0.271, 0.076]",-1.13,0.263
epsilon_mean,ies_intrusion,-0.013,0.007,"[-0.027, 0.000]",-1.96,0.056
epsilon_mean,ies_avoidance,0.003,0.005,"[-0.007, 0.013]",0.64,0.523
epsilon_mean,ies_hyperarousal,0.016,0.008,"[-0.001, 0.032]",1.94,0.059
