Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r
alpha_pos_mean,lec_total_events,49,0.001,0.012,0.09,0.929,0.000,"[-0.023, 0.025]",0.013
alpha_pos_mean,lec_personal_events,49,0.032,0.017,1.92,0.061,0.073,"[-0.001, 0.065]",0.270
alpha_pos_mean,ies_total,49,0.000,0.002,0.20,0.839,0.001,"[-0.004, 0.005]",0.030
alpha_pos_mean,ies_intrusion,49,-0.001,0.006,-0.23,0.819,0.001,"[-0.013, 0.010]",-0.033
alpha_pos_mean,ies_avoidance,49,0.000,0.005,0.07,0.947,0.000,"[-0.011, 0.011]",0.010
alpha_pos_mean,ies_hyperarousal,49,0.008,0.009,0.99,0.327,0.020,"[-0.009, 0.026]",0.143
alpha_neg_mean,lec_total_events,49,-0.014,0.011,-1.21,0.231,0.030,"[-0.037, 0.009]",-0.174
alpha_neg_mean,lec_personal_events,49,-0.035,0.016,-2.27,0.028*,0.099,"[-0.067, -0.004]",-0.315
alpha_neg_mean,ies_total,49,0.002,0.002,0.94,0.351,0.019,"[-0.002, 0.007]",0.136
alpha_neg_mean,ies_intrusion,49,0.005,0.006,0.99,0.325,0.021,"[-0.006, 0.017]",0.144
alpha_neg_mean,ies_avoidance,49,0.005,0.005,0.93,0.357,0.018,"[-0.006, 0.015]",0.134
alpha_neg_mean,ies_hyperarousal,49,0.004,0.008,0.49,0.629,0.005,"[-0.013, 0.021]",0.071
phi_mean,lec_total_events,49,0.010,0.009,1.05,0.299,0.023,"[-0.009, 0.029]",0.151
phi_mean,lec_personal_events,49,0.024,0.013,1.88,0.066,0.070,"[-0.002, 0.050]",0.265
phi_mean,ies_total,49,-0.000,0.002,-0.22,0.830,0.001,"[-0.004, 0.003]",-0.031
phi_mean,ies_intrusion,49,-0.001,0.005,-0.18,0.854,0.001,"[-0.010, 0.008]",-0.027
phi_mean,ies_avoidance,49,0.000,0.004,0.00,0.999,0.000,"[-0.009, 0.009]",0.000
phi_mean,ies_hyperarousal,49,-0.003,0.007,-0.52,0.608,0.006,"[-0.017, 0.010]",-0.075
rho_mean,lec_total_events,49,0.018,0.012,1.43,0.158,0.042,"[-0.007, 0.042]",0.205
rho_mean,lec_personal_events,49,0.043,0.017,2.60,0.012*,0.126,"[0.010, 0.077]",0.355
rho_mean,ies_total,49,-0.001,0.002,-0.42,0.676,0.004,"[-0.006, 0.004]",-0.061
rho_mean,ies_intrusion,49,-0.003,0.006,-0.46,0.650,0.004,"[-0.015, 0.009]",-0.066
rho_mean,ies_avoidance,49,-0.002,0.006,-0.31,0.758,0.002,"[-0.013, 0.010]",-0.045
rho_mean,ies_hyperarousal,49,-0.003,0.009,-0.36,0.717,0.003,"[-0.021, 0.015]",-0.053
wm_capacity_mean,lec_total_events,49,-0.105,0.078,-1.34,0.186,0.037,"[-0.262, 0.052]",-0.192
wm_capacity_mean,lec_personal_events,49,-0.021,0.113,-0.19,0.851,0.001,"[-0.248, 0.206]",-0.027
wm_capacity_mean,ies_total,49,0.018,0.015,1.19,0.242,0.029,"[-0.013, 0.049]",0.170
wm_capacity_mean,ies_intrusion,49,0.044,0.038,1.16,0.250,0.028,"[-0.032, 0.120]",0.167
wm_capacity_mean,ies_avoidance,49,0.054,0.035,1.54,0.131,0.048,"[-0.017, 0.124]",0.219
wm_capacity_mean,ies_hyperarousal,49,0.010,0.057,0.18,0.856,0.001,"[-0.104, 0.124]",0.027
epsilon_mean,lec_total_events,49,-0.001,0.008,-0.13,0.897,0.000,"[-0.016, 0.014]",-0.019
epsilon_mean,lec_personal_events,49,0.015,0.011,1.37,0.177,0.038,"[-0.007, 0.036]",0.196
epsilon_mean,ies_total,49,-0.000,0.001,-0.06,0.949,0.000,"[-0.003, 0.003]",-0.009
epsilon_mean,ies_intrusion,49,-0.002,0.004,-0.65,0.516,0.009,"[-0.010, 0.005]",-0.095
epsilon_mean,ies_avoidance,49,-0.000,0.003,-0.00,0.996,0.000,"[-0.007, 0.007]",-0.001
epsilon_mean,ies_hyperarousal,49,0.004,0.005,0.75,0.460,0.012,"[-0.007, 0.015]",0.108
