Metric,Trauma_Variable,N,Spearman_rho,p_value,Beta_standardized,R_squared
feedback_sensitivity,less_total_events,48,0.10850139452737317,0.4629024636037411,0.11808855572699956,0.013944906993688689
feedback_sensitivity,ies_total,48,0.10293881411666804,0.48628183875021835,0.16228733991223399,0.026337180695788984
feedback_sensitivity,ies_intrusion,48,0.07635817974999017,0.6059702206228432,0.1176633999293816,0.013844675682941605
feedback_sensitivity,ies_avoidance,48,0.10543923080850573,0.47569699965949086,0.12345557794961896,0.015241279726874448
feedback_sensitivity,ies_hyperarousal,48,0.12928760849068052,0.3811368786950886,0.21096624214847914,0.04450675532625072
perseveration_index,less_total_events,48,-0.0027344101443390416,0.985283697338809,-0.002871137492744203,8.24343050224147e-06
perseveration_index,ies_total,48,-0.18442072502695933,0.20954400679142554,-0.12674409623880273,0.016064065931390887
perseveration_index,ies_intrusion,48,-0.15048493728348025,0.30728462782225663,-0.08007434600583738,0.006411900888262564
perseveration_index,ies_avoidance,48,-0.12948199233205848,0.38041524125498694,-0.10761934137654093,0.011581922638320452
perseveration_index,ies_hyperarousal,48,-0.2154428100792137,0.14139430707719552,-0.1632858069150608,0.026662254739902504
